chr	start	end	name	m-L5-s1_S1_dupsRemoved_host.bam	m-L5-s2_S2_dupsRemoved_host.bam	m-L5-t1_S3_dupsRemoved_host.bam	m-L5-t2_S4_dupsRemoved_host.bam	m-N12-s1_S5_dupsRemoved_host.bam	m-N12-s2_S6_dupsRemoved_host.bam	m-N12-t1_S7_dupsRemoved_host.bam	m-N12-t2_S8_dupsRemoved_host.bam	ub-L5-s1_S9_dupsRemoved_host.bam	ub-L5-s2_S10_dupsRemoved_host.bam	ub-L5-t1_S11_dupsRemoved_host.bam	ub-L5-t2_S12_dupsRemoved_host.bam	ub-N12-s1_S13_dupsRemoved_host.bam	ub-N12-s2_S14_dupsRemoved_host.bam	ub-N12-t1_S15_dupsRemoved_host.bam	ub-N12-t2_S16_dupsRemoved_host.bam
chr1	3700000	3800000	chr1_3700000_3800000	2925	2146	2654	2531	2251	2708	2165	3016	3389	4067	4428	3203	5398	3871	3915	3007
chr1	3800000	3900000	chr1_3800000_3900000	5771	5100	5307	5383	5148	5618	5117	6595	3523	4439	4378	3348	6474	4916	3556	2844
chr1	3900000	4000000	chr1_3900000_4000000	6065	5117	5580	5568	4907	5601	4903	6415	5010	6085	6511	4810	8186	5934	5615	4315
chr1	4000000	4100000	chr1_4000000_4100000	8704	7456	7902	7895	6878	7824	6834	8675	5868	7268	7596	5696	10136	7423	6814	5174
chr1	4100000	4200000	chr1_4100000_4200000	18384	17269	15513	17255	12446	14054	12466	14762	4483	6090	5569	4852	6573	5693	2735	2024
chr1	4200000	4300000	chr1_4200000_4300000	21174	20034	18107	19912	14538	16162	14291	16871	5991	7906	7416	6223	6256	5891	2699	2021
chr1	4300000	4400000	chr1_4300000_4400000	15608	14558	13173	14577	12483	13817	12800	15218	4317	5947	5363	4574	7322	6104	3210	2337
chr1	4400000	4500000	chr1_4400000_4500000	13203	12553	11584	12747	12992	14783	13128	15364	4599	5782	5631	4648	7560	6065	3643	2724
chr1	4500000	4600000	chr1_4500000_4600000	11866	10957	10351	11402	9475	10346	9590	11646	4507	5772	5381	4329	6157	5060	2719	1928
chr1	4600000	4700000	chr1_4600000_4700000	3183	2530	2822	2824	2288	2643	2165	2932	2840	3401	3587	2587	4547	3347	3145	2407
chr1	4700000	4800000	chr1_4700000_4800000	2082	1517	2013	1838	1748	2061	1618	2472	3122	3736	4217	2916	4684	3219	3163	2499
chr1	4800000	4900000	chr1_4800000_4900000	2457	1749	2409	2184	2302	2580	2119	2899	3385	4086	4344	3274	5501	3861	4039	3057
chr1	4900000	5000000	chr1_4900000_5000000	3141	2492	2918	2871	2901	3518	2863	3770	3617	4309	4816	3446	5277	3843	3812	2959
chr1	5000000	5100000	chr1_5000000_5100000	3916	2972	3686	3409	3410	3941	3346	4592	4611	5595	6041	4382	7599	5341	5107	3971
chr1	5100000	5200000	chr1_5100000_5200000	3305	2229	3140	2799	3049	3491	2781	3985	5316	6180	6961	5094	9089	6145	6710	5139
chr1	5200000	5300000	chr1_5200000_5300000	4082	2826	3771	3517	3350	3860	3218	4514	5569	6572	7445	5310	8429	6024	6197	4758
chr1	5300000	5400000	chr1_5300000_5400000	3606	2544	3425	3012	3084	3419	2786	3911	4705	5661	6326	4391	6926	4997	5146	4006
chr1	5400000	5500000	chr1_5400000_5500000	3794	3007	3579	3409	2656	3090	2715	3630	3964	4697	5233	3646	5345	3744	3702	2814
chr1	5500000	5600000	chr1_5500000_5600000	2776	1887	2699	2313	2396	3001	2199	3044	4375	5113	5701	4084	7336	5123	5110	4212
chr1	5600000	5700000	chr1_5600000_5700000	3389	2613	3200	2958	2305	2645	2266	2954	3781	4378	4851	3576	5007	3564	3470	2698
chr1	5700000	5800000	chr1_5700000_5800000	3414	2848	3167	3119	2617	2882	2596	3430	2811	3389	3710	2766	4498	3249	2964	2217
chr1	5800000	5900000	chr1_5800000_5900000	2548	1980	2500	2317	2703	3164	2498	3292	2926	3575	4021	2763	6269	4387	4614	3483
chr1	5900000	6000000	chr1_5900000_6000000	3843	2946	3475	3403	3100	3566	3123	4062	3678	4277	4761	3409	6358	4494	4504	3615
chr1	6000000	6100000	chr1_6000000_6100000	2294	1594	2203	2073	1987	2374	2027	2676	3091	3735	4248	3052	4656	3346	3652	2763
chr1	6100000	6200000	chr1_6100000_6200000	3323	2654	3211	2933	2737	3077	2625	3528	3722	4512	5080	3530	5706	4086	4030	3175
chr1	6200000	6300000	chr1_6200000_6300000	4227	3605	3959	3840	2540	2995	2480	3188	4193	4962	5511	4046	4642	3301	3300	2606
chr1	6300000	6400000	chr1_6300000_6400000	2733	1939	2549	2386	3469	4222	3176	4624	3741	4432	4733	3502	9892	7018	7544	5991
chr1	6400000	6500000	chr1_6400000_6500000	4039	2955	3848	3569	3878	4713	3515	4906	5909	6817	7531	5303	9235	6712	6591	5049
chr1	6500000	6600000	chr1_6500000_6600000	2963	2327	2950	2693	4531	5200	4292	6121	3793	4646	4845	3537	11584	8293	8149	6147
chr1	6600000	6700000	chr1_6600000_6700000	3763	2435	3691	2947	3375	4000	2979	4189	6083	7243	8095	5643	9459	6595	6790	5197
chr1	6700000	6800000	chr1_6700000_6800000	3038	1801	2977	2555	2413	2809	2129	3223	5479	6198	7257	5146	7369	5374	5777	4457
chr1	6800000	6900000	chr1_6800000_6900000	3556	2857	3157	3162	2323	2743	2246	3043	3440	4114	4643	3309	4262	3105	3114	2548
chr1	6900000	7000000	chr1_6900000_7000000	3403	2767	3038	3115	2527	2971	2538	3370	3106	3846	4151	3010	4684	3366	3274	2636
chr1	7000000	7100000	chr1_7000000_7100000	2842	1933	2649	2356	2261	2564	2081	2988	3876	4407	4946	3509	5861	4331	4156	3116
chr1	7100000	7200000	chr1_7100000_7200000	3856	2693	3957	3439	3731	4473	3490	4767	6327	7393	7953	5514	10011	6853	6834	5192
chr1	7200000	7300000	chr1_7200000_7300000	4021	2910	3680	3380	3126	3786	2916	4029	5377	6517	7125	4946	8185	5927	6092	4683
chr1	7300000	7400000	chr1_7300000_7400000	4156	2828	4008	3546	3515	4244	3338	4637	6213	7180	8031	5884	9431	6676	7118	5582
chr1	7400000	7500000	chr1_7400000_7500000	3784	2328	3730	3189	3321	3908	2997	4217	6503	7829	8475	5797	9940	7001	7174	5564
chr1	7500000	7600000	chr1_7500000_7600000	3852	2399	3694	3312	2458	2844	2203	3227	6678	7957	8775	6187	7100	5012	5306	4096
chr1	7600000	7700000	chr1_7600000_7700000	6032	4614	5726	5402	4606	5264	4443	5929	7203	8459	9483	6709	10702	7685	7852	6003
chr1	7700000	7800000	chr1_7700000_7800000	3647	2355	3623	2987	2890	3518	2816	3844	6564	7740	8665	6088	9277	6365	6864	5518
chr1	7800000	7900000	chr1_7800000_7900000	4018	2604	3947	3428	3733	4379	3387	4806	7022	8124	9043	6354	11061	7658	8100	6275
chr1	7900000	8000000	chr1_7900000_8000000	2799	2014	2782	2506	2769	3244	2535	3619	3940	4895	5239	3678	6778	4900	4689	3620
chr1	8000000	8100000	chr1_8000000_8100000	4618	3224	4412	3979	3915	4506	3726	5068	5932	7158	7380	5294	9687	6968	6369	4866
chr1	8100000	8200000	chr1_8100000_8200000	4366	3601	3994	3866	3585	4069	3384	4513	3916	4632	4902	3458	6264	4595	3685	2773
chr1	8200000	8300000	chr1_8200000_8300000	7799	6498	6662	6880	3842	4502	3780	4883	5547	6842	7254	5220	6087	4479	4019	3176
chr1	8300000	8400000	chr1_8300000_8400000	3489	2923	3246	3175	3029	3500	3082	3960	3133	3734	4181	2958	5452	3869	3648	2884
chr1	8400000	8500000	chr1_8400000_8500000	3232	2040	3396	2831	3396	4093	3355	4637	6072	7063	8060	5668	9824	6859	7550	5930
chr1	8500000	8600000	chr1_8500000_8600000	4861	3327	4774	4169	4888	5669	4721	6536	7124	8122	9465	6717	11739	8555	9279	7531
chr1	8600000	8700000	chr1_8600000_8700000	5312	3943	4894	4558	4350	4927	4413	6065	5720	6809	7431	5398	8613	6071	5980	4464
chr1	8700000	8800000	chr1_8700000_8800000	4409	3106	4287	3684	3656	4175	3624	4886	5723	6805	7609	5498	9210	6456	6666	5215
chr1	8800000	8900000	chr1_8800000_8900000	3405	2374	3461	2917	3157	3698	3006	4317	5620	6837	7991	5392	9004	6441	7193	5603
chr1	8900000	9000000	chr1_8900000_9000000	3747	2753	3419	3143	3058	3487	2882	3936	3997	4762	5231	3729	6140	4317	4312	3315
chr1	9000000	9100000	chr1_9000000_9100000	4558	4377	4094	4545	3289	3922	3360	4315	3311	3831	4182	3193	5267	3879	3598	2711
chr1	9100000	9200000	chr1_9100000_9200000	3421	2588	3248	2988	2711	3156	2759	3595	3478	4200	4724	3410	5923	4279	4277	3266
chr1	9200000	9300000	chr1_9200000_9300000	3657	2508	3535	3107	3378	4046	2996	4161	5753	6972	7882	5324	9150	6467	6845	5254
chr1	9300000	9400000	chr1_9300000_9400000	2723	2225	2418	2377	2000	2203	1815	2532	2740	3422	3716	2653	4012	2953	3205	2494
chr1	9400000	9500000	chr1_9400000_9500000	5578	4655	5115	5075	5749	6517	5672	7019	4858	5434	5776	4864	6659	5237	5251	4374
chr1	9500000	9600000	chr1_9500000_9600000	2575	1920	2455	2263	2354	2640	2263	3070	3390	4025	4444	3106	5331	3967	3973	3154
chr1	9600000	9700000	chr1_9600000_9700000	2902	2187	2721	2524	2301	2550	2130	2964	3720	4402	5113	3513	5375	3919	4204	3220
chr1	9700000	9800000	chr1_9700000_9800000	3672	2945	3251	3245	3511	3916	3299	4428	3879	4639	4737	3498	6781	5005	4293	3324
chr1	9800000	9900000	chr1_9800000_9900000	3447	2803	3266	3156	2663	3134	2621	3473	3384	4179	4653	3209	5535	3978	3847	3130
chr1	9900000	10000000	chr1_9900000_10000000	2627	1973	2396	2277	2098	2399	2114	2891	3031	3661	3877	2870	4364	3196	3078	2415
chr1	10000000	10100000	chr1_10000000_10100000	3835	2732	3354	3273	2879	3301	2831	3790	4514	5507	6181	4239	7067	4975	5027	3922
chr1	10100000	10200000	chr1_10100000_10200000	6191	4919	5678	5296	4789	5397	4732	6440	5734	6861	7536	5530	9120	6475	5910	4506
chr1	10200000	10300000	chr1_10200000_10300000	4574	3221	4322	3750	3659	4166	3493	4819	5365	6686	7339	5199	8869	6268	6113	4523
chr1	10300000	10400000	chr1_10300000_10400000	3277	1826	3242	2580	2632	3263	2448	3521	6370	7482	8492	6115	8927	6163	6951	5341
chr1	10400000	10500000	chr1_10400000_10500000	5201	3967	4693	4384	4101	4745	4053	5233	5601	6677	7346	5346	9044	6447	6290	4983
chr1	10500000	10600000	chr1_10500000_10600000	6758	5697	5977	5984	4326	4767	4267	5463	4731	5821	5915	4486	6150	4395	3813	2802
chr1	10600000	10700000	chr1_10600000_10700000	3814	2711	3498	3082	3221	3767	3031	4216	5098	5976	6401	4525	8208	5848	5715	4416
chr1	10700000	10800000	chr1_10700000_10800000	2990	2070	2708	2443	2549	2996	2317	3124	4023	4570	4851	3522	6181	4302	4260	3306
chr1	10800000	10900000	chr1_10800000_10900000	5544	4489	5139	4982	4397	5039	4597	6107	5572	6780	7222	5251	8373	5955	5744	4391
chr1	10900000	11000000	chr1_10900000_11000000	5605	4427	5027	4747	4457	5074	4257	5944	5767	6842	7387	5423	8759	6255	5849	4519
chr1	11000000	11100000	chr1_11000000_11100000	5320	3970	4851	4543	4231	4690	3955	5543	5811	6965	7411	5224	8876	6476	5490	4172
chr1	11100000	11200000	chr1_11100000_11200000	8253	6895	6901	7118	5736	6425	5340	7124	5604	6930	7036	5019	8885	6527	5608	4411
chr1	11200000	11300000	chr1_11200000_11300000	4536	3239	4085	3762	3765	4318	3393	4833	5801	7016	7559	5225	9337	6685	6576	5024
chr1	11300000	11400000	chr1_11300000_11400000	3842	2754	3732	3326	3592	4264	3659	4986	5084	6270	6967	4975	8978	6268	6332	4852
chr1	11400000	11500000	chr1_11400000_11500000	5738	4246	5267	4860	4200	4819	3860	5236	6534	7885	8407	6072	9301	6709	6328	4801
chr1	11500000	11600000	chr1_11500000_11600000	4917	3721	4618	4169	3892	4536	3657	4953	6243	7392	8133	5916	9624	6792	6874	5225
chr1	11600000	11700000	chr1_11600000_11700000	5363	4274	5006	4912	4239	4846	3769	5193	6286	7462	8181	5836	9195	6649	6725	5202
chr1	11700000	11800000	chr1_11700000_11800000	6219	4968	5698	5494	4906	5396	4531	6024	5755	6891	7389	5278	8968	6422	5480	4155
chr1	11800000	11900000	chr1_11800000_11900000	4840	3659	4469	4194	3734	4293	3742	5022	5401	6441	6960	5080	8043	5810	5382	4142
chr1	11900000	12000000	chr1_11900000_12000000	3098	2033	2952	2552	2748	3246	2469	3631	4751	5686	6494	4522	7655	5256	5545	4368
chr1	12000000	12100000	chr1_12000000_12100000	4924	3625	4459	4147	3966	4567	3876	5281	5981	7017	7820	5511	9199	6469	6373	4892
chr1	12100000	12200000	chr1_12100000_12200000	6242	5113	5633	5638	4895	5455	4698	6184	5471	6640	6954	5115	8667	6245	5573	4272
chr1	12200000	12300000	chr1_12200000_12300000	3568	2255	3520	2928	3316	3737	2918	3991	6428	7534	8419	5857	9700	6750	7400	5537
chr1	12300000	12400000	chr1_12300000_12400000	4709	3598	4365	4141	3879	4371	3795	5203	4606	5497	5829	4100	7736	5608	5143	3840
chr1	12400000	12500000	chr1_12400000_12500000	4421	3051	3971	3597	3441	4066	3199	4512	5804	6976	7130	5036	8885	6383	6278	4695
chr1	12500000	12600000	chr1_12500000_12600000	6626	5265	6148	5825	4072	4724	4017	5571	5826	7455	7780	5790	8660	6221	5812	4369
chr1	12600000	12700000	chr1_12600000_12700000	4537	3224	4232	3794	3475	4119	3255	4543	5545	6450	7423	5223	8468	5944	6008	4648
chr1	12700000	12800000	chr1_12700000_12800000	6591	5478	5989	5754	4873	5502	4764	6380	5651	6631	7058	4986	8544	6141	5303	4050
chr1	12800000	12900000	chr1_12800000_12900000	3913	2542	3778	3238	2555	3110	2297	3394	6843	8093	8863	6177	7584	5192	5450	4146
chr1	12900000	13000000	chr1_12900000_13000000	3575	2683	3309	3173	1739	2049	1650	2361	4106	4884	5307	3818	4182	2960	3147	2491
chr1	13000000	13100000	chr1_13000000_13100000	3788	3184	3625	3404	2966	3324	3025	3953	3180	4011	4243	3109	4936	3489	3187	2558
chr1	13100000	13200000	chr1_13100000_13200000	2215	1632	2126	1982	1854	2119	1741	2402	2806	3316	3559	2627	4051	2879	2792	2178
chr1	13200000	13300000	chr1_13200000_13300000	2588	1607	2599	2230	2518	3041	2151	3262	4703	5451	5814	4051	7008	5083	4447	3349
chr1	13300000	13400000	chr1_13300000_13400000	2183	1645	2015	1891	1791	2035	1772	2223	2593	3100	3429	2411	4097	2961	3013	2398
chr1	13400000	13500000	chr1_13400000_13500000	4228	3560	3823	3883	2967	3455	2961	3897	3524	4238	4561	3346	5128	3726	3373	2689
chr1	13500000	13600000	chr1_13500000_13600000	4747	3667	4518	4150	3958	4731	3929	5409	5870	6879	7488	5409	9012	6426	6403	5009
chr1	13600000	13700000	chr1_13600000_13700000	5136	3931	4804	4393	4341	4832	4143	5625	5566	6668	7381	5250	8595	6298	5757	4448
chr1	13700000	13800000	chr1_13700000_13800000	4097	2678	3870	3308	3401	4061	3231	4558	5996	7051	8011	5659	9235	6595	7091	5449
chr1	13800000	13900000	chr1_13800000_13900000	6326	5173	5829	5428	4656	5381	4774	6344	5725	6793	7017	5126	8438	6181	5305	4100
chr1	13900000	14000000	chr1_13900000_14000000	4148	2888	3959	3474	3492	4206	3420	4826	6070	7227	8049	5729	9510	6717	7174	5643
chr1	14000000	14100000	chr1_14000000_14100000	6818	5554	6343	6072	5220	5934	5375	6956	5441	6433	6854	5042	8860	6486	5713	4288
chr1	14100000	14200000	chr1_14100000_14200000	3591	2581	3321	3016	3064	3517	2798	3830	5044	5541	6247	4471	7536	5410	5319	4135
chr1	14200000	14300000	chr1_14200000_14300000	5105	3931	4884	4478	3498	4004	3419	4541	5418	6470	6519	4648	6536	4875	3807	3077
chr1	14300000	14400000	chr1_14300000_14400000	4873	4091	4478	4428	3701	4163	3835	4953	3522	4232	4556	3325	6047	4607	3893	2909
chr1	14400000	14500000	chr1_14400000_14500000	6168	5193	5642	5598	4699	5495	4498	6088	5658	6667	7359	5170	8616	6249	5169	4119
chr1	14500000	14600000	chr1_14500000_14600000	3783	2330	3581	3155	3352	4003	3228	4630	5878	7091	8096	5570	9555	6685	7377	5644
chr1	14600000	14700000	chr1_14600000_14700000	4802	3845	4518	4312	4269	4780	4207	5426	4823	5712	6192	4454	7511	5435	5256	4166
chr1	14700000	14800000	chr1_14700000_14800000	4246	2890	4206	3607	3570	4275	3501	4897	6137	7095	7941	5643	9506	6650	7064	5494
chr1	14800000	14900000	chr1_14800000_14900000	4427	3839	4011	4333	3683	4139	3550	4694	3977	4705	4968	3615	6470	4644	3991	3073
chr1	14900000	15000000	chr1_14900000_15000000	2791	1778	2618	2193	2267	2849	2006	2968	5008	6195	6763	4724	7158	4977	5379	4148
chr1	15000000	15100000	chr1_15000000_15100000	3198	1957	2985	2675	3119	3571	2723	3942	5744	6614	7170	5171	9464	6692	7131	5447
chr1	15100000	15200000	chr1_15100000_15200000	4027	2729	3985	3340	3391	4062	3194	4389	6172	7140	8014	5585	9096	6473	6804	5204
chr1	15200000	15300000	chr1_15200000_15300000	4405	3020	4167	3687	4054	4724	3856	5075	6208	7220	8180	5681	9641	6862	7149	5485
chr1	15300000	15400000	chr1_15300000_15400000	4667	3530	4416	3987	3809	4399	3449	4681	5827	6834	7598	5521	8881	6505	6464	4950
chr1	15400000	15500000	chr1_15400000_15500000	3738	2544	3639	3170	3147	3717	2904	4208	5812	6849	7550	5404	8750	6027	6440	4894
chr1	15500000	15600000	chr1_15500000_15600000	4626	3431	4356	4041	3969	4542	3926	5233	5830	6811	7393	5212	8962	6434	6320	4805
chr1	15600000	15700000	chr1_15600000_15700000	3548	2339	3461	3083	3339	3894	3092	4321	6099	6903	8008	5601	9387	6590	7031	5365
chr1	15700000	15800000	chr1_15700000_15800000	3377	2629	3119	2978	2660	2858	2462	3426	3595	4327	4730	3389	5506	3910	4004	2949
chr1	15800000	15900000	chr1_15800000_15900000	3792	3073	3467	3346	2805	3168	2727	3705	3506	4151	4532	3398	5498	4008	4115	3151
chr1	15900000	16000000	chr1_15900000_16000000	3108	2422	2935	2848	2574	2962	2518	3353	3329	4076	4490	3153	5449	3930	3844	2926
chr1	16000000	16100000	chr1_16000000_16100000	2941	2230	2709	2532	2431	2686	2349	3074	3352	4045	4594	3169	4925	3676	3607	2905
chr1	16100000	16200000	chr1_16100000_16200000	2376	1952	2331	2128	2055	2434	1996	2788	2851	3373	3914	2810	4582	3131	3604	2685
chr1	16200000	16300000	chr1_16200000_16300000	3705	2797	3627	3157	3137	3645	3142	4103	4707	5548	5793	4128	6663	4759	4471	3511
chr1	16300000	16400000	chr1_16300000_16400000	2984	2266	2790	2525	2449	2896	2334	3266	3380	3998	4696	3360	5759	3819	4284	3364
chr1	16400000	16500000	chr1_16400000_16500000	2347	1643	2221	2006	2360	2802	2152	3068	3482	4120	4658	3244	6129	4446	4448	3381
chr1	16500000	16600000	chr1_16500000_16600000	5649	4608	5283	5231	4744	5483	4498	5857	5789	7016	7662	5503	9245	6497	6470	5003
chr1	16600000	16700000	chr1_16600000_16700000	9745	8224	8154	8405	6080	6858	6323	8028	4899	6158	6005	4765	7773	5963	4494	3401
chr1	16700000	16800000	chr1_16700000_16800000	4639	3796	4197	4222	3786	4478	3678	4904	4349	5196	5781	4133	6895	5049	4695	3661
chr1	16800000	16900000	chr1_16800000_16900000	3469	2757	3133	2937	2940	3377	2710	3615	3700	4418	4759	3433	6055	4380	4207	3286
chr1	16900000	17000000	chr1_16900000_17000000	3390	2586	3179	2964	2580	3003	2593	3452	3518	4199	4528	3394	5603	3998	3957	3066
chr1	17000000	17100000	chr1_17000000_17100000	3122	2388	2887	2750	2952	3518	2820	3840	3715	4350	4436	3286	6936	4984	4541	3432
chr1	17100000	17200000	chr1_17100000_17200000	3239	2590	2919	2844	3107	3490	2951	4211	3022	3588	3869	2745	5880	4219	3923	2928
chr1	17200000	17300000	chr1_17200000_17300000	3287	2578	3021	2931	3168	3591	2945	4122	3610	4330	4703	3508	6462	4645	4579	3610
chr1	17300000	17400000	chr1_17300000_17400000	2558	1688	2619	2199	2368	2801	2122	3103	4182	4927	5601	3830	6653	4707	4995	3882
chr1	17400000	17500000	chr1_17400000_17500000	3661	2835	3283	3315	2538	2904	2450	3179	3914	4546	5279	3611	5965	4324	4336	3401
chr1	17500000	17600000	chr1_17500000_17600000	3432	2937	3085	3128	3048	3596	2793	3826	3300	3863	4199	3047	6544	4816	4886	3890
chr1	17600000	17700000	chr1_17600000_17700000	9427	8803	8195	9029	6292	7164	6217	7309	4671	5941	6075	4549	5460	4240	3271	2505
chr1	17700000	17800000	chr1_17700000_17800000	10128	9246	8902	9345	7274	8142	6998	8810	5314	6680	6915	5177	8313	6520	5276	4111
chr1	17800000	17900000	chr1_17800000_17900000	2549	1819	2288	2168	2253	2473	2053	2842	3124	3720	4196	2949	4997	3514	3777	2932
chr1	17900000	18000000	chr1_17900000_18000000	3824	2479	3514	3173	2770	3218	2630	3737	6131	7257	8183	5684	7875	5713	6076	4708
chr1	18000000	18100000	chr1_18000000_18100000	4962	3697	4570	4214	3871	4541	3662	4957	5809	6829	7297	5181	8522	6011	5810	4584
chr1	18100000	18200000	chr1_18100000_18200000	4113	2944	4057	3469	3883	4624	3604	5105	6101	7066	7876	5545	10206	7199	7173	5549
chr1	18200000	18300000	chr1_18200000_18300000	3081	1833	3049	2519	2820	3398	2481	3551	5829	6809	7928	5417	9092	6339	6777	5307
