chr	start	end	name	m-L5-s1_S1	m-L5-s2_S2	m-L5-t1_S3	m-L5-t2_S4	m-N12-s1_S5	m-N12-s2_S6	m-N12-t1_S7	m-N12-t2_S8	ub-L5-s1_S9	ub-L5-s2_S10	ub-L5-t1_S11	ub-L5-t2_S12	ub-N12-s1_S13	ub-N12-s2_S14	ub-N12-t1_S15	ub-N12-t2_S16	
chr10	661767	662767	Amillepora16823	25	13	21	16	23	23	16	20	70	90	97	59	116	71	64	66
chr10	652785	653785	Amillepora16822	32	23	30	17	27	33	17	36	67	81	84	59	114	67	67	56
chr10	650592	651592	Amillepora16821	29	18	30	17	24	38	13	25	63	70	66	45	90	57	58	49
chr10	617020	618020	Amillepora16819	32	19	29	21	30	40	15	31	63	66	85	49	85	71	66	42
chr10	631931	632931	Amillepora16820	24	21	31	18	25	36	19	39	70	75	86	66	105	71	82	68
chr10	698434	699434	Amillepora16826	40	19	40	21	39	38	37	35	75	84	84	63	111	78	74	57
chr10	676558	677558	Amillepora16825	30	25	27	23	32	41	35	37	78	79	87	57	126	71	89	68
chr10	808375	809375	Amillepora16830	27	18	17	16	25	30	19	34	54	76	76	49	95	56	89	65
chr10	830244	831244	Amillepora16831	28	12	21	23	27	43	26	39	51	64	61	42	95	71	74	57
chr10	807448	808448	Amillepora16829	71	50	41	55	43	66	39	57	49	53	70	36	66	54	46	27
chr10	854059	855059	Amillepora16833	9	8	9	6	10	5	11	20	25	35	30	21	33	28	26	20
chr10	914709	915709	Amillepora16841	54	38	48	47	30	32	28	45	50	61	63	47	88	58	44	42
chr10	954229	955229	Amillepora16843	94	97	90	114	81	79	76	83	53	47	48	45	77	43	30	18
chr10	907747	908747	Amillepora16840	54	45	42	47	54	53	49	66	76	82	82	68	110	52	76	69
chr10	957650	958650	Amillepora16844	235	240	210	269	196	203	189	218	10	33	21	36	51	47	7	5
chr10	961825	962825	Amillepora16845	314	360	273	310	249	296	236	319	10	39	21	29	40	61	6	7
chr10	882033	883033	Amillepora16836	34	20	30	23	24	39	34	46	69	65	78	74	102	72	61	47
chr10	869790	870790	Amillepora16834	33	16	33	14	22	21	21	32	70	82	87	62	78	45	69	52
chr10	893845	894845	Amillepora16838	27	22	46	23	42	43	31	46	71	81	95	72	116	79	81	68
chr10	906171	907171	Amillepora16839	43	27	43	39	30	46	36	48	59	64	93	54	77	69	83	78
chr10	889458	890458	Amillepora16837	21	14	18	14	25	41	16	37	64	53	70	54	95	82	74	53
chr10	872906	873906	Amillepora16835	42	26	38	38	24	32	20	43	70	113	97	76	76	50	48	37
chr10	943692	944692	Amillepora16842	99	72	68	83	76	62	72	85	33	41	39	21	59	39	21	15
chr10	1016819	1017819	Amillepora16849	17	17	24	19	25	41	13	34	57	78	67	55	100	57	67	59
chr10	984156	985156	Amillepora16846	20	13	19	16	14	28	19	14	53	63	91	51	78	50	39	39
chr10	1072221	1073221	Amillepora16852	45	33	48	42	48	62	41	70	80	76	87	61	110	70	70	70
chr10	1006914	1007914	Amillepora16848	34	15	28	23	38	37	30	35	71	83	100	57	112	62	71	66
chr10	996844	997844	Amillepora16847	31	17	34	30	52	45	42	65	79	96	92	53	88	78	78	82
chr10	1038625	1039625	Amillepora16850	33	18	26	30	43	36	33	42	72	96	92	77	96	84	68	50
chr10	1072966	1073966	Amillepora16851	34	17	30	20	27	30	33	34	70	68	94	55	106	79	96	63
chr10	1127884	1128884	Amillepora16855	30	6	30	8	26	26	12	21	67	69	70	51	87	60	51	46
chr10	1166298	1167298	Amillepora16858	32	9	18	14	27	33	15	30	72	62	72	64	94	63	68	52
chr10	1173960	1174960	Amillepora16859	37	14	30	18	32	36	23	24	65	70	58	53	97	64	52	44
chr10	1090734	1091734	Amillepora16853	22	11	40	18	21	36	25	37	60	90	83	60	113	80	98	72
chr10	1145909	1146909	Amillepora16856	21	14	35	23	37	32	30	30	87	86	93	51	118	82	83	61
chr10	1127670	1128670	Amillepora16854	28	6	27	9	23	28	11	19	58	70	69	51	80	66	55	46
chr10	1186441	1187441	Amillepora16860	28	11	19	20	22	31	16	29	54	75	68	58	100	68	60	44
chr10	1156217	1157217	Amillepora16857	27	18	27	16	30	30	31	34	71	86	93	47	114	91	94	60
chr10	1267602	1268602	Amillepora16873	57	36	60	44	25	39	30	32	97	159	151	104	60	41	75	43
chr10	1266247	1267247	Amillepora16872	75	45	60	51	25	31	19	34	87	132	157	87	68	53	64	40
chr10	1191492	1192492	Amillepora16861	31	17	34	22	38	42	29	47	66	74	89	56	107	70	67	66
chr10	1207621	1208621	Amillepora16863	29	12	20	20	28	35	13	23	49	70	85	49	84	71	73	58
chr10	1201372	1202372	Amillepora16862	17	9	18	5	18	31	12	15	53	62	67	38	78	47	52	51
chr10	1235617	1236617	Amillepora16867	44	38	30	49	37	46	51	71	35	44	46	56	82	51	38	35
chr10	1217850	1218850	Amillepora16864	45	23	38	41	39	48	38	50	59	60	56	42	86	59	52	33
chr10	1253961	1254961	Amillepora16871	34	14	33	20	21	24	30	42	48	61	79	57	80	63	63	52
chr10	1233158	1234158	Amillepora16865	34	25	33	32	40	37	39	57	74	83	84	83	73	62	64	55
chr10	1237977	1238977	Amillepora16868	9	12	16	18	41	56	51	80	12	19	27	24	114	77	84	74
chr10	1234988	1235988	Amillepora16866	52	37	30	50	34	40	39	51	51	59	72	75	71	43	30	24
chr10	1328314	1329314	Amillepora16877	20	11	27	22	25	48	19	38	72	58	94	70	101	68	94	56
chr10	1322125	1323125	Amillepora16875	20	12	19	12	16	30	17	22	71	72	91	61	105	59	74	55
chr10	1328661	1329661	Amillepora16876	21	13	27	25	28	45	20	30	63	63	85	74	104	65	89	49
chr10	1302485	1303485	Amillepora16874	50	30	23	30	38	42	31	45	53	82	55	56	82	56	38	23
chr10	1479991	1480991	Amillepora16891	27	18	32	23	22	41	33	53	44	64	61	47	96	67	74	54
chr10	1467808	1468808	Amillepora16888	18	21	30	15	15	35	30	29	58	74	93	51	84	73	87	53
chr10	1471970	1472970	Amillepora16890	62	52	75	81	56	58	55	79	58	72	73	53	103	94	62	40
chr10	1463797	1464797	Amillepora16886	13	9	14	15	26	25	12	20	55	89	97	66	96	70	86	50
chr10	1472866	1473866	Amillepora16889	56	41	60	47	56	45	40	76	55	72	75	61	91	82	51	46
chr10	1434109	1435109	Amillepora16878	22	17	36	19	26	26	20	33	49	58	70	43	96	52	81	80
chr10	1443746	1444746	Amillepora16884	51	34	47	45	51	33	41	53	65	87	93	61	114	67	71	64
chr10	1447431	1448431	Amillepora16885	26	16	44	20	33	19	21	41	76	74	85	68	82	60	77	47
chr10	1542563	1543563	Amillepora16898	18	4	24	9	25	30	12	23	54	73	68	46	83	60	64	40
chr10	1491348	1492348	Amillepora16892	19	6	17	10	9	27	10	15	41	38	46	41	62	42	55	39
chr10	1494560	1495560	Amillepora16893	20	13	17	14	5	9	5	5	28	42	40	31	9	5	8	9
chr10	1578487	1579487	Amillepora16899	38	15	30	21	29	32	22	33	74	66	88	59	97	66	67	54
chr10	1543308	1544308	Amillepora16897	18	16	26	17	24	36	18	37	72	77	72	54	99	61	59	47
chr10	1511093	1512093	Amillepora16894	16	15	14	22	19	32	21	27	15	12	17	20	21	20	10	15
chr10	1526551	1527551	Amillepora16896	45	22	42	34	35	62	56	72	91	101	111	104	150	97	121	72
chr10	1519295	1520295	Amillepora16895	26	20	37	21	41	33	26	35	54	66	73	51	86	68	72	55
chr10	1649051	1650051	Amillepora16902	39	20	41	29	27	24	12	27	91	100	107	85	115	53	78	51
chr10	1593546	1594546	Amillepora16900	26	13	16	20	29	37	25	34	55	71	84	46	87	66	62	66
chr10	1659621	1660621	Amillepora16901	32	33	42	27	38	35	32	44	101	99	110	68	110	66	74	67
chr10	1677639	1678639	Amillepora16903	27	20	22	21	33	35	16	33	58	67	92	63	75	52	62	34
chr10	1741689	1742689	Amillepora16905	29	11	37	15	26	36	21	38	54	68	79	60	91	76	61	42
chr10	1715395	1716395	Amillepora16904	16	17	17	16	31	42	30	32	29	26	41	28	55	39	53	29
chr10	1756457	1757457	Amillepora16906	23	9	26	14	13	18	10	24	48	57	61	32	64	35	49	24
chr10	1828427	1829427	Amillepora16914	29	5	22	18	26	32	16	23	57	71	79	55	103	61	80	70
chr10	1818893	1819893	Amillepora16913	37	16	27	30	20	28	20	38	66	78	99	50	72	48	51	43
chr10	1799113	1800113	Amillepora16908	16	11	13	10	6	3	6	7	23	29	39	20	21	8	14	16
chr10	1773118	1774118	Amillepora16907	18	18	18	17	35	42	31	40	28	33	51	28	77	52	63	34
chr10	1854953	1855953	Amillepora16915	30	15	27	21	33	54	26	42	53	65	69	57	91	51	73	36
chr10	1882907	1883907	Amillepora16917	34	22	37	34	34	35	39	45	49	78	71	65	95	67	68	35
chr10	1938453	1939453	Amillepora16921	140	178	130	148	2	3	0	1	6	26	10	21	1	0	3	0
chr10	1937106	1938106	Amillepora16919	236	235	178	240	116	125	101	142	27	35	25	22	41	27	18	10
chr10	1917447	1918447	Amillepora16918	79	69	79	73	48	37	23	31	42	60	60	52	70	44	39	34
chr10	1937680	1938680	Amillepora16920	187	187	165	195	43	44	33	40	17	24	20	15	14	10	3	4
chr10	1991501	1992501	Amillepora16922	20	9	28	17	20	24	10	29	58	74	66	39	95	56	53	50
chr10	2047046	2048046	Amillepora16928	26	21	27	24	26	37	18	39	51	86	81	53	99	59	68	33
chr10	2025251	2026251	Amillepora16926	25	16	27	22	37	41	35	52	49	48	50	41	94	84	79	71
chr10	2025695	2026695	Amillepora16925	27	21	38	30	40	31	39	61	48	57	67	56	106	86	74	67
chr10	2018105	2019105	Amillepora16923	38	21	42	32	45	41	34	57	83	95	110	89	136	86	106	103
chr10	2072302	2073302	Amillepora16929	35	25	48	31	41	37	33	43	60	96	90	68	92	79	86	65
chr10	2085150	2086150	Amillepora16931	33	19	50	39	39	32	21	48	56	69	84	60	102	66	70	71
chr10	2094833	2095833	Amillepora16932	36	16	25	30	34	30	22	48	55	80	88	66	115	83	89	58
chr10	2081697	2082697	Amillepora16930	34	18	36	39	32	39	35	47	72	69	70	50	79	63	71	65
chr10	2111461	2112461	Amillepora16933	195	177	151	172	153	164	126	168	41	53	41	44	65	58	13	8
chr10	2145998	2146998	Amillepora16934	34	17	21	20	18	36	27	31	57	63	80	51	87	64	88	62
chr10	2168383	2169383	Amillepora16937	4	3	2	5	14	15	17	24	1	0	1	0	57	42	40	28
chr10	2248320	2249320	Amillepora16946	33	16	36	20	32	50	25	25	79	82	87	61	101	74	62	50
chr10	2253109	2254109	Amillepora16947	48	38	52	33	39	50	39	49	76	88	95	60	100	78	54	40
chr10	2189122	2190122	Amillepora16939	31	14	29	23	48	50	50	70	46	58	69	45	132	80	104	69
chr10	2209509	2210509	Amillepora16941	64	50	54	62	36	36	41	28	50	62	65	50	92	70	48	35
chr10	2147874	2148874	Amillepora16936	31	8	28	17	28	34	22	23	52	71	65	48	85	49	55	50
chr10	2230833	2231833	Amillepora16944	81	55	77	69	66	68	81	88	73	73	68	55	74	62	55	41
chr10	2225348	2226348	Amillepora16943	30	13	23	20	48	34	29	36	32	43	40	26	76	38	48	24
chr10	2210439	2211439	Amillepora16940	36	30	34	49	27	43	25	46	59	76	85	44	110	64	83	54
chr10	2249302	2250302	Amillepora16945	35	30	38	41	43	57	63	78	83	79	85	63	135	78	75	58
chr10	2263971	2264971	Amillepora16948	40	22	29	17	32	33	33	38	66	74	100	72	110	75	116	88
chr10	2363411	2364411	Amillepora16958	52	34	46	25	14	16	19	26	52	63	71	43	43	56	51	27
chr10	2263930	2264930	Amillepora16949	40	20	27	17	30	35	31	37	65	76	99	69	104	72	115	89
chr10	2343139	2344139	Amillepora16956	26	17	33	18	26	38	30	43	63	86	88	66	87	81	73	54
chr10	2281515	2282515	Amillepora16952	26	28	30	30	29	38	28	30	65	78	75	63	98	78	51	54
chr10	2271960	2272960	Amillepora16950	38	34	32	31	37	37	46	59	59	61	87	55	76	47	50	45
chr10	2276099	2277099	Amillepora16951	61	68	62	58	57	57	43	87	44	49	40	37	79	55	50	27
chr10	2321232	2322232	Amillepora16954	38	39	37	31	44	60	47	55	51	77	75	45	109	68	48	41
chr10	2336587	2337587	Amillepora16953	38	23	44	44	36	44	38	45	68	91	112	70	110	76	83	79
chr10	2359093	2360093	Amillepora16957	32	12	31	25	21	31	17	37	61	90	81	73	108	45	89	60
chr10	2456800	2457800	Amillepora16968	14	26	11	27	46	59	46	65	17	18	14	20	43	29	18	13
chr10	2431115	2432115	Amillepora16964	33	27	37	32	32	49	35	53	55	69	67	42	97	73	45	37
chr10	2386585	2387585	Amillepora16961	30	26	45	34	34	42	32	57	57	89	92	65	100	76	65	58
chr10	2371993	2372993	Amillepora16959	33	22	51	26	38	47	34	59	66	83	80	58	112	82	94	55
chr10	2440088	2441088	Amillepora16965	2	0	1	0	1	2	1	3	0	1	0	0	4	2	0	1
chr10	2432155	2433155	Amillepora16962	78	69	68	72	51	56	51	72	66	69	70	70	111	78	73	51
chr10	2478199	2479199	Amillepora16971	21	9	17	14	34	27	17	19	51	56	60	51	121	57	54	55
chr10	2455082	2456082	Amillepora16967	27	14	17	20	34	49	33	54	3	7	11	6	13	14	5	4
chr10	2445700	2446700	Amillepora16966	45	48	55	58	41	45	41	48	37	40	40	34	61	48	57	32
chr10	2542262	2543262	Amillepora16977	68	39	52	58	34	38	39	41	58	61	102	64	99	64	77	55
chr10	2495949	2496949	Amillepora16972	23	15	22	26	24	29	33	50	63	91	72	52	92	73	67	66
chr10	2519879	2520879	Amillepora16974	47	57	42	48	54	56	41	66	77	95	110	59	117	85	83	80
chr10	2525496	2526496	Amillepora16975	26	13	21	29	17	35	33	30	71	68	83	72	88	76	80	69
chr10	2551255	2552255	Amillepora16979	13	12	22	19	43	26	19	42	26	31	38	22	71	54	41	33
chr10	2571280	2572280	Amillepora16980	36	11	31	16	22	25	19	24	73	84	108	51	108	74	85	57
chr10	2548927	2549927	Amillepora16978	23	10	20	21	41	45	43	46	29	55	36	28	66	45	47	38
chr10	2543235	2544235	Amillepora16976	31	28	30	30	42	57	46	62	65	69	81	53	94	71	54	37
chr10	2515797	2516797	Amillepora16973	27	18	37	29	38	40	21	31	68	73	88	42	93	70	64	50
chr10	2643233	2644233	Amillepora16985	37	19	23	34	28	30	31	45	56	85	78	62	97	83	88	63
chr10	2629050	2630050	Amillepora16984	22	15	25	14	34	31	18	29	54	83	69	49	68	61	52	30
chr10	2668627	2669627	Amillepora16988	103	60	92	74	67	67	65	85	56	72	60	36	85	61	32	36
chr10	2596475	2597475	Amillepora16982	30	16	27	25	36	49	36	63	65	64	70	55	112	61	70	70
chr10	2611129	2612129	Amillepora16983	53	38	48	58	51	41	39	55	66	82	68	44	113	58	36	21
chr10	2679343	2680343	Amillepora16991	36	17	36	22	39	43	47	46	65	73	82	64	79	74	64	40
chr10	2654373	2655373	Amillepora16987	23	18	31	23	27	45	24	37	55	70	94	63	126	78	67	70
chr10	2652208	2653208	Amillepora16986	32	17	32	28	32	30	17	28	66	81	85	66	123	70	91	73
chr10	2590420	2591420	Amillepora16981	15	12	21	10	9	23	20	19	27	32	47	41	42	19	19	19
chr10	2679250	2680250	Amillepora16989	36	19	35	24	42	44	44	46	66	76	82	60	82	79	63	42
chr10	2680327	2681327	Amillepora16990	113	111	99	90	51	51	52	74	63	57	48	51	89	76	66	45
chr10	2698056	2699056	Amillepora16993	24	18	33	25	33	47	21	33	62	68	81	44	96	70	74	64
chr10	2754363	2755363	Amillepora16999	31	17	31	31	34	35	32	43	79	96	73	48	88	65	74	63
chr10	2735448	2736448	Amillepora16997	39	9	30	34	33	34	16	39	61	87	98	68	101	58	76	66
chr10	2729653	2730653	Amillepora16996	28	28	36	37	45	43	34	62	70	79	85	78	113	70	67	63
chr10	2755322	2756322	Amillepora16998	116	126	96	119	58	57	43	78	73	70	73	60	106	62	65	44
chr10	2698043	2699043	Amillepora16992	24	18	34	25	33	48	20	32	61	69	82	44	96	69	75	65
chr10	2716234	2717234	Amillepora16994	65	47	51	44	36	46	37	58	53	71	67	44	86	74	49	34
chr10	2724322	2725322	Amillepora16995	31	13	27	13	29	28	15	27	61	72	80	54	99	64	71	52
chr10	2828435	2829435	Amillepora17006	64	38	56	44	27	31	21	34	68	97	88	76	95	60	73	57
chr10	2817022	2818022	Amillepora17005	28	16	23	25	20	28	19	27	57	63	75	54	88	70	55	47
chr10	2802259	2803259	Amillepora17002	36	21	35	29	19	38	18	32	76	86	77	58	110	74	51	48
chr10	2852773	2853773	Amillepora17007	45	19	47	33	31	31	23	38	103	104	156	82	103	69	89	61
chr10	2864468	2865468	Amillepora17009	61	32	43	44	42	47	47	48	70	71	111	66	105	72	74	57
chr10	2881514	2882514	Amillepora17010	25	13	18	17	27	37	26	37	62	84	69	52	109	72	81	57
chr10	2803282	2804282	Amillepora17001	46	24	39	35	50	30	31	52	70	84	78	62	88	70	48	39
chr10	2817631	2818631	Amillepora17004	48	30	55	59	40	45	40	55	47	74	72	47	81	70	57	42
chr10	2862387	2863387	Amillepora17008	29	18	39	25	33	35	27	49	54	88	78	72	99	61	84	68
chr10	2942018	2943018	Amillepora17016	29	9	22	24	18	24	16	23	51	59	72	45	81	55	48	45
chr10	2888310	2889310	Amillepora17011	33	24	37	27	34	39	41	60	64	61	80	55	85	74	78	63
chr10	2983500	2984500	Amillepora17021	43	23	46	47	39	49	39	40	97	113	118	77	128	87	88	61
chr10	2972457	2973457	Amillepora17018	28	17	24	15	27	37	22	29	74	66	66	55	85	72	58	45
chr10	2961742	2962742	Amillepora17017	20	26	28	30	30	37	17	30	59	64	66	58	101	62	84	41
chr10	2935245	2936245	Amillepora17015	23	13	15	17	21	23	16	31	69	84	88	57	106	48	71	56
chr10	2914146	2915146	Amillepora17013	35	16	28	22	26	34	20	33	58	79	89	56	118	81	62	70
chr10	2923013	2924013	Amillepora17014	36	14	28	25	28	41	28	36	67	76	71	58	86	66	54	48
chr10	2899612	2900612	Amillepora17012	22	13	16	21	30	19	15	38	59	70	77	47	82	53	62	51
chr10	3029333	3030333	Amillepora17028	47	27	40	42	32	51	37	66	78	78	94	56	116	69	71	57
chr10	2971541	2972541	Amillepora17019	25	17	28	19	35	32	12	39	43	65	61	44	69	70	47	49
chr10	3012827	3013827	Amillepora17025	31	32	33	26	28	34	24	32	52	61	80	58	74	61	42	28
chr10	2979664	2980664	Amillepora17022	104	100	91	84	52	60	57	78	43	65	40	36	58	51	20	20
chr10	3013574	3014574	Amillepora17023	30	20	29	15	36	30	14	23	70	68	95	51	85	66	46	26
chr10	3045184	3046184	Amillepora17026	37	18	23	22	31	33	25	25	72	86	89	69	95	76	77	51
chr10	3058727	3059727	Amillepora17030	36	21	39	40	34	39	32	53	56	85	93	66	115	98	100	68
chr10	3055302	3056302	Amillepora17029	41	27	32	35	37	52	49	82	42	86	92	57	103	76	77	58
chr10	3150460	3151460	Amillepora17036	33	16	32	21	40	46	31	43	75	81	81	72	100	68	76	57
chr10	3164364	3165364	Amillepora17037	37	25	46	29	40	25	29	43	67	66	84	62	88	55	56	37
chr10	3134649	3135649	Amillepora17035	30	13	18	24	27	39	14	33	69	81	80	54	102	75	74	64
chr10	3124290	3125290	Amillepora17033	42	19	33	18	34	39	27	47	80	84	98	67	98	81	105	70
chr10	3142725	3143725	Amillepora17034	34	20	22	21	25	33	22	26	66	76	89	63	97	66	83	52
chr10	3095196	3096196	Amillepora17031	71	54	56	34	39	33	23	26	59	76	56	44	78	52	44	25
chr10	3247906	3248906	Amillepora17044	21	13	32	12	51	62	27	51	60	89	110	71	189	138	172	133
chr10	3212999	3213999	Amillepora17041	60	71	63	55	48	55	55	67	64	79	85	51	102	74	57	43
chr10	3203196	3204196	Amillepora17040	41	14	43	16	28	41	27	32	66	74	68	63	107	71	72	67
chr10	3194652	3195652	Amillepora17038	31	12	31	16	29	38	22	21	68	81	62	47	80	60	66	52
chr10	3221638	3222638	Amillepora17042	35	14	34	23	26	46	32	35	61	83	89	54	105	64	89	73
chr10	3211306	3212306	Amillepora17039	44	26	47	36	27	46	21	44	48	68	87	61	86	82	73	46
chr10	3235175	3236175	Amillepora17043	20	13	25	23	31	36	31	43	56	83	88	63	79	78	73	54
chr10	3273878	3274878	Amillepora17045	37	14	29	23	40	44	27	50	51	64	68	42	118	98	100	85
chr10	3313135	3314135	Amillepora17047	70	73	62	62	61	61	62	71	47	54	68	47	97	76	65	55
chr10	3279364	3280364	Amillepora17046	58	39	37	37	52	52	27	56	68	73	48	39	85	57	28	26
chr10	3327236	3328236	Amillepora17049	412	371	318	421	161	192	186	257	30	66	39	70	115	99	27	20
chr10	3325957	3326957	Amillepora17048	179	177	161	183	89	73	70	111	54	64	70	68	112	70	36	17
chr10	3479889	3480889	Amillepora17058	30	10	36	16	24	42	21	28	61	72	74	54	101	71	84	54
chr10	3407341	3408341	Amillepora17054	33	18	22	25	17	36	16	30	58	89	95	63	129	66	69	70
chr10	3473797	3474797	Amillepora17057	30	9	26	28	24	46	21	47	75	83	101	66	115	78	81	67
chr10	3436961	3437961	Amillepora17055	32	11	27	16	33	25	14	13	63	73	80	59	90	62	75	41
chr10	3354447	3355447	Amillepora17050	22	11	21	18	32	35	23	41	46	61	66	53	95	75	87	54
chr10	3394961	3395961	Amillepora17051	39	22	26	28	31	33	28	39	60	54	95	54	81	68	73	69
chr10	3402886	3403886	Amillepora17053	46	32	46	41	55	44	37	80	69	63	85	61	99	65	74	65
chr10	3519576	3520576	Amillepora17060	68	38	52	47	53	49	38	50	74	110	98	66	132	103	87	74
chr10	3503292	3504292	Amillepora17059	13	19	20	22	27	25	27	39	36	26	35	17	85	75	54	46
chr10	3548963	3549963	Amillepora17064	28	15	36	34	41	41	28	39	67	76	100	73	90	76	109	56
chr10	3568079	3569079	Amillepora17066	32	29	42	29	27	41	27	26	53	91	76	51	93	50	70	62
chr10	3523542	3524542	Amillepora17061	21	19	23	13	24	26	17	29	63	83	84	68	105	59	80	51
chr10	3557612	3558612	Amillepora17065	30	16	24	11	27	29	19	19	65	77	62	58	96	53	62	38
chr10	3576199	3577199	Amillepora17067	33	8	24	16	22	24	13	35	54	69	99	59	86	61	82	64
chr10	3525753	3526753	Amillepora17062	34	13	26	19	31	40	20	28	65	69	89	58	92	72	77	57
chr10	3614813	3615813	Amillepora17068	39	26	36	29	29	52	48	53	70	78	106	59	110	78	64	61
chr10	3620826	3621826	Amillepora17069	27	9	20	22	25	22	23	12	60	65	78	50	103	55	61	44
chr10	3780162	3781162	Amillepora17072	20	20	28	17	27	37	19	32	73	82	84	56	83	71	74	56
chr10	3778694	3779694	Amillepora17071	42	30	46	36	39	54	39	40	48	65	84	62	84	85	96	51
chr10	3773178	3774178	Amillepora17070	46	20	46	32	35	35	26	28	62	87	78	55	109	74	70	48
