chr	start	stop	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr10	374285	375285	Amillepora16794	67	17	6	7	2	8	18	3	3	12	13	8	38	32	23	30	12	26	49	27	26	27	20	45
chr10	348300	349300	Amillepora16792	2	2	0	0	0	0	2	0	0	1	0	2	2	0	0	1	0	2	3	1	0	2	0	3
chr10	340469	341469	Amillepora16791	2	0	0	0	0	0	0	0	0	0	0	0	10	2	0	1	1	3	5	0	1	2	0	4
chr10	326833	327833	Amillepora16790	0	1	0	0	0	0	2	0	1	0	2	0	1	1	0	0	0	0	2	0	2	1	2	0
chr10	319549	320549	Amillepora16788	2	0	0	0	0	0	1	0	0	0	4	0	1	1	1	0	1	0	2	1	0	1	0	6
chr10	321966	322966	Amillepora16789	4	4	0	0	0	0	0	0	0	0	4	0	2	1	1	0	0	0	1	0	1	1	1	0
chr10	307307	308307	Amillepora16785	18	2	0	0	1	1	6	0	0	5	4	1	9	1	0	3	1	6	5	0	0	2	2	3
chr10	378820	379820	Amillepora16796	53	13	0	12	2	0	22	0	0	4	4	2	61	37	13	26	19	23	29	13	11	12	7	15
chr10	426276	427276	Amillepora16800	4	0	0	0	0	2	0	0	0	1	0	0	6	1	2	0	0	3	4	0	1	3	0	0
chr10	406702	407702	Amillepora16798	6	0	2	0	0	2	2	0	0	2	2	0	10	6	3	5	5	3	11	2	2	1	1	9
chr10	407282	408282	Amillepora16797	11	2	2	0	0	1	2	0	0	2	4	0	6	4	3	5	3	1	9	2	1	2	1	3
chr10	454446	455446	Amillepora16801	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0	0	0
chr10	498826	499826	Amillepora16804	0	0	0	0	0	0	2	0	0	0	0	0	5	3	0	4	2	1	3	0	0	6	1	1
chr10	551049	552049	Amillepora16812	35	2	0	8	4	10	4	8	0	2	4	6	15	8	8	9	2	4	19	3	2	9	1	2
chr10	523217	524217	Amillepora16808	20	8	4	2	9	1	1	4	4	7	7	4	75	55	41	42	24	56	50	43	41	43	37	79
chr10	577761	578761	Amillepora16815	5	0	0	0	0	0	0	0	0	0	2	0	5	2	2	0	2	2	9	1	0	3	1	2
chr10	508028	509028	Amillepora16806	9	0	0	0	0	0	1	0	0	2	3	0	7	3	3	2	0	2	4	0	0	1	1	1
chr10	560593	561593	Amillepora16813	18	14	0	0	0	2	1	1	0	1	2	0	6	2	2	3	4	2	5	0	1	2	2	3
chr10	524138	525138	Amillepora16807	4	0	2	0	0	0	0	0	0	0	2	0	12	9	5	2	3	1	17	7	8	13	6	15
chr10	577819	578819	Amillepora16814	6	0	0	0	0	0	0	0	0	0	2	0	5	2	2	0	2	2	9	1	1	4	1	2
chr10	551955	552955	Amillepora16811	42	29	11	22	11	18	95	56	19	55	99	72	46	44	28	33	28	45	36	30	27	31	24	54
chr10	508613	509613	Amillepora16805	18	2	0	0	0	0	3	0	0	3	4	0	13	10	4	8	2	4	10	4	0	6	4	5
chr10	534770	535770	Amillepora16809	2	2	0	2	0	0	2	0	0	0	0	2	11	3	4	3	3	6	4	3	0	1	3	1
chr10	467337	468337	Amillepora16802	4	2	0	0	0	0	0	0	0	0	0	0	5	1	2	1	1	1	3	1	3	2	0	0
chr10	498354	499354	Amillepora16803	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	3	2	0	2	0	0	1	1	1
chr10	540044	541044	Amillepora16810	67	58	131	84	56	106	60	93	72	71	60	70	13	6	5	4	1	2	10	1	3	9	1	6
chr10	601618	602618	Amillepora16817	13	2	2	5	0	3	1	0	0	0	3	0	15	2	3	4	4	7	6	2	2	3	0	4
chr10	610089	611089	Amillepora16818	8	1	1	0	0	0	0	0	0	0	0	0	7	4	1	1	0	2	2	1	1	0	1	4
chr10	669412	670412	Amillepora16824	6	0	0	2	0	0	2	0	2	0	4	0	6	4	1	2	2	0	10	0	2	3	1	5
chr10	590800	591800	Amillepora16816	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	3	1	0	3	0	2
chr10	661767	662767	Amillepora16823	2	2	0	0	0	0	1	0	0	0	0	0	3	2	0	3	0	0	7	1	0	0	2	0
chr10	652785	653785	Amillepora16822	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	1	2	0	0	2	0	1
chr10	650592	651592	Amillepora16821	3	1	0	0	0	0	0	0	0	0	0	0	7	5	1	10	3	4	4	0	0	2	1	4
chr10	617020	618020	Amillepora16819	15	1	0	0	0	0	0	0	0	0	0	0	3	3	0	3	0	2	3	1	2	3	0	1
chr10	631931	632931	Amillepora16820	26	8	0	2	0	0	2	0	0	4	6	0	3	1	0	2	0	0	8	1	1	0	2	2
chr10	698434	699434	Amillepora16826	7	3	2	1	0	5	0	1	2	2	0	1	23	23	24	15	18	24	14	3	10	5	11	22
chr10	676558	677558	Amillepora16825	16	0	0	0	0	0	2	0	0	0	5	0	3	1	2	2	4	1	4	3	1	0	2	7
chr10	808375	809375	Amillepora16830	7	0	0	2	0	0	3	0	0	2	0	0	8	0	2	0	4	5	3	1	3	4	1	3
chr10	830244	831244	Amillepora16831	22	0	2	1	3	0	9	11	5	8	2	5	18	16	15	10	11	13	28	11	7	17	8	18
chr10	807448	808448	Amillepora16829	38	21	54	6	22	58	24	30	56	25	14	10	50	46	33	44	24	43	50	28	33	24	29	53
chr10	854059	855059	Amillepora16833	0	0	0	0	0	0	0	0	0	0	0	1	9	9	6	4	6	2	1	4	6	6	2	7
chr10	914709	915709	Amillepora16841	69	23	2	13	0	5	20	0	0	0	4	4	34	21	14	18	10	18	11	4	1	2	2	2
chr10	954229	955229	Amillepora16843	149	69	20	33	14	32	87	9	3	23	59	25	78	82	51	78	60	89	62	52	60	53	70	88
chr10	907747	908747	Amillepora16840	17	11	12	20	17	18	14	3	11	8	18	1	51	40	32	30	21	32	28	29	28	30	31	58
chr10	957650	958650	Amillepora16844	650	406	663	615	540	685	543	549	547	436	635	479	119	111	74	69	54	127	150	73	115	82	101	205
chr10	961825	962825	Amillepora16845	580	457	1008	897	851	983	928	1374	1432	1090	1575	1312	176	116	105	112	60	136	152	59	98	111	129	239
chr10	882033	883033	Amillepora16836	30	0	0	0	0	0	0	0	0	0	2	3	3	3	3	1	1	0	2	1	0	0	0	1
chr10	869790	870790	Amillepora16834	4	6	0	0	0	0	0	0	0	0	0	0	7	1	1	3	0	3	1	0	1	0	1	0
chr10	893845	894845	Amillepora16838	6	1	0	1	0	2	0	0	0	0	0	0	1	1	2	2	0	3	5	1	1	0	1	5
chr10	906171	907171	Amillepora16839	11	2	1	0	10	8	1	2	0	0	1	3	21	18	11	16	12	11	9	2	7	6	6	15
chr10	889458	890458	Amillepora16837	3	0	0	0	0	0	1	0	0	0	2	0	2	1	1	3	1	2	1	0	0	1	0	3
chr10	872906	873906	Amillepora16835	13	0	0	0	0	0	0	0	0	0	0	0	3	2	1	2	1	1	2	0	0	0	0	0
chr10	943692	944692	Amillepora16842	127	55	28	35	13	32	90	57	27	31	75	44	79	57	52	62	50	70	68	42	47	48	47	80
chr10	1016819	1017819	Amillepora16849	12	4	0	0	0	2	0	0	0	0	0	0	3	2	1	1	1	0	1	0	0	1	1	0
chr10	984156	985156	Amillepora16846	0	2	4	1	4	9	0	0	1	1	0	3	17	17	6	6	6	6	9	3	5	3	2	4
chr10	1072221	1073221	Amillepora16852	20	12	8	7	6	10	10	11	10	9	5	5	15	21	9	13	9	16	17	24	18	23	18	29
chr10	1006914	1007914	Amillepora16848	0	2	0	0	0	0	2	0	0	0	0	1	5	1	1	2	0	1	5	0	0	3	0	4
chr10	996844	997844	Amillepora16847	2	4	1	3	0	2	9	10	30	10	17	11	19	11	8	19	20	19	47	36	39	28	36	60
chr10	1038625	1039625	Amillepora16850	16	0	0	2	0	1	4	0	0	0	2	2	12	1	1	4	5	3	7	2	1	0	1	6
chr10	1072966	1073966	Amillepora16851	15	4	0	0	0	0	2	0	0	2	1	0	11	4	0	3	2	1	2	2	0	4	2	3
chr10	1127884	1128884	Amillepora16855	5	0	0	1	0	0	1	0	0	0	0	0	8	6	8	5	0	3	1	0	1	1	2	8
chr10	1166298	1167298	Amillepora16858	9	2	2	0	0	0	1	0	0	1	2	2	5	1	2	0	2	1	4	0	0	1	3	1
chr10	1173960	1174960	Amillepora16859	2	1	0	3	0	0	0	2	0	0	1	1	16	0	3	1	0	2	7	5	0	5	9	4
chr10	1090734	1091734	Amillepora16853	14	4	0	4	0	0	2	0	0	2	2	1	7	1	3	0	1	2	5	0	2	3	0	5
chr10	1145909	1146909	Amillepora16856	5	0	0	0	0	0	3	0	0	0	4	0	8	4	0	6	1	0	2	2	1	0	1	1
chr10	1127670	1128670	Amillepora16854	4	0	0	0	0	0	1	0	0	0	0	0	8	6	7	3	0	4	1	0	0	1	2	5
chr10	1186441	1187441	Amillepora16860	0	0	0	4	0	0	0	0	0	0	2	0	2	1	3	3	0	1	5	2	2	1	0	2
chr10	1156217	1157217	Amillepora16857	11	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	2	1	1	1	0	0	3
chr10	1267602	1268602	Amillepora16873	13	8	2	6	2	7	0	2	0	0	1	0	31	28	16	21	18	25	13	10	7	6	12	26
chr10	1266247	1267247	Amillepora16872	49	37	29	28	40	29	11	20	16	15	15	13	16	7	6	7	11	15	6	3	4	2	3	7
chr10	1191492	1192492	Amillepora16861	6	3	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	3	3	1	1	0	1	2
chr10	1207621	1208621	Amillepora16863	6	0	0	0	0	0	0	0	0	0	0	0	2	1	3	4	1	1	1	1	0	1	0	0
chr10	1201372	1202372	Amillepora16862	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	2	0	2	0	1	0	1	2
chr10	1235617	1236617	Amillepora16867	140	40	8	23	2	5	25	4	1	5	16	7	12	13	8	8	8	11	18	5	7	9	8	9
chr10	1217850	1218850	Amillepora16864	17	1	0	2	0	1	5	0	0	1	0	1	6	5	1	6	2	2	3	1	1	2	3	4
chr10	1253961	1254961	Amillepora16871	1	1	0	0	0	0	4	0	0	0	0	2	7	6	3	4	3	6	5	3	1	0	1	6
chr10	1233158	1234158	Amillepora16865	54	11	2	2	2	1	12	0	1	0	2	0	11	11	3	9	7	10	14	1	0	3	1	7
chr10	1237977	1238977	Amillepora16868	61	15	2	14	4	2	40	17	6	9	50	19	8	6	2	4	1	5	8	1	5	6	6	8
chr10	1234988	1235988	Amillepora16866	208	72	14	33	8	10	57	4	3	4	20	20	26	15	11	16	9	20	22	3	11	8	10	16
chr10	1328314	1329314	Amillepora16877	2	2	0	0	0	0	2	1	1	1	2	0	7	4	2	3	0	2	0	1	0	2	0	3
chr10	1322125	1323125	Amillepora16875	4	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0	2	0	0	3	2	1
chr10	1328661	1329661	Amillepora16876	4	2	0	0	0	0	0	2	1	0	2	0	6	2	1	4	0	0	0	1	0	1	0	1
chr10	1302485	1303485	Amillepora16874	38	22	63	26	24	55	27	23	16	41	4	33	36	9	6	14	9	15	27	3	14	21	9	24
chr10	1479991	1480991	Amillepora16891	2	2	1	2	0	4	16	3	1	3	11	4	13	7	4	10	3	8	24	11	15	18	12	21
chr10	1467808	1468808	Amillepora16888	1	10	0	0	0	0	6	1	0	4	0	1	4	1	1	0	0	2	4	0	1	0	3	0
chr10	1471970	1472970	Amillepora16890	76	44	19	22	17	50	89	55	16	57	91	55	25	17	14	19	12	20	17	12	18	17	6	31
chr10	1463797	1464797	Amillepora16886	2	4	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	3	0	0	0	0	1
chr10	1472866	1473866	Amillepora16889	43	22	13	17	15	21	23	8	5	5	7	10	31	14	13	19	12	12	28	9	14	14	7	22
chr10	1434109	1435109	Amillepora16878	16	2	2	3	2	1	1	0	0	2	2	0	10	5	5	6	3	2	2	2	0	3	1	9
chr10	1443746	1444746	Amillepora16884	18	4	6	0	1	3	0	2	3	1	0	0	44	43	36	25	19	29	32	18	18	21	18	44
chr10	1447431	1448431	Amillepora16885	37	6	0	0	0	2	5	0	0	0	4	2	4	4	0	1	1	1	2	0	1	2	0	1
chr10	1542563	1543563	Amillepora16898	10	2	0	0	0	0	0	0	0	1	1	0	5	1	1	1	2	1	4	0	6	0	0	1
chr10	1491348	1492348	Amillepora16892	2	2	0	0	0	0	0	0	0	0	0	0	6	0	2	1	1	3	2	0	0	0	0	2
chr10	1494560	1495560	Amillepora16893	6	2	0	0	1	0	0	0	0	0	0	0	11	10	6	3	3	9	6	0	6	0	0	5
chr10	1578487	1579487	Amillepora16899	8	2	0	0	0	0	1	2	0	2	4	1	5	1	3	0	2	2	16	6	1	4	3	11
chr10	1543308	1544308	Amillepora16897	30	14	2	0	6	2	2	0	2	2	2	2	2	1	1	3	2	0	5	2	4	3	2	6
chr10	1511093	1512093	Amillepora16894	21	1	0	0	8	4	17	43	43	20	41	15	34	32	17	20	18	28	25	17	21	23	24	45
chr10	1526551	1527551	Amillepora16896	31	9	0	2	0	0	2	0	0	2	0	0	1	3	3	3	0	1	6	2	0	2	0	8
chr10	1519295	1520295	Amillepora16895	7	2	12	4	5	8	5	0	0	3	2	2	45	25	19	26	24	36	54	26	29	31	21	44
chr10	1649051	1650051	Amillepora16902	7	0	0	0	0	0	1	0	0	0	2	0	10	3	0	3	0	3	12	0	0	0	0	0
chr10	1593546	1594546	Amillepora16900	11	2	0	0	2	4	5	1	0	0	9	7	7	6	2	6	4	3	12	1	6	5	9	7
chr10	1659621	1660621	Amillepora16901	11	1	0	0	4	0	0	0	0	0	0	2	3	1	1	2	2	1	9	2	0	0	1	4
chr10	1677639	1678639	Amillepora16903	10	2	0	0	0	2	8	0	0	1	0	0	6	5	3	5	3	2	7	2	0	3	3	10
chr10	1741689	1742689	Amillepora16905	4	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	0	0	1	0	0	0	0	2
chr10	1715395	1716395	Amillepora16904	34	9	1	8	4	1	11	4	1	7	4	0	9	9	3	5	6	9	19	18	12	10	14	17
chr10	1756457	1757457	Amillepora16906	2	2	0	0	0	0	2	0	0	1	0	0	3	2	0	1	2	2	2	0	0	2	2	1
chr10	1828427	1829427	Amillepora16914	2	2	0	0	0	0	2	0	0	0	2	0	6	0	2	1	0	0	5	0	2	1	3	1
chr10	1818893	1819893	Amillepora16913	8	4	0	0	0	0	0	0	0	0	1	0	5	4	1	2	2	4	8	5	3	2	5	12
chr10	1799113	1800113	Amillepora16908	0	0	0	0	2	0	0	0	0	0	2	0	2	4	1	0	2	2	1	0	0	1	0	0
chr10	1773118	1774118	Amillepora16907	13	6	2	4	0	5	9	6	1	3	9	10	4	9	5	6	2	6	11	10	9	14	5	21
chr10	1854953	1855953	Amillepora16915	12	0	0	0	0	0	1	1	0	3	5	2	14	3	3	5	1	2	3	1	2	2	1	2
chr10	1882907	1883907	Amillepora16917	87	35	22	47	5	47	28	10	2	16	41	10	30	19	16	24	15	21	27	6	4	7	16	27
chr10	1938453	1939453	Amillepora16921	56	64	116	53	82	96	0	0	0	0	0	0	68	48	51	49	33	82	0	0	0	0	0	1
chr10	1937106	1938106	Amillepora16919	595	469	470	582	475	624	402	370	251	312	564	455	156	216	132	143	109	207	66	65	81	47	100	127
chr10	1917447	1918447	Amillepora16918	113	79	33	56	31	60	4	0	0	0	0	0	34	18	10	18	3	18	11	3	3	3	1	7
chr10	1937680	1938680	Amillepora16920	258	236	190	237	222	222	118	142	105	101	191	155	129	143	72	121	79	126	16	22	18	13	20	43
chr10	1991501	1992501	Amillepora16922	2	2	0	0	0	0	0	1	0	0	0	0	7	0	1	6	1	0	4	0	0	2	0	1
chr10	2047046	2048046	Amillepora16928	17	2	0	1	3	5	2	1	2	1	0	2	10	4	2	8	3	1	7	2	1	2	1	7
chr10	2025251	2026251	Amillepora16926	25	7	0	1	0	0	6	0	0	0	2	0	11	1	7	4	1	3	4	0	2	1	0	5
chr10	2025695	2026695	Amillepora16925	12	4	1	0	0	1	4	0	0	0	0	0	7	2	4	5	3	3	6	0	2	1	0	6
chr10	2018105	2019105	Amillepora16923	13	2	2	1	0	0	1	1	0	0	7	1	14	9	11	8	3	6	23	10	7	6	7	22
chr10	2072302	2073302	Amillepora16929	15	0	2	2	0	0	7	0	0	1	1	0	6	0	2	1	4	5	9	0	1	3	1	5
chr10	2085150	2086150	Amillepora16931	19	13	2	0	3	3	7	0	0	3	11	0	10	10	4	6	6	4	8	3	3	2	2	6
chr10	2094833	2095833	Amillepora16932	8	3	1	0	0	0	0	0	0	0	0	0	10	9	5	9	9	9	9	1	1	7	3	10
chr10	2081697	2082697	Amillepora16930	46	11	1	5	2	2	7	1	1	0	6	2	10	9	2	13	4	3	15	4	5	7	6	14
chr10	2111461	2112461	Amillepora16933	164	221	314	222	184	381	455	330	177	341	397	356	147	124	104	130	89	142	154	120	151	140	114	233
chr10	2145998	2146998	Amillepora16934	4	0	2	2	1	0	2	0	0	0	0	0	4	0	0	0	0	2	4	0	1	2	2	4
chr10	2168383	2169383	Amillepora16937	0	0	0	0	0	1	6	0	0	0	3	0	1	1	1	1	0	0	7	0	2	1	4	4
chr10	2248320	2249320	Amillepora16946	10	0	0	0	0	0	0	0	0	0	0	0	11	2	4	3	0	2	9	1	1	8	1	3
chr10	2253109	2254109	Amillepora16947	30	11	3	3	1	3	10	1	1	1	1	1	21	9	3	8	3	10	12	5	4	10	1	10
chr10	2189122	2190122	Amillepora16939	58	9	0	1	0	0	7	4	4	0	10	1	25	21	9	16	14	17	31	22	27	23	18	47
chr10	2209509	2210509	Amillepora16941	91	51	40	72	24	55	45	26	12	20	31	26	21	12	12	13	7	15	10	1	1	3	0	2
chr10	2147874	2148874	Amillepora16936	36	10	4	10	2	1	0	0	0	0	2	2	11	4	3	3	3	5	6	1	4	3	4	8
chr10	2230833	2231833	Amillepora16944	376	319	111	170	113	209	188	105	24	129	132	112	70	63	39	47	27	70	69	30	45	50	43	102
chr10	2225348	2226348	Amillepora16943	6	14	15	13	4	5	34	77	74	45	62	40	24	14	8	16	11	13	21	9	10	12	10	28
chr10	2210439	2211439	Amillepora16940	9	2	0	0	0	2	0	2	0	0	2	0	11	3	4	4	1	1	2	0	1	3	0	8
chr10	2249302	2250302	Amillepora16945	77	37	9	10	10	7	11	15	4	9	14	21	13	5	2	8	2	4	14	3	2	4	5	8
chr10	2263971	2264971	Amillepora16948	13	2	0	0	0	0	0	0	0	0	4	0	7	6	3	2	2	4	7	3	2	3	6	7
chr10	2363411	2364411	Amillepora16958	159	52	20	12	22	21	110	37	29	46	109	57	26	32	25	25	21	36	10	19	15	13	14	30
chr10	2263930	2264930	Amillepora16949	15	2	0	0	0	0	0	0	0	0	5	0	7	6	3	2	1	4	7	3	2	3	6	6
chr10	2343139	2344139	Amillepora16956	5	2	0	0	0	0	0	0	0	0	1	0	2	3	2	1	1	1	1	3	0	2	0	3
chr10	2281515	2282515	Amillepora16952	11	2	0	2	0	0	7	3	0	0	3	0	5	2	5	3	0	4	3	2	1	0	3	5
chr10	2271960	2272960	Amillepora16950	64	41	45	59	32	44	11	14	14	10	18	15	59	51	35	45	40	54	63	29	47	29	42	69
chr10	2276099	2277099	Amillepora16951	32	39	2	15	5	20	28	9	8	21	6	6	109	95	68	60	44	94	96	39	59	60	47	90
chr10	2321232	2322232	Amillepora16954	24	7	0	5	0	0	40	14	4	18	22	25	39	29	22	34	17	39	37	11	8	17	22	30
chr10	2336587	2337587	Amillepora16953	16	2	0	0	0	1	3	0	0	2	5	2	11	9	3	4	6	7	14	1	5	8	7	8
chr10	2359093	2360093	Amillepora16957	1	0	0	1	0	0	0	0	0	0	5	0	4	0	0	2	0	0	2	1	0	0	0	1
chr10	2456800	2457800	Amillepora16968	44	32	31	18	24	24	8	12	3	14	17	12	104	104	73	75	54	127	101	48	57	57	98	140
chr10	2431115	2432115	Amillepora16964	22	9	0	4	0	4	13	1	6	7	5	6	39	29	15	20	12	22	36	10	17	23	14	29
chr10	2386585	2387585	Amillepora16961	17	4	1	2	0	0	0	0	0	0	2	0	1	3	0	1	0	2	4	0	2	0	0	2
chr10	2371993	2372993	Amillepora16959	5	1	0	0	0	0	0	0	0	0	0	0	8	2	1	3	3	0	4	1	0	1	3	4
chr10	2440088	2441088	Amillepora16965	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	1	1	0	0	2	4
chr10	2432155	2433155	Amillepora16962	134	66	63	75	63	76	61	109	96	85	78	48	49	50	29	36	25	42	36	23	11	18	25	31
chr10	2478199	2479199	Amillepora16971	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	3	0	1	0	1	1
chr10	2455082	2456082	Amillepora16967	3	2	4	1	1	4	7	4	7	12	12	5	75	66	57	51	54	91	82	68	59	58	99	142
chr10	2445700	2446700	Amillepora16966	21	10	21	21	16	14	17	48	67	15	24	19	31	27	28	19	15	42	25	16	26	15	15	38
chr10	2542262	2543262	Amillepora16977	15	21	63	42	56	57	0	0	0	0	3	0	30	25	12	24	10	10	4	2	3	1	5	12
chr10	2495949	2496949	Amillepora16972	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	2	0
chr10	2519879	2520879	Amillepora16974	54	11	18	22	6	13	12	11	10	22	9	6	21	19	19	22	15	22	13	6	14	15	17	25
chr10	2525496	2526496	Amillepora16975	4	1	2	0	0	2	0	0	0	0	2	0	24	17	9	14	7	11	4	2	3	2	4	3
chr10	2551255	2552255	Amillepora16979	10	2	1	0	0	3	6	0	0	4	2	7	16	16	10	11	6	13	27	9	9	15	11	31
chr10	2571280	2572280	Amillepora16980	6	0	0	2	0	0	0	0	0	2	0	0	6	1	3	2	0	0	1	0	0	1	0	1
chr10	2548927	2549927	Amillepora16978	5	3	5	0	2	1	3	16	15	14	1	0	37	19	20	13	12	26	45	32	31	32	27	78
chr10	2543235	2544235	Amillepora16976	83	41	13	11	2	14	23	1	3	4	16	8	10	1	7	4	3	5	21	3	6	13	10	21
chr10	2515797	2516797	Amillepora16973	7	2	0	0	0	0	0	0	0	0	0	0	6	5	0	2	0	0	3	0	1	0	2	4
chr10	2643233	2644233	Amillepora16985	2	0	2	0	0	2	2	0	0	0	3	0	11	5	1	5	0	2	3	0	0	2	1	6
chr10	2629050	2630050	Amillepora16984	3	1	0	0	0	0	1	0	0	0	0	0	3	1	2	3	0	3	5	0	0	0	0	2
chr10	2668627	2669627	Amillepora16988	362	155	175	220	132	204	143	142	69	102	204	159	110	70	50	74	48	76	107	58	62	61	52	130
chr10	2596475	2597475	Amillepora16982	18	7	0	0	0	1	19	18	5	7	10	24	41	45	53	39	32	46	38	33	30	21	32	48
chr10	2611129	2612129	Amillepora16983	298	120	66	107	41	84	47	6	0	13	18	17	43	21	11	26	9	18	25	8	5	10	5	10
chr10	2679343	2680343	Amillepora16991	22	6	0	2	0	1	2	0	0	0	5	1	9	2	3	7	3	3	6	2	0	0	0	5
chr10	2654373	2655373	Amillepora16987	1	0	0	0	0	0	2	0	0	0	0	2	9	1	1	2	0	2	7	1	1	0	1	3
chr10	2652208	2653208	Amillepora16986	5	5	1	0	0	0	2	0	0	0	1	0	4	2	1	5	0	1	2	0	2	2	2	3
chr10	2590420	2591420	Amillepora16981	2	0	1	0	0	1	0	0	0	1	2	0	11	13	9	12	6	13	24	6	6	10	13	16
chr10	2679250	2680250	Amillepora16989	19	6	0	2	0	1	2	0	0	0	5	0	9	2	3	7	4	3	9	2	0	0	0	5
chr10	2680327	2681327	Amillepora16990	152	124	110	130	136	119	115	57	29	83	88	92	57	55	28	59	43	51	38	27	22	21	21	39
chr10	2698056	2699056	Amillepora16993	1	0	0	0	0	0	0	0	0	0	0	0	8	2	0	1	0	2	8	1	3	2	2	0
chr10	2754363	2755363	Amillepora16999	17	4	0	2	0	3	0	0	0	3	1	2	16	1	2	4	2	3	5	0	3	3	3	7
chr10	2735448	2736448	Amillepora16997	28	7	0	1	2	2	4	3	0	5	9	9	17	4	3	5	4	11	6	7	3	6	12	11
chr10	2729653	2730653	Amillepora16996	7	2	1	0	1	0	0	2	1	0	1	0	5	3	0	6	2	2	5	2	0	2	1	4
chr10	2755322	2756322	Amillepora16998	121	114	144	86	79	144	53	27	29	37	49	27	82	64	32	50	29	57	56	17	27	20	15	50
chr10	2698043	2699043	Amillepora16992	1	0	0	0	0	0	0	0	0	0	0	0	8	2	1	1	0	2	8	1	3	2	2	0
