chr	start	stop	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr10	869540	870040	Amillepora16834	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	0	0	0	1	0	1
chr10	893595	894095	Amillepora16838	20	7	0	4	0	0	0	0	0	0	2	0	2	2	1	3	0	1	2	0	2	0	0	1
chr10	905921	906421	Amillepora16839	2	2	0	0	0	0	0	0	0	0	1	0	4	3	0	1	1	0	1	0	0	1	2	3
chr10	889208	889708	Amillepora16837	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	3
chr10	872656	873156	Amillepora16835	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	2	0	0	0	0	0
chr10	944442	944942	Amillepora16842	4	2	0	0	0	1	2	17	8	7	1	0	25	20	11	10	17	24	27	4	19	16	6	22
chr10	1017569	1018069	Amillepora16849	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	2	0	0
chr10	984906	985406	Amillepora16846	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	3	3	0	2	0	0	3
chr10	1072971	1073471	Amillepora16852	13	3	0	0	0	0	0	0	0	2	0	0	8	2	0	1	0	1	2	0	0	3	2	2
chr10	1007664	1008164	Amillepora16848	0	4	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	2	0	0	1	1	1
chr10	997594	998094	Amillepora16847	2	0	0	1	0	0	0	0	13	1	5	1	5	0	0	1	4	2	2	0	3	1	2	7
chr10	1038375	1038875	Amillepora16850	2	0	0	0	0	1	0	0	0	2	0	2	8	2	1	1	5	1	9	0	0	1	4	1
chr10	1072716	1073216	Amillepora16851	12	4	2	0	0	1	1	0	0	1	2	0	4	5	0	1	3	1	4	3	1	4	2	2
chr10	1128634	1129134	Amillepora16855	2	0	1	1	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	0	1	0	1	4
chr10	1166048	1166548	Amillepora16858	14	2	0	0	0	0	2	0	0	0	0	1	2	0	2	0	1	1	4	0	0	1	3	2
chr10	1173710	1174210	Amillepora16859	1	2	0	0	0	0	2	1	0	0	0	0	4	1	1	1	0	0	1	1	0	1	0	0
chr10	1090484	1090984	Amillepora16853	22	9	0	4	0	0	4	0	0	1	4	2	9	0	2	1	2	0	1	0	0	2	0	3
chr10	1145659	1146159	Amillepora16856	4	2	0	0	0	0	0	0	0	0	2	0	3	1	1	3	1	0	1	1	0	1	0	1
chr10	1127420	1127920	Amillepora16854	3	0	0	3	0	0	3	0	0	0	0	0	2	0	1	1	0	2	4	0	1	1	0	4
chr10	1186191	1186691	Amillepora16860	2	1	0	2	0	0	0	0	0	0	0	0	3	1	1	4	0	1	1	1	3	1	0	4
chr10	1155967	1156467	Amillepora16857	4	0	0	0	0	0	1	0	0	0	0	0	2	1	0	4	2	2	2	0	0	1	0	4
chr10	1268352	1268852	Amillepora16873	25	14	18	11	15	20	1	2	1	0	0	0	32	29	14	19	20	34	9	10	7	3	10	20
chr10	1265997	1266497	Amillepora16872	29	19	22	20	36	26	10	16	12	14	15	10	5	0	1	0	2	4	1	0	3	3	0	5
chr10	1191242	1191742	Amillepora16861	12	0	0	0	0	0	0	0	0	0	0	2	1	2	0	2	0	0	2	0	0	0	0	0
chr10	1207371	1207871	Amillepora16863	2	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	0	1	1	0	0	1	0	0
chr10	1201122	1201622	Amillepora16862	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	2	0	0	0	0	1
chr10	1235367	1235867	Amillepora16867	123	39	5	19	4	2	31	0	3	2	11	7	11	6	4	7	3	5	12	3	5	5	7	5
chr10	1217600	1218100	Amillepora16864	20	1	0	2	0	3	2	0	0	3	0	2	1	1	2	2	1	1	2	0	2	2	2	1
chr10	1253711	1254211	Amillepora16871	0	2	0	0	0	0	2	0	0	0	0	1	0	3	0	0	1	0	0	2	2	0	2	3
chr10	1232908	1233408	Amillepora16865	60	8	6	2	5	5	11	2	1	2	5	8	19	13	7	11	4	14	13	2	7	8	7	11
chr10	1237727	1238227	Amillepora16868	0	0	1	0	1	0	14	0	1	4	19	4	0	0	0	0	0	0	2	0	1	1	2	2
chr10	1234738	1235238	Amillepora16866	112	35	15	13	10	11	39	6	2	10	12	19	27	11	5	11	9	15	12	2	6	3	5	15
chr10	1329064	1329564	Amillepora16877	4	2	0	0	0	0	0	2	0	0	2	0	0	1	0	3	0	0	0	1	0	0	0	1
chr10	1321875	1322375	Amillepora16875	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	2	0	0	1	0	1
chr10	1328411	1328911	Amillepora16876	0	0	0	0	0	0	0	0	1	1	0	0	4	1	2	1	0	2	0	1	0	2	0	1
chr10	1302235	1302735	Amillepora16874	6	0	0	0	0	0	1	0	0	0	0	0	5	0	0	3	0	0	2	0	3	2	0	2
chr10	1480741	1481241	Amillepora16891	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
chr10	1468558	1469058	Amillepora16888	5	2	0	0	1	0	3	0	0	0	2	1	2	1	0	1	0	0	3	0	0	0	1	1
chr10	1472720	1473220	Amillepora16890	17	4	0	5	0	2	8	2	0	1	0	3	9	1	2	1	1	0	1	0	3	0	1	5
chr10	1464547	1465047	Amillepora16886	3	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0
chr10	1472616	1473116	Amillepora16889	24	6	0	6	1	2	9	4	0	1	0	5	9	2	2	1	1	0	2	0	2	1	1	5
chr10	1433859	1434359	Amillepora16878	8	0	0	5	2	0	1	0	0	1	0	0	7	4	3	1	2	2	0	1	0	1	0	5
chr10	1443496	1443996	Amillepora16884	21	6	0	0	0	0	4	0	0	1	3	3	0	1	0	1	0	2	4	0	0	2	0	1
chr10	1447181	1447681	Amillepora16885	7	2	0	0	0	0	5	0	0	0	11	2	6	3	0	0	1	0	3	0	0	0	1	0
chr10	1543313	1543813	Amillepora16898	4	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	2	0	2	2	0	1
chr10	1492098	1492598	Amillepora16892	2	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1
chr10	1495310	1495810	Amillepora16893	9	2	0	0	0	0	0	0	0	0	0	0	4	4	2	1	1	3	3	0	2	0	0	2
chr10	1578237	1578737	Amillepora16899	7	5	0	0	0	0	0	1	0	1	4	0	6	2	2	0	1	2	4	0	0	3	1	0
chr10	1543058	1543558	Amillepora16897	7	2	0	0	0	0	0	0	0	0	1	0	3	1	1	0	1	1	1	0	3	0	0	1
chr10	1510843	1511343	Amillepora16894	0	0	0	0	0	0	6	9	3	9	15	7	12	18	7	11	6	12	2	4	4	3	6	10
chr10	1526301	1526801	Amillepora16896	6	1	0	0	1	0	1	0	0	0	0	0	2	4	3	2	0	2	6	2	1	1	0	5
chr10	1519045	1519545	Amillepora16895	3	2	0	0	0	1	2	0	0	0	0	0	8	3	2	5	1	3	5	2	2	2	0	4
chr10	1649801	1650301	Amillepora16902	3	0	0	0	0	0	0	0	0	0	4	0	2	1	0	0	0	0	5	0	0	0	0	3
chr10	1594296	1594796	Amillepora16900	6	1	1	1	1	1	4	0	0	0	4	3	3	1	1	4	0	1	3	0	2	1	3	0
chr10	1659371	1659871	Amillepora16901	10	1	0	2	1	0	0	0	0	0	0	2	2	2	1	1	0	1	1	2	1	1	1	3
chr10	1677389	1677889	Amillepora16903	4	1	1	0	0	2	4	0	0	1	0	0	3	2	3	0	0	3	6	2	0	2	3	8
chr10	1741439	1741939	Amillepora16905	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	2	0	0	0	0	0
chr10	1715145	1715645	Amillepora16904	5	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	2	0	0	1	1	0
chr10	1756207	1756707	Amillepora16906	6	2	0	1	0	0	0	1	0	1	1	0	0	0	0	1	2	4	2	0	0	3	2	0
chr10	1829177	1829677	Amillepora16914	9	4	0	0	0	0	0	0	0	2	4	0	2	0	1	1	2	0	4	0	1	0	0	0
chr10	1819643	1820143	Amillepora16913	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	1
chr10	1798863	1799363	Amillepora16908	10	8	0	0	0	2	0	1	0	0	0	0	5	8	5	1	4	5	2	0	0	1	1	1
chr10	1772868	1773368	Amillepora16907	9	4	0	0	2	1	3	0	0	2	5	2	7	2	5	1	2	3	5	1	1	1	0	7
chr10	1854703	1855203	Amillepora16915	2	0	0	0	0	0	0	1	0	0	0	2	8	1	2	5	1	0	3	1	1	1	1	1
chr10	1883657	1884157	Amillepora16917	11	2	0	2	1	1	5	1	1	3	1	0	3	0	1	2	2	0	4	0	2	0	0	4
chr10	1938203	1938703	Amillepora16921	59	101	48	52	73	56	0	0	0	0	0	0	62	55	37	60	40	57	1	0	0	0	0	0
chr10	1936856	1937356	Amillepora16919	413	324	376	475	423	474	285	353	293	256	382	286	121	173	133	94	98	183	85	73	101	68	122	140
chr10	1917197	1917697	Amillepora16918	35	14	16	23	14	25	1	0	0	0	1	0	42	20	17	22	7	23	22	6	8	5	2	18
chr10	1937430	1937930	Amillepora16920	248	214	162	157	157	216	236	210	170	193	329	271	78	92	51	78	48	86	32	30	31	23	44	67
chr10	1992251	1992751	Amillepora16922	3	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0
chr10	2047796	2048296	Amillepora16928	2	2	0	2	0	1	0	0	0	0	0	0	5	2	2	2	1	0	0	0	1	0	0	2
chr10	2026001	2026501	Amillepora16926	5	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	2	2	0	0	1	0	3
chr10	2025445	2025945	Amillepora16925	16	5	0	0	0	0	4	0	0	0	1	0	6	1	2	2	1	0	2	0	2	1	0	1
chr10	2017855	2018355	Amillepora16923	13	3	0	2	0	0	2	0	0	0	4	2	3	1	0	2	1	1	2	1	0	0	0	3
chr10	2073052	2073552	Amillepora16929	6	0	0	1	0	0	6	0	0	0	0	0	5	0	1	0	1	1	3	0	1	0	1	3
chr10	2085900	2086400	Amillepora16931	7	13	2	0	3	2	4	0	0	4	6	0	3	1	3	2	1	0	5	1	0	3	0	3
chr10	2095583	2096083	Amillepora16932	3	1	1	0	0	0	0	0	0	0	0	0	6	2	4	1	3	1	3	0	0	3	2	7
chr10	2082447	2082947	Amillepora16930	99	24	7	22	8	24	6	2	1	0	6	0	24	16	13	24	9	9	32	8	20	21	4	26
chr10	2112211	2112711	Amillepora16933	59	45	53	69	41	65	20	9	1	5	5	10	85	74	53	47	41	65	47	27	28	24	33	58
chr10	2145748	2146248	Amillepora16934	2	1	1	1	2	0	0	0	0	0	0	0	1	0	0	0	2	2	5	2	1	0	1	3
chr10	2169133	2169633	Amillepora16937	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	0	3
chr10	2249070	2249570	Amillepora16946	4	3	0	0	0	0	0	1	0	0	0	1	2	1	3	0	0	2	1	2	2	1	1	0
chr10	2253859	2254359	Amillepora16947	31	5	0	2	2	0	19	6	0	5	8	8	7	2	1	2	0	3	4	0	1	5	1	3
chr10	2189872	2190372	Amillepora16939	14	2	0	0	0	2	2	0	0	0	0	0	3	1	0	2	0	1	5	0	2	2	1	0
chr10	2210259	2210759	Amillepora16941	5	0	0	0	0	0	0	0	0	0	2	0	4	6	4	2	0	1	2	0	0	3	0	5
chr10	2148624	2149124	Amillepora16936	16	6	0	1	0	1	0	0	0	0	2	2	3	3	1	3	2	4	4	0	2	1	0	3
chr10	2231583	2232083	Amillepora16944	26	19	6	8	2	7	4	1	0	3	2	2	9	5	4	4	1	7	5	4	0	6	0	11
chr10	2226098	2226598	Amillepora16943	1	0	0	0	0	0	0	0	0	0	0	0	6	2	3	4	3	1	3	0	1	1	0	3
chr10	2210189	2210689	Amillepora16940	6	0	0	0	0	0	0	0	0	0	2	0	4	4	4	3	1	2	2	1	0	3	0	5
chr10	2249052	2249552	Amillepora16945	4	3	0	0	0	0	0	1	0	0	0	1	2	2	3	0	0	2	1	2	2	1	1	0
chr10	2263721	2264221	Amillepora16948	23	7	0	0	0	0	4	0	0	0	2	0	4	3	2	1	0	2	6	3	2	1	3	2
chr10	2364161	2364661	Amillepora16958	147	43	8	9	12	16	100	28	17	42	98	56	4	3	4	4	7	10	3	3	3	2	3	5
chr10	2264680	2265180	Amillepora16949	9	0	0	0	0	0	0	0	0	0	2	0	5	3	1	2	2	3	9	0	1	0	1	4
chr10	2343889	2344389	Amillepora16956	6	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	1	1	1
chr10	2282265	2282765	Amillepora16952	8	1	0	0	0	0	2	2	0	0	1	0	4	0	2	3	0	2	2	0	0	1	1	2
chr10	2272710	2273210	Amillepora16950	0	0	0	2	0	0	1	0	0	0	0	2	2	1	0	1	0	0	2	1	0	1	3	6
chr10	2276849	2277349	Amillepora16951	14	7	0	1	0	2	0	0	0	0	0	0	14	5	0	4	2	6	8	0	0	0	2	1
chr10	2321982	2322482	Amillepora16954	128	51	3	30	10	25	19	8	3	11	19	16	75	64	40	60	34	67	26	11	14	17	27	48
chr10	2336337	2336837	Amillepora16953	16	2	0	0	0	0	2	0	0	0	5	2	5	3	1	1	1	3	4	0	0	3	0	2
chr10	2358843	2359343	Amillepora16957	6	0	0	0	0	0	0	0	0	0	2	1	2	0	0	1	0	1	4	0	0	1	0	0
chr10	2457550	2458050	Amillepora16968	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	3	2	2	3	0	1	5	1	5
chr10	2431865	2432365	Amillepora16964	3	1	0	2	0	0	5	0	0	3	3	0	7	4	1	3	5	7	12	0	3	1	2	3
chr10	2387335	2387835	Amillepora16961	10	2	2	2	0	0	0	0	0	0	2	0	1	2	0	2	0	2	4	0	0	1	0	2
chr10	2372743	2373243	Amillepora16959	3	2	0	0	0	0	0	0	0	0	1	0	5	2	1	2	1	1	2	0	0	3	2	1
chr10	2440838	2441338	Amillepora16965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	2431905	2432405	Amillepora16962	3	1	0	2	0	0	4	0	0	2	3	0	8	4	1	3	5	7	12	0	3	1	2	3
chr10	2477949	2478449	Amillepora16971	1	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2	3	2	0	1	1	1	3
chr10	2454832	2455332	Amillepora16967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	2445450	2445950	Amillepora16966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	2543012	2543512	Amillepora16977	7	4	4	0	0	0	0	0	0	0	4	0	5	3	4	4	2	1	5	0	3	2	5	8
chr10	2496699	2497199	Amillepora16972	1	0	0	0	0	0	3	0	0	0	2	2	0	1	0	4	0	2	2	0	0	2	2	0
chr10	2520629	2521129	Amillepora16974	70	10	0	8	1	0	19	0	0	6	2	2	4	5	4	3	4	2	4	1	2	2	0	1
chr10	2526246	2526746	Amillepora16975	6	0	1	0	0	0	0	0	0	0	1	0	2	1	5	1	2	2	1	1	0	0	3	3
chr10	2552005	2552505	Amillepora16979	5	1	0	0	0	2	0	0	0	0	0	0	4	1	2	2	1	3	5	2	1	4	4	11
chr10	2572030	2572530	Amillepora16980	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
chr10	2548677	2549177	Amillepora16978	2	0	1	0	0	0	0	7	5	6	1	0	5	1	2	3	0	10	18	8	10	15	13	21
chr10	2542985	2543485	Amillepora16976	7	4	2	0	0	0	0	0	0	0	4	0	4	3	4	4	2	1	4	0	3	2	5	8
chr10	2515547	2516047	Amillepora16973	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	1	0	1	0
chr10	2643983	2644483	Amillepora16985	3	0	0	0	0	1	4	0	0	0	3	0	3	7	0	2	0	1	3	0	0	1	0	6
chr10	2629800	2630300	Amillepora16984	9	0	0	2	0	0	0	0	0	0	0	0	2	1	0	1	0	1	1	0	0	0	0	3
chr10	2669377	2669877	Amillepora16988	17	1	0	0	0	0	2	0	0	0	0	0	5	1	2	0	1	1	6	0	0	0	0	3
chr10	2597225	2597725	Amillepora16982	4	3	0	0	0	0	18	18	3	6	5	22	2	0	1	4	2	1	6	2	0	5	1	3
chr10	2611879	2612379	Amillepora16983	14	2	0	0	0	0	5	0	0	1	0	0	7	1	0	1	0	1	1	1	1	1	0	0
chr10	2680093	2680593	Amillepora16991	9	0	2	0	0	0	0	0	0	0	1	1	3	1	0	3	1	1	6	0	1	0	0	3
chr10	2655123	2655623	Amillepora16987	2	0	0	0	0	0	0	0	0	0	0	4	5	1	0	0	0	1	2	0	0	4	2	6
chr10	2651958	2652458	Amillepora16986	3	6	2	0	0	0	1	0	0	0	0	0	3	1	2	2	0	0	1	0	1	0	0	0
chr10	2590170	2590670	Amillepora16981	4	0	0	0	0	0	0	0	0	1	3	1	5	7	3	3	4	2	10	3	1	2	4	3
chr10	2679000	2679500	Amillepora16989	1	0	0	0	0	2	0	0	0	2	3	0	5	1	3	0	2	5	6	1	0	1	1	3
chr10	2680077	2680577	Amillepora16990	10	0	2	0	0	0	0	0	0	0	1	1	3	1	0	3	1	1	6	0	1	0	0	3
chr10	2698806	2699306	Amillepora16993	5	0	0	0	0	0	0	0	0	0	2	0	3	2	1	2	0	2	2	1	1	2	2	1
chr10	2755113	2755613	Amillepora16999	17	5	0	1	0	2	2	0	0	0	0	0	10	1	0	4	4	0	7	2	1	0	1	0
chr10	2736198	2736698	Amillepora16997	57	24	0	6	6	6	18	6	2	8	12	24	15	6	3	4	4	7	5	9	3	5	10	9
chr10	2729403	2729903	Amillepora16996	2	2	0	0	2	2	0	1	0	0	2	0	6	2	0	4	2	1	3	0	0	1	0	5
chr10	2755072	2755572	Amillepora16998	15	4	0	1	0	2	1	0	0	0	0	0	10	1	0	4	4	0	7	2	2	0	1	1
chr10	2697793	2698293	Amillepora16992	3	1	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	1	4	0	0	0	0	4
