# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts_DEDUPPED.txt" "-T" "64" "--primary" "L5-S1_S216_dupsRemoved.bam" "L5-S2_S217_dupsRemoved.bam" "L5-S3_S218_dupsRemoved.bam" "L5-T1_S222_dupsRemoved.bam" "L5-T2_S223_dupsRemoved.bam" "L5-T3_S224_dupsRemoved.bam" "N12-S1_S219_dupsRemoved.bam" "N12-S2_S220_dupsRemoved.bam" "N12-S3_S221_dupsRemoved.bam" "N12-T1_S225_dupsRemoved.bam" "N12-T2_S226_dupsRemoved.bam" "N12-T3_S227_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_dupsRemoved.bam	L5-S2_S217_dupsRemoved.bam	L5-S3_S218_dupsRemoved.bam	L5-T1_S222_dupsRemoved.bam	L5-T2_S223_dupsRemoved.bam	L5-T3_S224_dupsRemoved.bam	N12-S1_S219_dupsRemoved.bam	N12-S2_S220_dupsRemoved.bam	N12-S3_S221_dupsRemoved.bam	N12-T1_S225_dupsRemoved.bam	N12-T2_S226_dupsRemoved.bam	N12-T3_S227_dupsRemoved.bam
Amillepora16903	chr10	1663588	1677639	-	14052	14	16	17	19	25	15	7	16	12	11	18	23
Amillepora16905	chr10	1720738	1741689	-	20952	179	123	122	159	144	184	116	87	92	117	129	119
Amillepora16904	chr10	1682851	1715395	-	32545	173	118	132	151	176	212	75	91	80	78	87	72
Amillepora16906	chr10	1747056	1756457	-	9402	25	21	25	26	33	26	15	23	26	24	19	35
Amillepora16914	chr10	1829427	1837350	+	7924	21	27	21	29	46	44	40	41	48	34	37	42
Amillepora16913	chr10	1819893	1828700	+	8808	68	59	60	72	73	84	90	81	58	81	71	86
Amillepora16908	chr10	1774682	1799113	-	24432	48	49	33	39	56	61	31	25	33	36	29	39
Amillepora16907	chr10	1763368	1773118	-	9751	57	47	34	49	70	93	24	35	27	35	40	38
Amillepora16915	chr10	1851236	1854953	-	3718	0	3	2	0	5	1	1	1	0	2	0	0
Amillepora16917	chr10	1883907	1884492	+	586	0	0	1	1	1	0	0	0	0	2	0	1
Amillepora16921	chr10	1938157	1938453	-	297	1	1	2	2	2	0	0	0	0	0	0	0
Amillepora16919	chr10	1935341	1937106	-	1766	0	0	0	1	2	1	1	0	0	0	2	0
Amillepora16918	chr10	1915346	1917447	-	2102	5	3	3	4	9	2	3	1	4	4	3	1
Amillepora16920	chr10	1937314	1937680	-	367	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora16922	chr10	1992501	2003703	+	11203	82	55	53	75	71	72	61	64	45	76	67	50
Amillepora16928	chr10	2048046	2071807	+	23762	259	193	227	261	288	294	268	338	252	289	282	279
Amillepora16926	chr10	2026251	2045618	+	19368	30	21	27	33	32	27	29	18	29	23	27	28
Amillepora16925	chr10	2021479	2025695	-	4217	9	1	4	12	7	6	14	14	5	16	12	6
Amillepora16923	chr10	2007159	2018105	-	10947	203	166	179	181	201	254	182	206	165	156	185	182
Amillepora16929	chr10	2073302	2077905	+	4604	41	23	29	40	27	19	52	52	44	42	62	52
Amillepora16931	chr10	2086150	2093574	+	7425	167	128	127	147	149	196	118	136	100	135	125	122
Amillepora16932	chr10	2095833	2112136	+	16304	79	44	65	78	64	77	39	51	33	39	54	55
Amillepora16930	chr10	2082697	2084961	+	2265	155	139	126	128	154	203	172	172	148	155	157	154
Amillepora16933	chr10	2112461	2127562	+	15102	92	58	68	85	85	95	43	59	60	51	55	49
Amillepora16934	chr10	2130356	2145998	-	15643	117	107	114	111	113	154	91	101	84	81	101	93
Amillepora16937	chr10	2169383	2182705	+	13323	17	10	11	15	17	22	48	38	33	58	66	54
Amillepora16946	chr10	2249320	2251249	+	1930	21	11	13	21	23	26	31	20	21	17	23	16
Amillepora16947	chr10	2254109	2256981	+	2873	25	21	14	20	27	27	17	26	23	21	28	23
Amillepora16939	chr10	2190122	2204488	+	14367	86	69	77	81	104	97	48	81	72	87	99	100
Amillepora16941	chr10	2210509	2221906	+	11398	46	17	21	37	34	42	41	47	37	52	52	68
Amillepora16936	chr10	2148874	2162506	+	13633	64	38	53	62	83	53	46	54	41	57	71	66
Amillepora16944	chr10	2231833	2240923	+	9091	160	88	130	136	133	189	153	150	126	140	137	132
Amillepora16943	chr10	2226348	2230411	+	4064	21	20	13	23	17	35	23	19	16	21	19	21
Amillepora16940	chr10	2205919	2210439	-	4521	36	28	28	42	39	63	14	42	24	21	35	30
Amillepora16945	chr10	2241694	2249302	-	7609	103	71	69	100	100	83	69	102	92	94	82	108
Amillepora16948	chr10	2256993	2263971	-	6979	61	47	59	52	56	74	44	50	28	53	54	41
Amillepora16958	chr10	2364411	2371316	+	6906	15	8	9	10	9	12	4	3	4	8	7	4
Amillepora16949	chr10	2264930	2272038	+	7109	106	90	81	118	102	120	79	98	75	84	90	90
Amillepora16956	chr10	2344139	2349159	+	5021	1	1	4	6	4	8	6	5	5	3	3	4
Amillepora16952	chr10	2282515	2301395	+	18881	149	123	114	149	153	150	118	130	102	122	123	111
Amillepora16950	chr10	2272960	2276812	+	3853	16	9	7	14	7	12	18	19	9	15	13	11
Amillepora16951	chr10	2277099	2282404	+	5306	53	31	51	47	33	47	41	43	29	43	40	45
Amillepora16954	chr10	2322232	2337002	+	14771	0	0	0	0	1	0	2	1	0	0	1	0
Amillepora16953	chr10	2299488	2336587	-	37100	199	139	155	201	184	220	104	113	115	122	130	144
Amillepora16957	chr10	2351942	2359093	-	7152	36	37	23	41	46	56	43	38	26	23	37	33
Amillepora16968	chr10	2457800	2459788	+	1989	12	11	12	11	10	17	13	15	10	8	12	12
Amillepora16964	chr10	2432115	2437328	+	5214	21	10	18	23	22	45	19	12	20	18	23	12
Amillepora16961	chr10	2387585	2408683	+	21099	47	44	21	37	39	59	36	59	32	48	48	45
Amillepora16959	chr10	2372993	2387315	+	14323	101	67	86	76	104	99	110	83	73	117	91	74
Amillepora16965	chr10	2441088	2445633	+	4546	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16962	chr10	2410406	2432155	-	21750	51	32	40	50	41	44	36	41	35	28	39	41
Amillepora16971	chr10	2477548	2478199	-	652	0	0	0	0	2	0	0	1	0	0	0	0
Amillepora16967	chr10	2454222	2455082	-	861	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16966	chr10	2444879	2445700	-	822	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16977	chr10	2543262	2546448	+	3187	7	4	13	13	12	12	14	11	8	10	15	16
Amillepora16972	chr10	2496949	2507124	+	10176	26	21	10	18	27	24	13	16	15	13	28	14
Amillepora16974	chr10	2520879	2525372	+	4494	32	29	27	33	38	41	59	68	52	68	55	71
Amillepora16975	chr10	2526496	2539042	+	12547	131	99	103	125	127	126	98	99	85	94	100	89
Amillepora16979	chr10	2552255	2572092	+	19838	79	73	68	87	85	106	99	97	70	100	89	107
Amillepora16980	chr10	2572280	2580758	+	8479	14	18	16	20	14	26	1	7	18	7	11	12
Amillepora16978	chr10	2546984	2548927	-	1944	80	54	75	79	74	97	85	92	77	75	62	78
Amillepora16976	chr10	2538169	2543235	-	5067	25	21	19	34	27	35	38	29	25	35	25	23
Amillepora16973	chr10	2515072	2515797	-	726	2	2	2	5	8	2	5	8	4	3	8	2
Amillepora16985	chr10	2644233	2649255	+	5023	15	10	3	16	10	20	14	17	13	7	14	13
Amillepora16984	chr10	2630050	2643072	+	13023	8	11	8	9	13	13	6	12	12	7	19	10
Amillepora16988	chr10	2669627	2676122	+	6496	52	31	39	41	43	48	53	52	50	52	43	52
Amillepora16982	chr10	2597475	2611037	+	13563	129	96	94	117	126	165	109	105	97	111	127	105
Amillepora16983	chr10	2612129	2625392	+	13264	79	50	44	77	70	82	57	65	51	57	63	67
Amillepora16991	chr10	2680343	2684011	+	3669	14	8	14	16	11	15	12	10	11	8	8	20
Amillepora16987	chr10	2655373	2659673	+	4301	38	23	29	30	19	21	33	31	22	26	32	17
Amillepora16986	chr10	2649324	2652208	-	2885	25	16	15	15	10	13	23	16	12	17	23	28
Amillepora16981	chr10	2581127	2590420	-	9294	128	105	100	150	149	160	103	131	103	119	104	115
Amillepora16989	chr10	2676664	2679250	-	2587	12	8	5	16	19	26	7	8	16	11	16	17
Amillepora16990	chr10	2679530	2680327	-	798	1	0	0	0	1	0	1	0	2	0	0	1
Amillepora16993	chr10	2699056	2701502	+	2447	42	34	30	37	52	35	42	37	41	47	55	53
Amillepora16999	chr10	2755363	2784751	+	29389	305	216	243	347	345	321	264	327	270	289	305	327
Amillepora16997	chr10	2736448	2740601	+	4154	41	27	35	53	39	37	50	54	48	52	51	63
Amillepora16996	chr10	2726870	2729653	-	2784	13	6	8	11	11	5	12	15	12	16	13	15
Amillepora16998	chr10	2748793	2755322	-	6530	32	24	15	26	30	43	32	42	36	37	27	42
Amillepora16992	chr10	2685933	2698043	-	12111	268	189	243	297	289	275	242	292	217	238	224	264
Amillepora16994	chr10	2703038	2716234	-	13197	136	82	92	133	155	187	126	95	112	117	122	134
Amillepora16995	chr10	2717896	2724322	-	6427	79	61	50	74	85	92	60	58	53	50	72	58
Amillepora17006	chr10	2829435	2831933	+	2499	13	12	8	11	17	14	4	8	4	7	11	9
Amillepora17005	chr10	2818022	2828668	+	10647	94	81	66	102	104	110	73	64	63	61	60	69
Amillepora17002	chr10	2803259	2809408	+	6150	103	66	88	85	95	133	38	47	53	40	54	42
Amillepora17007	chr10	2853773	2859131	+	5359	37	31	32	40	36	46	61	90	54	89	85	83
Amillepora17009	chr10	2865468	2870035	+	4568	6	6	2	7	9	9	2	5	1	1	3	3
Amillepora17010	chr10	2882514	2888637	+	6124	14	6	6	6	14	13	7	6	6	15	11	12
Amillepora17001	chr10	2786659	2803282	-	16624	213	168	159	212	222	263	161	208	160	202	244	212
Amillepora17004	chr10	2811141	2817631	-	6491	676	506	584	651	687	760	596	588	561	530	522	576
Amillepora17008	chr10	2860748	2862387	-	1640	12	8	5	12	11	20	12	14	1	15	6	9
Amillepora17016	chr10	2943018	2956828	+	13811	77	49	69	74	99	95	43	52	59	73	82	91
Amillepora17011	chr10	2889310	2889646	+	337	1	0	0	0	0	3	0	1	2	0	0	0
Amillepora17021	chr10	2976822	2983500	-	6679	78	59	69	68	72	108	73	76	73	75	62	68
Amillepora17018	chr10	2963673	2972457	-	8785	100	70	78	87	98	111	96	101	78	72	79	90
Amillepora17017	chr10	2957442	2961742	-	4301	7	5	6	9	3	10	4	6	5	4	5	4
Amillepora17015	chr10	2930818	2935245	-	4428	2	3	3	7	4	5	7	5	8	6	8	9
Amillepora17013	chr10	2908541	2914146	-	5606	9	10	7	15	21	19	17	14	11	16	14	18
Amillepora17014	chr10	2919396	2923013	-	3618	4	3	3	1	4	2	5	5	5	4	4	3
Amillepora17012	chr10	2894651	2899612	-	4962	24	10	16	16	17	23	8	12	6	12	20	12
Amillepora17028	chr10	3030333	3031777	+	1445	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora17019	chr10	2972541	2976562	+	4022	45	38	30	42	34	74	60	54	43	38	44	44
Amillepora17025	chr10	3013827	3019964	+	6138	101	83	74	107	99	104	73	87	66	71	66	63
Amillepora17022	chr10	2980664	3004522	+	23859	76	68	56	66	68	118	42	41	31	51	32	46
Amillepora17023	chr10	3004526	3013574	-	9049	35	27	22	25	35	32	17	14	21	21	25	21
Amillepora17026	chr10	3020149	3045184	-	25036	87	66	65	94	103	124	48	57	44	69	76	65
Amillepora17030	chr10	3056101	3058727	-	2627	1	0	1	3	3	3	3	0	2	1	4	6
Amillepora17029	chr10	3047048	3055302	-	8255	0	4	2	11	8	6	4	6	1	2	6	5
Amillepora17036	chr10	3151460	3155716	+	4257	1	0	2	7	1	1	4	3	2	0	0	3
Amillepora17037	chr10	3165364	3186369	+	21006	73	63	49	68	73	70	118	140	121	114	122	109
Amillepora17035	chr10	3135649	3149089	+	13441	17	20	12	29	18	25	29	26	16	29	19	23
Amillepora17033	chr10	3111548	3124290	-	12743	333	228	254	310	315	329	315	383	303	276	300	338
Amillepora17034	chr10	3133873	3142725	-	8853	8	11	2	6	6	11	7	12	5	11	11	17
Amillepora17031	chr10	3073153	3095196	-	22044	244	215	210	296	306	291	239	302	230	253	306	298
Amillepora17044	chr10	3248906	3265778	+	16873	24	29	25	25	22	32	59	92	72	72	73	77
Amillepora17041	chr10	3213999	3215793	+	1795	7	9	4	11	14	8	4	14	11	11	18	22
Amillepora17040	chr10	3204196	3211850	+	7655	35	20	15	21	22	43	27	28	21	28	27	29
Amillepora17038	chr10	3186546	3194652	-	8107	192	195	195	251	260	302	141	172	137	142	168	154
Amillepora17042	chr10	3216293	3221638	-	5346	19	6	18	19	15	26	13	14	13	12	11	20
Amillepora17039	chr10	3203594	3211306	-	7713	20	11	24	18	11	23	19	20	9	18	23	16
Amillepora17043	chr10	3222318	3235175	-	12858	87	61	66	82	70	96	45	51	50	50	50	59
Amillepora17045	chr10	3267959	3273878	-	5920	5	2	3	5	10	3	5	6	5	4	12	6
Amillepora17047	chr10	3314135	3314929	+	795	0	1	1	0	0	2	0	2	0	2	1	2
Amillepora17046	chr10	3280364	3282164	+	1801	17	13	17	17	15	38	23	22	23	17	19	15
Amillepora17049	chr10	3328236	3328947	+	712	1	0	1	1	0	1	0	1	0	0	0	0
Amillepora17048	chr10	3326957	3327456	+	500	1	0	0	0	1	2	0	0	0	0	1	0
Amillepora17058	chr10	3480889	3486827	+	5939	18	6	24	37	20	22	23	27	21	21	19	18
Amillepora17054	chr10	3408341	3418210	+	9870	48	34	48	60	63	76	47	60	53	62	67	53
Amillepora17057	chr10	3474797	3476345	+	1549	2	4	0	2	4	3	3	3	2	1	2	2
Amillepora17055	chr10	3437961	3443622	+	5662	62	41	44	57	63	80	34	58	64	47	60	46
Amillepora17050	chr10	3355447	3362361	+	6915	32	25	21	31	36	30	31	34	28	25	36	29
Amillepora17051	chr10	3363922	3394961	-	31040	23	22	22	27	30	43	21	18	6	22	37	16
Amillepora17053	chr10	3398559	3402886	-	4328	2	3	3	4	3	2	7	2	2	10	6	5
Amillepora17060	chr10	3510833	3519576	-	8744	38	32	24	39	56	55	19	23	24	28	43	30
Amillepora17059	chr10	3502267	3503292	-	1026	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora17064	chr10	3532784	3548963	-	16180	8	3	7	16	12	17	2	7	6	15	9	11
Amillepora17066	chr10	3558754	3568079	-	9326	63	44	62	78	75	99	85	106	101	99	110	100
Amillepora17061	chr10	3522429	3523542	-	1114	11	4	10	7	10	7	1	3	2	2	6	2
Amillepora17065	chr10	3553294	3557612	-	4319	3	0	0	1	1	1	1	1	1	1	1	4
Amillepora17067	chr10	3570863	3576199	-	5337	15	14	12	18	18	14	9	13	12	15	18	11
Amillepora17062	chr10	3524096	3525753	-	1658	1	0	0	2	4	0	1	0	1	1	1	3
Amillepora17068	chr10	3610969	3614813	-	3845	16	11	13	7	19	29	16	17	19	13	21	17
Amillepora17069	chr10	3618263	3620826	-	2564	1	2	1	3	4	3	3	2	3	1	3	3
