# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts.txt" "-T" "64" "--primary" "L5-S1_S216_host.bam" "L5-S2_S217_host.bam" "L5-S3_S218_host.bam" "L5-T1_S222_host.bam" "L5-T2_S223_host.bam" "L5-T3_S224_host.bam" "N12-S1_S219_host.bam" "N12-S2_S220_host.bam" "N12-S3_S221_host.bam" "N12-T1_S225_host.bam" "N12-T2_S226_host.bam" "N12-T3_S227_host.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_host.bam	L5-S2_S217_host.bam	L5-S3_S218_host.bam	L5-T1_S222_host.bam	L5-T2_S223_host.bam	L5-T3_S224_host.bam	N12-S1_S219_host.bam	N12-S2_S220_host.bam	N12-S3_S221_host.bam	N12-T1_S225_host.bam	N12-T2_S226_host.bam	N12-T3_S227_host.bam
Amillepora16783	chr10	271174	271481	-	308	0	0	0	0	0	0	1	0	0	0	0	0
Amillepora16793	chr10	355437	358209	+	2773	2	2	1	3	3	2	1	4	3	0	1	3
Amillepora16784	chr10	290446	301430	+	10985	196	127	146	220	225	230	156	149	128	210	197	180
Amillepora16795	chr10	374803	377778	-	2976	45	33	39	33	32	58	55	51	42	47	38	51
Amillepora16787	chr10	308237	314231	-	5995	24	12	19	16	22	29	53	67	57	56	58	51
Amillepora16794	chr10	361003	374285	-	13283	128	97	130	116	118	131	85	82	67	87	97	83
Amillepora16792	chr10	340754	348300	-	7547	10	3	5	9	17	13	24	15	12	30	18	32
Amillepora16791	chr10	334969	340469	-	5501	6	3	3	11	5	7	3	4	3	8	8	6
Amillepora16790	chr10	323999	326833	-	2835	1	0	0	0	2	0	0	0	1	0	1	2
Amillepora16788	chr10	315180	319549	-	4370	1	0	0	1	0	2	0	5	1	2	1	1
Amillepora16789	chr10	319560	321966	-	2407	0	2	0	0	0	0	1	8	8	8	8	7
Amillepora16785	chr10	301858	307307	-	5450	18	10	13	19	15	14	14	15	15	12	27	23
Amillepora16796	chr10	379820	394573	+	14754	120	76	73	103	113	111	73	73	63	77	76	94
Amillepora16800	chr10	427276	433019	+	5744	9	10	6	9	12	11	8	11	12	12	23	9
Amillepora16798	chr10	407702	418133	+	10432	93	62	82	102	117	132	85	104	81	107	71	99
Amillepora16797	chr10	402308	407282	-	4975	783	409	597	746	622	826	772	672	533	712	530	667
Amillepora16801	chr10	447137	454446	-	7310	21	23	19	28	30	39	23	41	25	16	22	31
Amillepora16804	chr10	499826	500605	+	780	42	22	29	30	34	33	31	18	19	22	20	29
Amillepora16812	chr10	552049	557208	+	5160	130	67	95	101	115	131	188	157	106	161	88	144
Amillepora16808	chr10	524217	530628	+	6412	17	12	7	15	18	20	28	12	21	18	24	25
Amillepora16815	chr10	578761	583442	+	4682	371	268	325	369	302	512	697	464	478	604	541	640
Amillepora16806	chr10	509028	519995	+	10968	142	84	100	103	96	165	115	90	98	120	92	112
Amillepora16813	chr10	557392	560593	-	3202	21	13	9	15	6	20	17	22	15	29	21	28
Amillepora16807	chr10	520681	524138	-	3458	32	14	22	22	25	31	13	22	10	17	21	18
Amillepora16814	chr10	561324	577819	-	16496	114	67	93	105	108	154	137	96	91	113	95	146
Amillepora16811	chr10	543127	551955	-	8829	217	116	187	165	161	233	243	220	150	217	169	182
Amillepora16805	chr10	502299	508613	-	6315	6	2	2	8	4	2	0	4	3	2	2	2
Amillepora16809	chr10	530873	534770	-	3898	57	32	35	46	62	56	61	47	40	54	39	59
Amillepora16802	chr10	461162	467337	-	6176	76	39	51	64	58	70	62	67	56	77	63	84
Amillepora16803	chr10	469024	498354	-	29331	152	118	129	159	165	191	116	147	126	169	147	145
Amillepora16810	chr10	535880	540044	-	4165	1356	740	1056	1192	1100	1431	1257	1163	922	1173	947	1095
Amillepora16817	chr10	602618	606079	+	3462	50	16	29	25	27	51	20	21	9	19	14	20
Amillepora16818	chr10	611089	613827	+	2739	8	8	11	6	12	19	8	7	12	11	6	29
Amillepora16824	chr10	670412	676378	+	5967	18	18	19	27	30	49	23	34	18	27	21	26
Amillepora16816	chr10	591800	593833	+	2034	183	112	143	139	135	167	393	327	341	328	316	421
Amillepora16823	chr10	662767	668384	+	5618	4	6	1	5	5	4	3	9	0	2	0	5
Amillepora16822	chr10	653785	660938	+	7154	9	5	8	13	12	21	9	3	10	10	8	10
Amillepora16821	chr10	635745	650592	-	14848	398	273	297	444	415	410	216	171	129	165	195	195
Amillepora16819	chr10	614392	617020	-	2629	37	48	65	70	47	176	32	37	82	64	74	145
Amillepora16820	chr10	621996	631931	-	9936	21	11	20	34	17	35	35	30	25	47	44	40
Amillepora16826	chr10	699434	744377	+	44944	184	112	114	160	209	188	178	179	183	170	206	214
Amillepora16825	chr10	677558	694941	+	17384	270	165	210	250	258	343	1480	1568	1429	1544	1259	1658
Amillepora16830	chr10	809375	823674	+	14300	130	50	88	99	101	114	109	102	83	90	69	112
Amillepora16831	chr10	817961	830244	-	12284	5	1	3	1	0	2	4	9	4	5	17	4
Amillepora16829	chr10	801508	807448	-	5941	9	6	8	7	15	11	9	4	8	10	5	6
Amillepora16833	chr10	843376	854059	-	10684	28	31	25	28	36	35	60	49	40	47	50	50
Amillepora16841	chr10	915709	920006	+	4298	109	64	88	97	102	94	44	50	25	39	32	39
Amillepora16843	chr10	955229	956793	+	1565	2	1	0	1	4	2	0	0	2	1	2	0
Amillepora16840	chr10	908747	911709	+	2963	13	9	9	7	7	11	22	29	26	41	27	30
Amillepora16844	chr10	958650	962761	+	4112	2	2	2	2	0	0	1	1	0	0	1	1
Amillepora16845	chr10	962825	963451	+	627	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora16836	chr10	876575	882033	-	5459	3	3	6	3	6	1	2	6	1	4	12	8
Amillepora16834	chr10	862727	869790	-	7064	12	17	6	19	21	19	16	9	18	15	29	18
Amillepora16838	chr10	893468	893845	-	378	3	1	2	3	2	1	2	4	5	3	5	2
Amillepora16839	chr10	899861	906171	-	6311	7	4	3	9	15	13	8	8	7	7	7	15
Amillepora16837	chr10	884924	889458	-	4535	7	5	1	6	4	6	1	8	7	7	13	6
Amillepora16835	chr10	871055	872906	-	1852	7	4	14	20	4	7	6	5	5	4	5	4
Amillepora16842	chr10	944692	944959	+	268	0	0	0	0	0	0	0	1	1	1	1	2
Amillepora16849	chr10	1017819	1023926	+	6108	25	17	8	20	24	35	3	4	4	3	3	8
Amillepora16846	chr10	985156	991593	+	6438	40	13	34	34	40	53	27	35	20	38	31	26
Amillepora16852	chr10	1073221	1080690	+	7470	13	3	5	12	8	11	7	9	9	8	12	9
Amillepora16848	chr10	1007914	1015920	+	8007	7	10	7	15	14	10	6	10	8	10	17	10
Amillepora16847	chr10	997844	1003675	+	5832	48	26	22	37	47	60	61	44	44	39	40	46
Amillepora16850	chr10	1026335	1038625	-	12291	97	79	85	110	125	149	87	94	72	98	80	92
Amillepora16851	chr10	1040973	1072966	-	31994	2138	1883	1834	1544	1756	3963	2037	2723	1472	1399	1849	1546
Amillepora16855	chr10	1128884	1134241	+	5358	9	7	6	13	26	20	13	15	13	14	16	15
Amillepora16858	chr10	1160065	1166298	-	6234	16	9	10	16	16	15	30	21	20	28	28	28
Amillepora16859	chr10	1166914	1173960	-	7047	34	29	28	38	50	41	56	38	27	52	42	42
Amillepora16853	chr10	1089763	1090734	-	972	4	2	6	2	1	3	10	20	11	15	16	19
Amillepora16856	chr10	1136346	1145909	-	9564	4	12	9	13	12	38	19	18	20	25	26	45
Amillepora16854	chr10	1108250	1127670	-	19421	1405	1438	1269	1124	1246	2363	1409	1905	1106	940	1285	1082
Amillepora16860	chr10	1175766	1186441	-	10676	22	12	7	23	26	17	11	6	5	12	14	18
Amillepora16857	chr10	1146957	1156217	-	9261	39	21	22	50	33	35	68	48	42	88	37	94
Amillepora16873	chr10	1268602	1271796	+	3195	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora16872	chr10	1259999	1266247	-	6249	150	77	102	101	89	159	161	147	102	137	106	139
Amillepora16861	chr10	1187532	1191492	-	3961	35	15	18	27	43	47	52	33	18	52	46	36
Amillepora16863	chr10	1201565	1207621	-	6057	155	81	91	160	152	227	279	169	130	276	266	241
Amillepora16862	chr10	1193724	1201372	-	7649	23	20	11	22	25	24	82	49	34	75	61	82
Amillepora16867	chr10	1235039	1235617	-	579	1	0	0	0	0	0	0	0	0	0	0	0
Amillepora16864	chr10	1210027	1217850	-	7824	37	27	19	41	32	35	23	18	22	45	30	47
Amillepora16871	chr10	1251924	1253961	-	2038	10	12	3	12	14	16	1	5	4	13	13	13
Amillepora16865	chr10	1232818	1233158	-	341	0	0	0	0	1	0	0	0	1	0	0	0
Amillepora16868	chr10	1237177	1237977	-	801	0	0	0	0	0	0	0	0	0	1	1	1
Amillepora16866	chr10	1234787	1234988	-	202	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16877	chr10	1329314	1343071	+	13758	24	19	21	25	36	32	25	38	30	27	43	44
Amillepora16875	chr10	1311280	1322125	-	10846	115	75	89	111	135	149	130	126	106	119	126	135
Amillepora16876	chr10	1327250	1328661	-	1412	3	3	1	1	4	5	1	0	3	1	1	2
Amillepora16874	chr10	1277162	1302485	-	25324	126	81	100	136	130	146	64	110	93	103	122	139
Amillepora16891	chr10	1480991	1489453	+	8463	18	12	12	15	22	22	17	27	21	19	19	19
Amillepora16888	chr10	1468808	1471174	+	2367	5	5	8	2	11	14	3	4	3	5	2	3
Amillepora16890	chr10	1472970	1474635	+	1666	48	23	24	28	21	27	10	12	5	12	4	3
Amillepora16886	chr10	1464797	1467424	+	2628	0	0	2	0	0	2	0	0	0	0	3	2
Amillepora16889	chr10	1471835	1472866	-	1032	1	2	4	3	3	4	3	0	3	2	0	1
Amillepora16878	chr10	1362844	1434109	-	71266	189	175	130	220	220	228	98	102	109	92	155	127
Amillepora16884	chr10	1441209	1443746	-	2538	0	1	0	0	1	0	1	0	0	1	0	0
Amillepora16885	chr10	1443755	1447431	-	3677	5	4	3	4	5	3	8	3	3	5	1	3
Amillepora16898	chr10	1543563	1557328	+	13766	117	79	88	107	113	142	83	72	68	77	111	107
Amillepora16892	chr10	1492348	1493856	+	1509	2	2	0	3	4	2	1	7	2	3	3	7
Amillepora16893	chr10	1495560	1500277	+	4718	15	14	10	13	13	13	1	1	2	5	4	2
Amillepora16899	chr10	1558063	1578487	-	20425	233	162	183	229	253	303	114	81	61	144	129	84
Amillepora16897	chr10	1529597	1543308	-	13712	54	42	21	53	48	48	27	30	27	44	48	43
Amillepora16894	chr10	1503729	1511093	-	7365	1	3	2	1	1	0	1	1	1	1	1	1
Amillepora16896	chr10	1520092	1526551	-	6460	27	18	16	27	22	21	17	20	17	21	21	16
Amillepora16895	chr10	1517108	1519295	-	2188	1	0	0	1	1	2	0	0	1	0	0	1
Amillepora16902	chr10	1650051	1652561	+	2511	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16900	chr10	1594546	1631644	+	37099	26	34	23	25	33	29	16	14	20	25	29	42
Amillepora16901	chr10	1635058	1659621	-	24564	148	107	134	199	168	211	186	245	204	251	200	250
Amillepora16903	chr10	1663588	1677639	-	14052	14	16	18	20	28	15	7	17	14	12	19	25
Amillepora16905	chr10	1720738	1741689	-	20952	323	168	217	284	230	280	167	121	113	178	184	199
Amillepora16904	chr10	1682851	1715395	-	32545	362	205	266	304	283	376	98	109	98	99	109	106
Amillepora16906	chr10	1747056	1756457	-	9402	28	23	29	29	36	27	19	24	30	34	23	39
Amillepora16914	chr10	1829427	1837350	+	7924	22	32	22	32	48	52	49	47	61	43	43	49
Amillepora16913	chr10	1819893	1828700	+	8808	112	67	82	108	94	139	157	131	94	174	106	167
Amillepora16908	chr10	1774682	1799113	-	24432	57	52	35	44	63	74	35	28	34	44	37	49
Amillepora16907	chr10	1763368	1773118	-	9751	69	53	35	58	83	121	25	36	29	42	47	43
Amillepora16915	chr10	1851236	1854953	-	3718	0	3	2	0	5	1	1	1	0	2	0	0
Amillepora16917	chr10	1883907	1884492	+	586	0	0	1	1	1	0	0	0	0	2	0	1
Amillepora16921	chr10	1938157	1938453	-	297	1	1	2	2	2	0	0	0	0	0	0	0
Amillepora16919	chr10	1935341	1937106	-	1766	0	0	0	1	2	1	1	0	0	0	2	0
Amillepora16918	chr10	1915346	1917447	-	2102	5	3	5	6	11	2	3	1	5	5	3	1
Amillepora16920	chr10	1937314	1937680	-	367	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora16922	chr10	1992501	2003703	+	11203	102	59	60	89	80	90	71	69	53	95	76	60
Amillepora16928	chr10	2048046	2071807	+	23762	405	238	300	380	368	354	440	476	365	487	414	426
Amillepora16926	chr10	2026251	2045618	+	19368	33	24	29	37	34	30	32	20	32	29	34	32
Amillepora16925	chr10	2021479	2025695	-	4217	10	1	4	13	8	7	14	14	5	16	12	8
Amillepora16923	chr10	2007159	2018105	-	10947	633	342	453	526	464	619	562	567	394	468	409	537
Amillepora16929	chr10	2073302	2077905	+	4604	51	26	32	55	28	21	67	60	48	47	76	62
Amillepora16931	chr10	2086150	2093574	+	7425	451	234	298	366	344	448	379	322	241	348	271	314
Amillepora16932	chr10	2095833	2112136	+	16304	109	49	80	93	83	96	47	56	40	49	62	69
Amillepora16930	chr10	2082697	2084961	+	2265	830	495	652	752	615	984	1154	992	784	1182	797	1125
Amillepora16933	chr10	2112461	2127562	+	15102	144	64	92	121	110	115	54	73	70	63	65	66
Amillepora16934	chr10	2130356	2145998	-	15643	155	116	138	134	138	211	108	119	91	99	131	136
Amillepora16937	chr10	2169383	2182705	+	13323	20	10	11	17	17	24	57	39	35	66	75	64
Amillepora16946	chr10	2249320	2251249	+	1930	31	12	14	28	28	31	41	23	25	23	30	18
Amillepora16947	chr10	2254109	2256981	+	2873	27	23	18	22	30	33	20	30	30	27	32	25
Amillepora16939	chr10	2190122	2204488	+	14367	97	76	86	99	116	99	58	89	83	100	121	126
Amillepora16941	chr10	2210509	2221906	+	11398	51	20	25	43	37	47	47	56	42	75	71	95
Amillepora16936	chr10	2148874	2162506	+	13633	69	39	56	72	95	61	54	59	43	66	86	87
Amillepora16944	chr10	2231833	2240923	+	9091	243	105	174	213	182	270	231	194	165	225	194	196
Amillepora16943	chr10	2226348	2230411	+	4064	23	23	14	27	18	39	30	20	17	22	21	31
Amillepora16940	chr10	2205919	2210439	-	4521	40	31	30	46	43	89	14	47	26	26	45	39
Amillepora16945	chr10	2241694	2249302	-	7609	125	80	91	138	133	96	87	122	123	140	116	162
Amillepora16948	chr10	2256993	2263971	-	6979	84	53	71	67	64	100	59	57	30	76	75	52
Amillepora16958	chr10	2364411	2371316	+	6906	16	8	9	11	9	13	5	3	4	9	7	6
Amillepora16949	chr10	2264930	2272038	+	7109	221	161	211	270	215	269	182	192	131	182	178	158
Amillepora16956	chr10	2344139	2349159	+	5021	1	1	4	10	4	8	6	6	5	3	4	4
Amillepora16952	chr10	2282515	2301395	+	18881	234	156	160	237	233	222	169	170	142	167	164	167
Amillepora16950	chr10	2272960	2276812	+	3853	18	9	7	17	8	13	22	21	9	17	19	12
Amillepora16951	chr10	2277099	2282404	+	5306	72	37	71	71	41	57	59	55	39	71	58	58
Amillepora16954	chr10	2322232	2337002	+	14771	0	0	0	0	1	0	2	1	0	0	1	0
Amillepora16953	chr10	2299488	2336587	-	37100	359	190	272	373	294	341	191	186	167	272	229	264
Amillepora16957	chr10	2351942	2359093	-	7152	47	43	24	48	58	70	55	51	33	35	47	41
Amillepora16968	chr10	2457800	2459788	+	1989	19	15	14	13	11	21	17	18	14	10	15	18
Amillepora16964	chr10	2432115	2437328	+	5214	26	10	19	25	24	55	22	13	22	22	26	15
Amillepora16961	chr10	2387585	2408683	+	21099	59	52	25	53	52	75	53	77	39	65	64	57
Amillepora16959	chr10	2372993	2387315	+	14323	176	90	145	123	142	138	229	165	120	248	143	135
Amillepora16965	chr10	2441088	2445633	+	4546	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16962	chr10	2410406	2432155	-	21750	62	38	54	58	47	51	40	48	42	30	47	50
Amillepora16971	chr10	2477548	2478199	-	652	0	0	0	0	3	0	0	1	0	0	0	0
Amillepora16967	chr10	2454222	2455082	-	861	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16966	chr10	2444879	2445700	-	822	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16977	chr10	2543262	2546448	+	3187	7	4	14	14	12	12	18	11	10	11	18	21
Amillepora16972	chr10	2496949	2507124	+	10176	28	23	10	19	28	29	14	17	16	14	29	14
Amillepora16974	chr10	2520879	2525372	+	4494	44	34	36	41	45	55	111	107	85	110	71	119
Amillepora16975	chr10	2526496	2539042	+	12547	202	132	145	182	182	175	138	138	126	147	143	149
Amillepora16979	chr10	2552255	2572092	+	19838	107	86	95	119	110	138	153	130	102	147	114	155
Amillepora16980	chr10	2572280	2580758	+	8479	16	20	17	20	16	30	1	7	19	7	11	15
Amillepora16978	chr10	2546984	2548927	-	1944	119	65	109	117	101	134	132	134	124	117	86	128
Amillepora16976	chr10	2538169	2543235	-	5067	25	22	23	38	32	37	46	35	29	43	30	26
Amillepora16973	chr10	2515072	2515797	-	726	2	2	2	6	8	2	5	9	4	3	8	2
Amillepora16985	chr10	2644233	2649255	+	5023	15	10	4	18	11	20	14	20	16	9	15	20
Amillepora16984	chr10	2630050	2643072	+	13023	9	12	8	9	14	13	6	12	12	7	25	10
Amillepora16988	chr10	2669627	2676122	+	6496	119	49	64	95	77	114	120	130	106	95	97	111
Amillepora16982	chr10	2597475	2611037	+	13563	189	115	120	184	171	237	162	154	135	172	180	160
Amillepora16983	chr10	2612129	2625392	+	13264	121	68	67	111	91	111	89	97	76	80	97	97
Amillepora16991	chr10	2680343	2684011	+	3669	17	8	15	22	12	18	13	10	11	8	8	27
Amillepora16987	chr10	2655373	2659673	+	4301	48	28	35	34	23	25	45	34	28	33	38	21
Amillepora16986	chr10	2649324	2652208	-	2885	26	16	17	15	11	13	29	17	14	20	26	34
Amillepora16981	chr10	2581127	2590420	-	9294	184	129	140	225	193	211	146	176	138	167	143	177
Amillepora16989	chr10	2676664	2679250	-	2587	15	8	5	17	23	27	7	9	17	14	22	22
Amillepora16990	chr10	2679530	2680327	-	798	1	0	0	0	1	0	1	0	2	0	0	1
Amillepora16993	chr10	2699056	2701502	+	2447	53	40	38	40	63	41	49	42	52	57	63	64
Amillepora16999	chr10	2755363	2784751	+	29389	426	291	340	519	511	510	383	477	408	467	465	492
Amillepora16997	chr10	2736448	2740601	+	4154	49	30	40	67	44	39	75	72	71	73	66	83
Amillepora16996	chr10	2726870	2729653	-	2784	14	6	9	12	11	7	18	15	14	18	14	19
Amillepora16998	chr10	2748793	2755322	-	6530	40	26	15	28	32	49	40	47	38	50	32	49
Amillepora16992	chr10	2685933	2698043	-	12111	658	344	550	743	607	532	528	600	497	538	440	608
Amillepora16994	chr10	2703038	2716234	-	13197	209	112	137	207	224	256	190	127	157	178	198	205
Amillepora16995	chr10	2717896	2724322	-	6427	186	103	144	171	143	231	145	132	108	124	142	138
Amillepora17006	chr10	2829435	2831933	+	2499	14	13	9	12	20	16	6	9	5	10	14	11
Amillepora17005	chr10	2818022	2828668	+	10647	134	92	99	142	144	172	105	85	94	85	79	103
Amillepora17002	chr10	2803259	2809408	+	6150	181	110	149	144	158	188	83	128	115	84	118	91
Amillepora17007	chr10	2853773	2859131	+	5359	51	36	40	52	43	60	124	135	74	184	152	157
Amillepora17009	chr10	2865468	2870035	+	4568	6	8	4	10	11	10	2	5	1	1	3	3
Amillepora17010	chr10	2882514	2888637	+	6124	15	6	6	8	16	13	8	6	7	16	11	13
Amillepora17001	chr10	2786659	2803282	-	16624	554	395	416	519	498	589	451	583	393	411	503	475
Amillepora17004	chr10	2811141	2817631	-	6491	2479	1274	1817	2582	2271	2385	2069	1836	1933	1662	1379	1755
Amillepora17008	chr10	2860748	2862387	-	1640	12	10	5	15	12	23	12	19	1	21	7	14
Amillepora17016	chr10	2943018	2956828	+	13811	93	55	78	90	123	106	55	63	66	93	100	112
Amillepora17011	chr10	2889310	2889646	+	337	1	0	0	0	0	3	0	2	2	0	0	0
Amillepora17021	chr10	2976822	2983500	-	6679	134	88	111	106	107	152	130	126	108	130	88	99
Amillepora17018	chr10	2963673	2972457	-	8785	139	83	109	129	124	140	157	154	108	103	115	144
Amillepora17017	chr10	2957442	2961742	-	4301	7	6	6	9	3	12	5	6	5	4	5	4
Amillepora17015	chr10	2930818	2935245	-	4428	2	5	3	7	4	5	7	7	9	7	10	9
Amillepora17013	chr10	2908541	2914146	-	5606	9	10	7	17	27	20	20	14	11	17	15	22
Amillepora17014	chr10	2919396	2923013	-	3618	4	3	3	1	4	2	5	6	5	4	4	3
Amillepora17012	chr10	2894651	2899612	-	4962	24	11	16	20	17	23	8	12	6	13	20	14
Amillepora17028	chr10	3030333	3031777	+	1445	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora17019	chr10	2972541	2976562	+	4022	56	46	38	48	38	93	68	59	47	50	55	66
Amillepora17025	chr10	3013827	3019964	+	6138	182	109	141	162	145	176	132	144	116	137	98	122
Amillepora17022	chr10	2980664	3004522	+	23859	100	81	67	84	71	135	58	44	36	59	41	70
Amillepora17023	chr10	3004526	3013574	-	9049	37	31	27	26	38	34	17	14	21	26	32	25
Amillepora17026	chr10	3020149	3045184	-	25036	98	73	74	110	116	139	55	64	44	82	100	87
Amillepora17030	chr10	3056101	3058727	-	2627	1	0	1	3	3	3	3	0	2	1	5	6
Amillepora17029	chr10	3047048	3055302	-	8255	0	5	2	11	8	6	4	6	1	2	9	6
Amillepora17036	chr10	3151460	3155716	+	4257	1	0	2	7	1	1	5	4	2	0	0	3
Amillepora17037	chr10	3165364	3186369	+	21006	91	79	55	92	84	99	169	187	169	181	165	164
Amillepora17035	chr10	3135649	3149089	+	13441	18	21	15	32	19	27	29	27	16	34	20	29
Amillepora17033	chr10	3111548	3124290	-	12743	474	305	353	438	415	417	458	495	419	406	407	494
Amillepora17034	chr10	3133873	3142725	-	8853	8	12	2	9	8	12	8	14	7	12	15	19
Amillepora17031	chr10	3073153	3095196	-	22044	442	326	383	527	514	494	441	504	378	461	503	571
Amillepora17044	chr10	3248906	3265778	+	16873	24	32	29	27	25	36	69	103	83	84	79	96
Amillepora17041	chr10	3213999	3215793	+	1795	8	9	5	13	19	8	4	15	12	11	24	22
Amillepora17040	chr10	3204196	3211850	+	7655	59	27	25	46	47	71	59	57	31	62	46	51
Amillepora17038	chr10	3186546	3194652	-	8107	561	399	543	631	614	689	354	369	286	342	321	348
Amillepora17042	chr10	3216293	3221638	-	5346	21	7	21	21	18	31	13	16	15	13	14	25
Amillepora17039	chr10	3203594	3211306	-	7713	24	12	29	27	12	24	25	24	13	20	25	26
Amillepora17043	chr10	3222318	3235175	-	12858	160	89	121	174	128	169	83	62	68	82	77	92
Amillepora17045	chr10	3267959	3273878	-	5920	5	2	3	5	10	4	6	6	5	4	14	7
Amillepora17047	chr10	3314135	3314929	+	795	0	1	1	0	0	2	0	2	0	2	1	2
Amillepora17046	chr10	3280364	3282164	+	1801	24	15	27	28	21	54	46	38	33	27	23	25
Amillepora17049	chr10	3328236	3328947	+	712	1	0	1	1	0	1	0	1	0	0	0	0
Amillepora17048	chr10	3326957	3327456	+	500	2	0	0	0	1	2	0	0	0	0	1	0
Amillepora17058	chr10	3480889	3486827	+	5939	19	6	27	48	23	23	25	29	23	26	23	21
Amillepora17054	chr10	3408341	3418210	+	9870	58	39	59	75	83	113	50	72	63	80	80	76
Amillepora17057	chr10	3474797	3476345	+	1549	2	4	0	2	4	4	4	3	2	1	2	2
Amillepora17055	chr10	3437961	3443622	+	5662	68	43	51	69	67	93	37	63	69	60	75	54
Amillepora17050	chr10	3355447	3362361	+	6915	35	26	21	39	41	30	32	38	32	27	39	35
Amillepora17051	chr10	3363922	3394961	-	31040	24	26	22	30	31	51	21	19	7	24	42	17
Amillepora17053	chr10	3398559	3402886	-	4328	2	3	4	5	3	2	7	2	2	13	6	5
Amillepora17060	chr10	3510833	3519576	-	8744	57	36	38	61	81	85	21	24	29	32	52	44
Amillepora17059	chr10	3502267	3503292	-	1026	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora17064	chr10	3532784	3548963	-	16180	8	4	7	21	12	19	2	8	6	17	9	13
Amillepora17066	chr10	3558754	3568079	-	9326	83	55	76	99	95	110	116	132	143	146	146	155
Amillepora17061	chr10	3522429	3523542	-	1114	15	4	11	10	11	9	1	3	2	2	6	2
Amillepora17065	chr10	3553294	3557612	-	4319	3	0	0	1	1	1	1	1	1	1	1	5
Amillepora17067	chr10	3570863	3576199	-	5337	15	15	12	20	19	15	10	13	12	15	19	12
Amillepora17062	chr10	3524096	3525753	-	1658	1	0	0	2	4	0	1	0	1	1	1	3
Amillepora17068	chr10	3610969	3614813	-	3845	18	11	15	7	25	31	16	18	20	16	26	20
Amillepora17069	chr10	3618263	3620826	-	2564	1	2	1	3	4	3	4	2	3	1	3	3
Amillepora17072	chr10	3781162	3785072	+	3911	38	18	26	36	37	42	20	19	20	23	21	20
Amillepora17071	chr10	3779694	3780701	+	1008	0	0	0	1	0	1	0	0	1	0	0	0
Amillepora17070	chr10	3762648	3773178	-	10531	31	15	25	35	32	33	35	36	36	42	47	46
Amillepora17080	chr10	3858871	3863022	+	4152	57	29	50	52	53	66	85	63	51	79	57	57
Amillepora17077	chr10	3840225	3853214	+	12990	225	139	190	212	205	217	159	143	129	192	95	158
