chr	start	end	name	m-L5-s1_S1	m-L5-s2_S2	m-L5-t1_S3	m-L5-t2_S4	m-N12-s1_S5	m-N12-s2_S6	m-N12-t1_S7	m-N12-t2_S8	ub-L5-s1_S9	ub-L5-s2_S10	ub-L5-t1_S11	ub-L5-t2_S12	ub-N12-s1_S13	ub-N12-s2_S14	ub-N12-t1_S15	ub-N12-t2_S16	
chr1	1291496	1291608	DNA_43	25	18	20	14	4	9	6	9	7	11	10	8	10	12	10	3
chr1	1291496	1291608	DNA_44	25	18	20	14	4	9	6	9	7	11	10	8	10	12	10	3
chr1	1412027	1412835	DNA_45	134	143	125	119	86	71	84	84	37	38	38	32	55	42	25	18
chr1	1412027	1412835	DNA_46	134	143	125	119	86	71	84	84	37	38	38	32	55	42	25	18
chr1	1412877	1414712	DNA_47	467	486	361	432	284	318	301	343	76	73	85	72	124	102	35	22
chr1	1412877	1414712	DNA_48	467	486	361	432	284	318	301	343	76	73	85	72	124	102	35	22
chr1	1466153	1466469	DNA_49	50	46	35	35	37	25	18	19	21	23	18	19	31	29	4	4
chr1	1466153	1466469	DNA_50	50	46	35	35	37	25	18	19	21	23	18	19	31	29	4	4
chr1	1605563	1606016	DNA_51	16	13	25	15	28	29	20	26	36	45	44	31	60	40	45	44
chr1	1605563	1606016	DNA_52	16	13	25	15	28	29	20	26	36	45	44	31	60	40	45	44
chr1	1758362	1758404	DNA_53	10	4	8	7	6	8	10	8	4	6	9	6	10	8	6	3
chr1	1758362	1758404	DNA_54	10	4	8	7	6	8	10	8	4	6	9	6	10	8	6	3
chr1	1844634	1845212	DNA_55	28	16	23	23	19	33	15	26	42	60	55	33	80	49	56	53
chr1	1844634	1845212	DNA_56	28	16	23	23	19	33	15	26	42	60	55	33	80	49	56	53
chr1	1879607	1879650	DNA_57	0	0	1	3	1	7	3	5	3	2	3	1	2	0	2	4
chr1	1879607	1879650	DNA_58	0	0	1	3	1	7	3	5	3	2	3	1	2	0	2	4
chr1	1879991	1882734	DNA_59	88	87	84	74	88	79	67	122	98	107	135	95	104	116	85	50
chr1	1879991	1882734	DNA_60	88	87	84	74	88	79	67	122	98	107	135	95	104	116	85	50
chr1	1992355	1992440	DNA_61	15	12	12	7	14	6	5	4	14	10	14	9	12	10	5	3
chr1	1992355	1992440	DNA_62	15	12	12	7	14	6	5	4	14	10	14	9	12	10	5	3
chr1	2128491	2130004	DNA_63	38	27	38	34	42	40	29	44	94	83	85	64	81	61	61	51
chr1	2128491	2130004	DNA_64	38	27	38	34	42	40	29	44	94	83	85	64	81	61	61	51
chr1	2343053	2343403	DNA_65	37	35	32	38	28	28	30	25	12	27	21	16	24	26	10	5
chr1	2343053	2343403	DNA_66	37	35	32	38	28	28	30	25	12	27	21	16	24	26	10	5
chr1	2369331	2369534	DNA_67	10	4	3	8	5	9	11	9	14	19	18	11	22	17	18	8
chr1	2369331	2369534	DNA_68	10	4	3	8	5	9	11	9	14	19	18	11	22	17	18	8
chr1	2369593	2371596	DNA_69	52	43	50	37	58	78	52	90	85	80	109	64	196	136	136	125
chr1	2369593	2371596	DNA_70	52	43	50	37	58	78	52	90	85	80	109	64	196	136	136	125
chr1	2483771	2484033	DNA_71	14	10	19	20	12	25	15	30	33	26	39	26	48	30	35	17
chr1	2483771	2484033	DNA_72	14	10	19	20	12	25	15	30	33	26	39	26	48	30	35	17
chr1	2490525	2490865	DNA_73	7	3	9	11	6	4	6	9	10	13	19	5	18	13	13	8
chr1	2490525	2490865	DNA_74	7	3	9	11	6	4	6	9	10	13	19	5	18	13	13	8
chr1	2525153	2525266	DNA_75	3	1	4	7	1	6	7	14	8	13	10	13	8	8	5	4
chr1	2525153	2525266	DNA_76	3	1	4	7	1	6	7	14	8	13	10	13	8	8	5	4
chr1	2563213	2563534	DNA_77	30	36	27	33	13	19	16	13	11	12	15	6	3	6	1	1
chr1	2563213	2563534	DNA_78	30	36	27	33	13	19	16	13	11	12	15	6	3	6	1	1
chr1	2566347	2567348	DNA_79	17	10	16	5	3	5	6	4	32	39	40	40	14	7	11	7
chr1	2566347	2567348	DNA_80	17	10	16	5	3	5	6	4	32	39	40	40	14	7	11	7
chr1	2570218	2570400	DNA_81	18	20	29	26	17	26	11	25	30	26	46	25	42	40	41	32
chr1	2570218	2570400	DNA_82	18	20	29	26	17	26	11	25	30	26	46	25	42	40	41	32
chr1	2571051	2571743	DNA_83	32	23	36	23	39	53	24	40	75	75	100	56	117	93	76	53
chr1	2571051	2571743	DNA_84	32	23	36	23	39	53	24	40	75	75	100	56	117	93	76	53
chr1	2600001	2600163	DNA_85	5	7	5	2	3	1	1	3	8	7	7	15	5	3	5	3
chr1	2600001	2600163	DNA_86	5	7	5	2	3	1	1	3	8	7	7	15	5	3	5	3
chr1	2613817	2613915	DNA_87	0	0	1	1	0	0	0	0	1	6	2	1	0	0	0	0
chr1	2613817	2613915	DNA_88	0	0	1	1	0	0	0	0	1	6	2	1	0	0	0	0
chr1	2615367	2617550	DNA_89	121	123	119	121	78	90	73	102	82	125	129	89	208	157	176	122
chr1	2615367	2617550	DNA_90	121	123	119	121	78	90	73	102	82	125	129	89	208	157	176	122
chr1	2621400	2621600	DNA_91	29	32	30	30	12	8	8	14	21	22	19	23	17	12	10	8
chr1	2621400	2621600	DNA_92	29	32	30	30	12	8	8	14	21	22	19	23	17	12	10	8
chr1	2716048	2717872	DNA_93	46	40	37	56	38	66	54	54	56	73	89	56	124	87	96	76
chr1	2716048	2717872	DNA_94	46	40	37	56	38	66	54	54	56	73	89	56	124	87	96	76
chr1	2721509	2722859	DNA_95	58	56	50	47	48	49	45	46	52	52	70	67	69	44	51	40
chr1	2721509	2722859	DNA_96	58	56	50	47	48	49	45	46	52	52	70	67	69	44	51	40
chr1	2744879	2746836	DNA_97	24	16	26	25	10	13	9	18	13	16	27	25	19	13	9	9
chr1	2744879	2746836	DNA_98	24	16	26	25	10	13	9	18	13	16	27	25	19	13	9	9
chr1	2791146	2791181	DNA_99	3	3	2	5	1	1	6	7	3	3	10	6	8	9	13	6
chr1	2791146	2791181	DNA_100	3	3	2	5	1	1	6	7	3	3	10	6	8	9	13	6
chr1	2803973	2804760	DNA_101	282	292	240	243	124	164	178	194	26	38	21	38	60	45	15	14
chr1	2803973	2804760	DNA_102	282	292	240	243	124	164	178	194	26	38	21	38	60	45	15	14
chr1	2846063	2846639	DNA_103	59	51	44	42	71	52	71	69	13	14	16	18	36	35	12	12
chr1	2846063	2846639	DNA_104	59	51	44	42	71	52	71	69	13	14	16	18	36	35	12	12
chr1	2900439	2903333	DNA_105	81	45	93	92	97	125	91	102	168	210	222	137	307	227	257	212
chr1	2900439	2903333	DNA_106	81	45	93	92	97	125	91	102	168	210	222	137	307	227	257	212
chr1	2920894	2920978	DNA_107	3	3	3	3	2	2	7	12	2	3	4	2	6	3	1	0
chr1	2920894	2920978	DNA_108	3	3	3	3	2	2	7	12	2	3	4	2	6	3	1	0
chr1	2943781	2944017	DNA_109	5	2	4	5	9	4	3	8	9	16	12	11	26	11	17	10
chr1	2943781	2944017	DNA_110	5	2	4	5	9	4	3	8	9	16	12	11	26	11	17	10
chr1	3044234	3044306	DNA_111	5	1	4	1	0	1	2	0	1	1	2	2	3	6	4	4
chr1	3044234	3044306	DNA_112	5	1	4	1	0	1	2	0	1	1	2	2	3	6	4	4
chr1	3093775	3093846	DNA_113	5	10	7	13	7	4	5	4	0	0	3	2	9	6	3	3
chr1	3093775	3093846	DNA_114	5	10	7	13	7	4	5	4	0	0	3	2	9	6	3	3
chr1	3093941	3094234	DNA_115	30	29	34	22	24	20	17	34	2	7	6	7	8	12	11	4
chr1	3093941	3094234	DNA_116	30	29	34	22	24	20	17	34	2	7	6	7	8	12	11	4
chr1	3094859	3095089	DNA_117	5	3	5	2	6	13	4	6	14	10	8	9	18	13	15	12
chr1	3094859	3095089	DNA_118	5	3	5	2	6	13	4	6	14	10	8	9	18	13	15	12
chr1	3118566	3119009	DNA_119	8	8	12	8	12	15	12	26	29	28	35	18	51	23	39	32
chr1	3118566	3119009	DNA_120	8	8	12	8	12	15	12	26	29	28	35	18	51	23	39	32
chr1	3356103	3356981	DNA_121	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	3356103	3356981	DNA_122	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	3357074	3357122	DNA_123	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3357074	3357122	DNA_124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3357817	3363464	DNA_125	1	1	0	3	1	4	1	1	1	1	1	1	2	0	0	0
chr1	3357817	3363464	DNA_126	1	1	0	3	1	4	1	1	1	1	1	1	2	0	0	0
chr1	3391209	3392104	DNA_127	45	37	48	52	41	43	38	40	95	92	108	78	98	72	68	57
chr1	3391209	3392104	DNA_128	45	37	48	52	41	43	38	40	95	92	108	78	98	72	68	57
chr1	3392148	3392196	DNA_129	14	5	7	5	8	7	8	7	12	21	13	9	13	5	6	5
chr1	3392148	3392196	DNA_130	14	5	7	5	8	7	8	7	12	21	13	9	13	5	6	5
chr1	3392861	3398334	DNA_131	637	576	542	620	420	537	390	450	412	478	544	428	515	380	422	299
chr1	3392861	3398334	DNA_132	637	576	542	620	420	537	390	450	412	478	544	428	515	380	422	299
chr1	3543291	3543679	DNA_133	11	7	10	6	3	5	6	6	14	29	19	13	12	6	8	12
chr1	3543291	3543679	DNA_134	11	7	10	6	3	5	6	6	14	29	19	13	12	6	8	12
chr1	3553877	3553968	DNA_135	2	3	4	3	3	0	1	6	3	3	3	1	11	5	6	7
chr1	3553877	3553968	DNA_136	2	3	4	3	3	0	1	6	3	3	3	1	11	5	6	7
chr1	3616527	3616974	DNA_137	5	4	10	9	11	11	12	12	20	18	29	19	27	13	23	21
chr1	3616527	3616974	DNA_138	5	4	10	9	11	11	12	12	20	18	29	19	27	13	23	21
chr1	3669786	3671385	DNA_139	281	273	262	290	161	181	160	196	42	69	51	68	111	106	62	44
chr1	3669786	3671385	DNA_140	281	273	262	290	161	181	160	196	42	69	51	68	111	106	62	44
chr1	3688859	3688931	DNA_141	6	1	1	2	5	7	7	2	5	9	16	6	11	11	9	4
chr1	3688859	3688931	DNA_142	6	1	1	2	5	7	7	2	5	9	16	6	11	11	9	4
chr1	3797197	3797263	DNA_143	1	0	1	0	4	1	3	1	2	1	4	3	4	2	4	2
chr1	3797197	3797263	DNA_144	1	0	1	0	4	1	3	1	2	1	4	3	4	2	4	2
chr1	3797335	3797420	DNA_145	0	0	2	2	1	1	0	1	1	2	2	4	7	4	7	6
chr1	3797335	3797420	DNA_146	0	0	2	2	1	1	0	1	1	2	2	4	7	4	7	6
chr1	3820326	3820392	DNA_147	11	3	6	5	6	4	6	3	3	2	1	1	1	11	0	1
chr1	3820326	3820392	DNA_148	11	3	6	5	6	4	6	3	3	2	1	1	1	11	0	1
chr1	3843998	3844089	DNA_149	14	6	9	7	22	17	27	21	12	18	10	12	35	22	21	22
chr1	3843998	3844089	DNA_150	14	6	9	7	22	17	27	21	12	18	10	12	35	22	21	22
chr1	3844351	3844500	DNA_151	8	13	12	8	24	23	20	28	14	15	15	11	41	32	31	23
chr1	3844351	3844500	DNA_152	8	13	12	8	24	23	20	28	14	15	15	11	41	32	31	23
chr1	3845243	3845365	DNA_153	18	14	6	13	20	15	18	21	9	18	13	6	29	23	11	12
chr1	3845243	3845365	DNA_154	18	14	6	13	20	15	18	21	9	18	13	6	29	23	11	12
chr1	3866674	3866725	DNA_155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3866674	3866725	DNA_156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3885396	3885465	DNA_157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3885396	3885465	DNA_158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3887410	3887649	DNA_159	12	11	8	10	4	9	10	12	5	6	4	3	6	6	1	2
chr1	3887410	3887649	DNA_160	12	11	8	10	4	9	10	12	5	6	4	3	6	6	1	2
chr1	3890405	3890641	DNA_161	4	4	1	1	0	5	2	3	1	1	2	0	1	2	0	0
chr1	3890405	3890641	DNA_162	4	4	1	1	0	5	2	3	1	1	2	0	1	2	0	0
chr1	3893311	3894051	DNA_163	96	82	106	91	48	57	61	80	53	56	60	54	56	38	20	28
chr1	3893311	3894051	DNA_164	96	82	106	91	48	57	61	80	53	56	60	54	56	38	20	28
chr1	3903424	3903510	DNA_165	21	15	21	18	3	7	6	12	4	4	6	6	3	5	2	1
chr1	3903424	3903510	DNA_166	21	15	21	18	3	7	6	12	4	4	6	6	3	5	2	1
chr1	3905638	3905711	DNA_167	4	5	4	7	10	7	9	7	14	17	12	16	18	15	11	8
chr1	3905638	3905711	DNA_168	4	5	4	7	10	7	9	7	14	17	12	16	18	15	11	8
chr1	3906294	3906396	DNA_169	11	9	17	9	15	17	13	20	13	10	14	7	22	9	9	8
chr1	3906294	3906396	DNA_170	11	9	17	9	15	17	13	20	13	10	14	7	22	9	9	8
chr1	3908211	3910983	DNA_171	286	263	262	246	139	166	153	181	48	99	86	66	106	78	67	36
chr1	3908211	3910983	DNA_172	286	263	262	246	139	166	153	181	48	99	86	66	106	78	67	36
chr1	3949958	3953456	DNA_173	37	20	38	34	39	43	32	34	63	78	78	67	90	51	60	43
chr1	3949958	3953456	DNA_174	37	20	38	34	39	43	32	34	63	78	78	67	90	51	60	43
chr1	3963600	3964542	DNA_175	18	6	20	16	26	15	15	22	48	49	47	37	57	35	64	58
chr1	3963600	3964542	DNA_176	18	6	20	16	26	15	15	22	48	49	47	37	57	35	64	58
chr1	3964599	3964763	DNA_177	4	2	6	3	2	10	5	3	8	9	17	4	22	10	12	11
chr1	3964599	3964763	DNA_178	4	2	6	3	2	10	5	3	8	9	17	4	22	10	12	11
chr1	3964868	3964991	DNA_179	1	3	5	3	5	6	2	12	17	23	17	11	23	9	11	12
chr1	3964868	3964991	DNA_180	1	3	5	3	5	6	2	12	17	23	17	11	23	9	11	12
chr1	4023770	4023986	DNA_181	4	1	3	7	5	10	7	10	10	13	4	10	43	21	15	19
chr1	4023770	4023986	DNA_182	4	1	3	7	5	10	7	10	10	13	4	10	43	21	15	19
chr1	4025045	4025205	DNA_183	14	12	13	8	6	7	12	16	11	20	20	10	23	19	17	12
chr1	4025045	4025205	DNA_184	14	12	13	8	6	7	12	16	11	20	20	10	23	19	17	12
chr1	4025714	4026925	DNA_185	57	32	55	43	51	43	39	70	101	93	123	83	146	99	100	74
chr1	4025714	4026925	DNA_186	57	32	55	43	51	43	39	70	101	93	123	83	146	99	100	74
chr1	4032222	4032374	DNA_187	28	19	28	23	10	7	5	11	25	27	21	17	23	13	20	16
chr1	4032222	4032374	DNA_188	28	19	28	23	10	7	5	11	25	27	21	17	23	13	20	16
chr1	4095654	4095825	DNA_189	38	31	30	32	19	27	26	32	18	15	14	20	19	19	4	4
chr1	4095654	4095825	DNA_190	38	31	30	32	19	27	26	32	18	15	14	20	19	19	4	4
chr1	4112402	4112773	DNA_191	59	59	54	55	18	33	36	33	12	13	17	16	11	14	1	2
chr1	4112402	4112773	DNA_192	59	59	54	55	18	33	36	33	12	13	17	16	11	14	1	2
chr1	4113803	4115674	DNA_193	463	481	399	463	293	339	293	309	26	57	33	55	47	84	14	15
chr1	4113803	4115674	DNA_194	463	481	399	463	293	339	293	309	26	57	33	55	47	84	14	15
chr1	4117003	4117563	DNA_195	170	199	137	187	133	155	116	158	14	20	9	12	17	16	4	1
chr1	4117003	4117563	DNA_196	170	199	137	187	133	155	116	158	14	20	9	12	17	16	4	1
chr1	4127960	4130486	DNA_197	557	635	547	629	403	450	365	396	41	65	48	59	73	80	26	19
chr1	4127960	4130486	DNA_198	557	635	547	629	403	450	365	396	41	65	48	59	73	80	26	19
chr1	4139947	4140474	DNA_199	208	177	140	169	99	120	107	145	19	29	13	29	38	43	11	7
chr1	4139947	4140474	DNA_200	208	177	140	169	99	120	107	145	19	29	13	29	38	43	11	7
chr1	4150142	4150819	DNA_201	41	30	49	31	46	49	40	43	45	53	58	46	79	49	29	28
chr1	4150142	4150819	DNA_202	41	30	49	31	46	49	40	43	45	53	58	46	79	49	29	28
chr1	4151759	4152028	DNA_203	12	8	16	10	7	12	10	10	9	13	16	15	24	13	7	6
chr1	4151759	4152028	DNA_204	12	8	16	10	7	12	10	10	9	13	16	15	24	13	7	6
chr1	4152416	4152642	DNA_205	65	50	63	69	47	41	35	36	15	11	15	16	18	13	9	9
chr1	4152416	4152642	DNA_206	65	50	63	69	47	41	35	36	15	11	15	16	18	13	9	9
chr1	4157980	4158240	DNA_207	127	161	103	137	88	102	79	91	2	15	2	14	12	16	5	2
chr1	4157980	4158240	DNA_208	127	161	103	137	88	102	79	91	2	15	2	14	12	16	5	2
chr1	4158597	4158683	DNA_209	76	69	64	81	37	52	45	35	5	8	5	4	5	7	0	2
chr1	4158597	4158683	DNA_210	76	69	64	81	37	52	45	35	5	8	5	4	5	7	0	2
chr1	4181092	4181166	DNA_211	26	37	27	37	30	28	29	24	3	13	9	5	9	6	1	6
chr1	4181092	4181166	DNA_212	26	37	27	37	30	28	29	24	3	13	9	5	9	6	1	6
chr1	4181216	4181665	DNA_213	145	152	118	138	92	102	94	98	20	20	12	12	8	17	6	4
chr1	4181216	4181665	DNA_214	145	152	118	138	92	102	94	98	20	20	12	12	8	17	6	4
chr1	4182181	4182411	DNA_215	8	6	5	5	14	12	4	11	11	14	15	8	19	14	6	5
chr1	4182181	4182411	DNA_216	8	6	5	5	14	12	4	11	11	14	15	8	19	14	6	5
chr1	4234001	4234154	DNA_217	16	16	18	11	10	17	18	20	8	10	15	6	22	16	5	6
chr1	4234001	4234154	DNA_218	16	16	18	11	10	17	18	20	8	10	15	6	22	16	5	6
chr1	4303902	4304115	DNA_219	59	71	50	72	47	59	60	64	1	7	7	5	4	5	2	1
chr1	4303902	4304115	DNA_220	59	71	50	72	47	59	60	64	1	7	7	5	4	5	2	1
chr1	4304277	4304359	DNA_221	29	37	38	44	26	29	16	22	8	5	3	5	6	2	2	0
chr1	4304277	4304359	DNA_222	29	37	38	44	26	29	16	22	8	5	3	5	6	2	2	0
chr1	4305379	4305678	DNA_223	91	78	65	90	53	57	61	66	5	12	9	10	14	19	2	1
chr1	4305379	4305678	DNA_224	91	78	65	90	53	57	61	66	5	12	9	10	14	19	2	1
chr1	4324185	4324267	DNA_225	23	19	18	19	8	16	11	12	2	7	6	6	5	6	3	1
chr1	4324185	4324267	DNA_226	23	19	18	19	8	16	11	12	2	7	6	6	5	6	3	1
chr1	4324352	4324453	DNA_227	31	23	26	24	14	9	10	14	4	7	6	3	6	9	0	0
chr1	4324352	4324453	DNA_228	31	23	26	24	14	9	10	14	4	7	6	3	6	9	0	0
chr1	4328162	4328808	DNA_229	18	13	19	13	22	22	24	24	31	37	42	23	34	27	25	13
chr1	4328162	4328808	DNA_230	18	13	19	13	22	22	24	24	31	37	42	23	34	27	25	13
chr1	4331413	4331464	DNA_231	7	4	7	3	4	5	6	15	2	9	7	5	9	5	4	3
chr1	4331413	4331464	DNA_232	7	4	7	3	4	5	6	15	2	9	7	5	9	5	4	3
chr1	4356847	4358072	DNA_233	296	219	207	268	217	247	236	241	54	77	61	54	74	81	28	19
chr1	4356847	4358072	DNA_234	296	219	207	268	217	247	236	241	54	77	61	54	74	81	28	19
chr1	4385313	4385726	DNA_235	56	45	50	62	62	69	82	72	19	15	22	19	22	22	5	4
chr1	4385313	4385726	DNA_236	56	45	50	62	62	69	82	72	19	15	22	19	22	22	5	4
chr1	4414491	4415859	DNA_237	470	492	379	481	386	521	450	455	34	49	34	54	55	83	27	9
chr1	4414491	4415859	DNA_238	470	492	379	481	386	521	450	455	34	49	34	54	55	83	27	9
chr1	4424124	4424209	DNA_239	8	5	10	9	11	11	6	9	11	10	18	2	22	13	8	8
chr1	4424124	4424209	DNA_240	8	5	10	9	11	11	6	9	11	10	18	2	22	13	8	8
chr1	4425665	4427058	DNA_241	124	108	117	119	129	132	120	167	78	107	91	81	136	104	59	34
chr1	4425665	4427058	DNA_242	124	108	117	119	129	132	120	167	78	107	91	81	136	104	59	34
chr1	4487446	4487916	DNA_243	88	76	53	76	79	99	61	98	8	9	15	10	25	32	18	14
chr1	4487446	4487916	DNA_244	88	76	53	76	79	99	61	98	8	9	15	10	25	32	18	14
chr1	4524373	4525136	DNA_245	149	174	155	189	136	172	183	208	18	40	29	23	53	38	12	9
chr1	4524373	4525136	DNA_246	149	174	155	189	136	172	183	208	18	40	29	23	53	38	12	9
chr1	4528624	4529345	DNA_247	122	101	101	116	104	116	84	125	64	58	59	52	65	52	28	15
chr1	4528624	4529345	DNA_248	122	101	101	116	104	116	84	125	64	58	59	52	65	52	28	15
chr1	4544605	4544706	DNA_249	38	33	34	20	24	29	29	36	9	8	7	4	15	8	3	3
chr1	4544605	4544706	DNA_250	38	33	34	20	24	29	29	36	9	8	7	4	15	8	3	3
chr1	4544875	4545078	DNA_251	37	41	29	37	38	37	41	35	9	10	14	11	22	22	8	5
chr1	4544875	4545078	DNA_252	37	41	29	37	38	37	41	35	9	10	14	11	22	22	8	5
chr1	4556248	4556427	DNA_253	42	23	32	41	34	44	45	34	3	7	3	5	5	17	2	4
chr1	4556248	4556427	DNA_254	42	23	32	41	34	44	45	34	3	7	3	5	5	17	2	4
chr1	4558825	4559075	DNA_255	43	33	30	39	20	19	31	24	13	11	19	9	25	21	10	7
chr1	4558825	4559075	DNA_256	43	33	30	39	20	19	31	24	13	11	19	9	25	21	10	7
chr1	4561152	4561306	DNA_257	69	69	41	66	49	66	41	75	2	9	9	9	12	17	4	3
chr1	4561152	4561306	DNA_258	69	69	41	66	49	66	41	75	2	9	9	9	12	17	4	3
chr1	4582715	4582778	DNA_259	15	22	13	9	8	6	8	13	7	14	11	10	13	8	4	6
chr1	4582715	4582778	DNA_260	15	22	13	9	8	6	8	13	7	14	11	10	13	8	4	6
chr1	4587539	4587789	DNA_261	65	54	51	61	42	24	40	43	13	26	22	18	25	23	15	11
chr1	4587539	4587789	DNA_262	65	54	51	61	42	24	40	43	13	26	22	18	25	23	15	11
chr1	4589212	4589366	DNA_263	92	87	66	84	63	75	47	51	5	15	6	11	12	14	2	3
chr1	4589212	4589366	DNA_264	92	87	66	84	63	75	47	51	5	15	6	11	12	14	2	3
chr1	4699538	4699635	DNA_265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	4699538	4699635	DNA_266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	4922612	4922707	DNA_267	5	3	6	4	5	4	5	4	13	9	19	9	7	16	10	8
chr1	4922612	4922707	DNA_268	5	3	6	4	5	4	5	4	13	9	19	9	7	16	10	8
chr1	5018473	5018734	DNA_269	33	27	27	25	21	30	29	23	14	14	9	7	18	18	7	4
chr1	5018473	5018734	DNA_270	33	27	27	25	21	30	29	23	14	14	9	7	18	18	7	4
chr1	5087287	5087328	DNA_271	0	1	0	2	1	1	1	1	1	1	1	2	3	3	0	6
chr1	5087287	5087328	DNA_272	0	1	0	2	1	1	1	1	1	1	1	2	3	3	0	6
chr1	5097530	5097709	DNA_273	7	3	6	11	2	7	4	8	17	18	26	22	28	16	20	19
