chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	1844634	1845212	DNA_55	164	105	188	122	0	21	4	3	9	11
chr1	1844634	1845212	DNA_56	164	105	188	122	0	21	4	3	9	11
chr1	1879607	1879650	DNA_57	12	11	12	9	0	0	0	0	0	0
chr1	1879607	1879650	DNA_58	12	11	12	9	0	0	0	0	0	0
chr1	1879991	1882734	DNA_59	842	485	908	509	0	36	6	8	20	20
chr1	1879991	1882734	DNA_60	842	485	908	509	0	36	6	8	20	20
chr1	1992355	1992440	DNA_61	27	12	26	21	0	1	0	0	0	1
chr1	1992355	1992440	DNA_62	27	12	26	21	0	1	0	0	0	1
chr1	2128491	2130004	DNA_63	443	336	432	303	0	71	16	5	35	30
chr1	2128491	2130004	DNA_64	443	336	432	303	0	71	16	5	35	30
chr1	2343053	2343403	DNA_65	105	70	115	61	0	6	2	1	4	3
chr1	2343053	2343403	DNA_66	105	70	115	61	0	6	2	1	4	3
chr1	2369331	2369534	DNA_67	49	48	57	50	0	9	2	4	4	6
chr1	2369331	2369534	DNA_68	49	48	57	50	0	9	2	4	4	6
chr1	2369593	2371596	DNA_69	510	424	635	435	0	75	19	19	33	40
chr1	2369593	2371596	DNA_70	510	424	635	435	0	75	19	19	33	40
chr1	2483771	2484033	DNA_71	88	69	54	52	0	19	1	4	7	6
chr1	2483771	2484033	DNA_72	88	69	54	52	0	19	1	4	7	6
chr1	2490525	2490865	DNA_73	107	59	99	76	0	14	1	2	5	5
chr1	2490525	2490865	DNA_74	107	59	99	76	0	14	1	2	5	5
chr1	2525153	2525266	DNA_75	37	12	42	23	0	4	1	0	2	4
chr1	2525153	2525266	DNA_76	37	12	42	23	0	4	1	0	2	4
chr1	2563213	2563534	DNA_77	99	66	87	70	0	9	2	0	2	2
chr1	2563213	2563534	DNA_78	99	66	87	70	0	9	2	0	2	2
chr1	2566347	2567348	DNA_79	288	221	277	216	0	32	6	7	18	9
chr1	2566347	2567348	DNA_80	288	221	277	216	0	32	6	7	18	9
chr1	2570218	2570400	DNA_81	48	55	45	35	0	16	2	3	8	6
chr1	2570218	2570400	DNA_82	48	55	45	35	0	16	2	3	8	6
chr1	2571051	2571743	DNA_83	277	188	119	109	0	5	0	2	2	0
chr1	2571051	2571743	DNA_84	277	188	119	109	0	5	0	2	2	0
chr1	2600001	2600163	DNA_85	62	41	31	29	0	11	1	2	4	4
chr1	2600001	2600163	DNA_86	62	41	31	29	0	11	1	2	4	4
chr1	2613817	2613915	DNA_87	28	13	43	15	0	3	0	1	1	3
chr1	2613817	2613915	DNA_88	28	13	43	15	0	3	0	1	1	3
chr1	2615367	2617550	DNA_89	711	455	533	485	0	120	32	29	63	59
chr1	2615367	2617550	DNA_90	711	455	533	485	0	120	32	29	63	59
chr1	2621400	2621600	DNA_91	52	50	52	47	0	9	2	3	3	4
chr1	2621400	2621600	DNA_92	52	50	52	47	0	9	2	3	3	4
chr1	2716048	2717872	DNA_93	584	342	568	331	0	67	11	14	28	17
chr1	2716048	2717872	DNA_94	584	342	568	331	0	67	11	14	28	17
chr1	2721509	2722859	DNA_95	414	274	432	231	0	32	2	6	15	17
chr1	2721509	2722859	DNA_96	414	274	432	231	0	32	2	6	15	17
chr1	2744879	2746836	DNA_97	578	376	610	394	0	72	19	16	30	27
chr1	2744879	2746836	DNA_98	578	376	610	394	0	72	19	16	30	27
chr1	2791146	2791181	DNA_99	6	10	11	9	0	2	0	2	1	2
chr1	2791146	2791181	DNA_100	6	10	11	9	0	2	0	2	1	2
chr1	2803973	2804760	DNA_101	241	147	244	156	0	30	6	3	19	20
chr1	2803973	2804760	DNA_102	241	147	244	156	0	30	6	3	19	20
chr1	2846063	2846639	DNA_103	175	117	195	90	0	9	1	1	5	2
chr1	2846063	2846639	DNA_104	175	117	195	90	0	9	1	1	5	2
chr1	2900439	2903333	DNA_105	890	493	940	572	0	97	14	18	41	42
chr1	2900439	2903333	DNA_106	890	493	940	572	0	97	14	18	41	42
chr1	2920894	2920978	DNA_107	22	18	25	20	0	4	3	1	2	2
chr1	2920894	2920978	DNA_108	22	18	25	20	0	4	3	1	2	2
chr1	2943781	2944017	DNA_109	74	50	65	48	0	12	3	1	5	4
chr1	2943781	2944017	DNA_110	74	50	65	48	0	12	3	1	5	4
chr1	3044234	3044306	DNA_111	24	14	18	17	0	3	0	0	2	2
chr1	3044234	3044306	DNA_112	24	14	18	17	0	3	0	0	2	2
chr1	3093775	3093846	DNA_113	15	25	19	13	0	5	1	2	3	0
chr1	3093775	3093846	DNA_114	15	25	19	13	0	5	1	2	3	0
chr1	3093941	3094234	DNA_115	84	56	91	63	0	16	1	2	10	8
chr1	3093941	3094234	DNA_116	84	56	91	63	0	16	1	2	10	8
chr1	3094859	3095089	DNA_117	72	34	77	48	0	1	0	0	0	0
chr1	3094859	3095089	DNA_118	72	34	77	48	0	1	0	0	0	0
chr1	3118566	3119009	DNA_119	135	86	130	93	0	15	1	4	4	5
chr1	3118566	3119009	DNA_120	135	86	130	93	0	15	1	4	4	5
chr1	3356103	3356981	DNA_121	310	159	220	190	0	23	8	6	13	12
chr1	3356103	3356981	DNA_122	310	159	220	190	0	23	8	6	13	12
chr1	3357074	3357122	DNA_123	13	11	17	8	0	1	0	0	1	1
chr1	3357074	3357122	DNA_124	13	11	17	8	0	1	0	0	1	1
chr1	3357817	3363464	DNA_125	1717	1123	1579	1229	0	252	45	46	114	108
chr1	3357817	3363464	DNA_126	1717	1123	1579	1229	0	252	45	46	114	108
chr1	3391209	3392104	DNA_127	319	156	238	183	0	16	2	5	12	10
chr1	3391209	3392104	DNA_128	319	156	238	183	0	16	2	5	12	10
chr1	3392148	3392196	DNA_129	13	10	17	9	0	1	0	0	1	1
chr1	3392148	3392196	DNA_130	13	10	17	9	0	1	0	0	1	1
chr1	3392861	3398334	DNA_131	1647	1066	1602	1159	0	226	44	38	116	100
chr1	3392861	3398334	DNA_132	1647	1066	1602	1159	0	226	44	38	116	100
chr1	3543291	3543679	DNA_133	100	74	110	105	0	15	4	1	8	6
chr1	3543291	3543679	DNA_134	100	74	110	105	0	15	4	1	8	6
chr1	3553877	3553968	DNA_135	33	27	9	23	0	7	5	0	6	0
chr1	3553877	3553968	DNA_136	33	27	9	23	0	7	5	0	6	0
chr1	3616527	3616974	DNA_137	130	94	137	87	0	16	3	1	6	4
chr1	3616527	3616974	DNA_138	130	94	137	87	0	16	3	1	6	4
chr1	3669786	3671385	DNA_139	501	303	469	327	0	50	11	12	32	31
chr1	3669786	3671385	DNA_140	501	303	469	327	0	50	11	12	32	31
chr1	3688859	3688931	DNA_141	17	17	24	15	0	4	0	1	3	3
chr1	3688859	3688931	DNA_142	17	17	24	15	0	4	0	1	3	3
chr1	3797197	3797263	DNA_143	16	18	18	15	0	4	1	1	1	2
chr1	3797197	3797263	DNA_144	16	18	18	15	0	4	1	1	1	2
chr1	3797335	3797420	DNA_145	24	11	28	23	0	2	0	1	0	1
chr1	3797335	3797420	DNA_146	24	11	28	23	0	2	0	1	0	1
chr1	3820326	3820392	DNA_147	19	14	18	16	0	4	2	2	3	3
chr1	3820326	3820392	DNA_148	19	14	18	16	0	4	2	2	3	3
chr1	3843998	3844089	DNA_149	29	17	29	17	0	1	1	0	1	1
chr1	3843998	3844089	DNA_150	29	17	29	17	0	1	1	0	1	1
chr1	3844351	3844500	DNA_151	42	33	46	29	0	1	1	0	1	1
chr1	3844351	3844500	DNA_152	42	33	46	29	0	1	1	0	1	1
chr1	3845243	3845365	DNA_153	45	22	29	27	0	2	0	0	2	1
chr1	3845243	3845365	DNA_154	45	22	29	27	0	2	0	0	2	1
chr1	3866674	3866725	DNA_155	17	8	17	10	0	5	3	1	3	4
chr1	3866674	3866725	DNA_156	17	8	17	10	0	5	3	1	3	4
chr1	3885396	3885465	DNA_157	28	6	16	20	0	0	0	0	0	0
chr1	3885396	3885465	DNA_158	28	6	16	20	0	0	0	0	0	0
chr1	3887410	3887649	DNA_159	73	42	67	58	0	3	1	0	1	1
chr1	3887410	3887649	DNA_160	73	42	67	58	0	3	1	0	1	1
chr1	3890405	3890641	DNA_161	81	56	68	32	0	6	1	0	4	2
chr1	3890405	3890641	DNA_162	81	56	68	32	0	6	1	0	4	2
chr1	3893311	3894051	DNA_163	187	141	250	163	0	25	4	3	12	16
chr1	3893311	3894051	DNA_164	187	141	250	163	0	25	4	3	12	16
chr1	3903424	3903510	DNA_165	30	15	25	17	0	5	1	1	3	1
chr1	3903424	3903510	DNA_166	30	15	25	17	0	5	1	1	3	1
chr1	3905638	3905711	DNA_167	26	19	17	12	0	1	0	1	1	0
chr1	3905638	3905711	DNA_168	26	19	17	12	0	1	0	1	1	0
chr1	3906294	3906396	DNA_169	26	16	34	27	0	0	0	0	0	0
chr1	3906294	3906396	DNA_170	26	16	34	27	0	0	0	0	0	0
chr1	3908211	3910983	DNA_171	789	554	894	536	0	96	14	14	39	38
chr1	3908211	3910983	DNA_172	789	554	894	536	0	96	14	14	39	38
chr1	3949958	3953456	DNA_173	1080	681	1086	652	0	71	10	16	33	37
chr1	3949958	3953456	DNA_174	1080	681	1086	652	0	71	10	16	33	37
chr1	3963600	3964542	DNA_175	257	199	272	215	0	43	11	13	18	21
chr1	3963600	3964542	DNA_176	257	199	272	215	0	43	11	13	18	21
chr1	3964599	3964763	DNA_177	47	31	55	32	0	8	2	0	7	5
chr1	3964599	3964763	DNA_178	47	31	55	32	0	8	2	0	7	5
chr1	3964868	3964991	DNA_179	32	23	43	26	0	6	3	0	0	2
chr1	3964868	3964991	DNA_180	32	23	43	26	0	6	3	0	0	2
chr1	4023770	4023986	DNA_181	68	36	75	38	0	7	2	1	3	4
chr1	4023770	4023986	DNA_182	68	36	75	38	0	7	2	1	3	4
chr1	4025045	4025205	DNA_183	38	26	55	42	0	2	1	0	1	1
chr1	4025045	4025205	DNA_184	38	26	55	42	0	2	1	0	1	1
chr1	4025714	4026925	DNA_185	315	236	408	253	0	39	5	10	19	28
chr1	4025714	4026925	DNA_186	315	236	408	253	0	39	5	10	19	28
chr1	4032222	4032374	DNA_187	51	31	37	34	0	4	0	2	2	2
chr1	4032222	4032374	DNA_188	51	31	37	34	0	4	0	2	2	2
chr1	4095654	4095825	DNA_189	51	44	47	30	0	4	0	0	4	1
chr1	4095654	4095825	DNA_190	51	44	47	30	0	4	0	0	4	1
chr1	4112402	4112773	DNA_191	108	74	119	71	0	10	1	2	4	6
chr1	4112402	4112773	DNA_192	108	74	119	71	0	10	1	2	4	6
chr1	4113803	4115674	DNA_193	496	391	573	412	0	71	16	13	26	37
chr1	4113803	4115674	DNA_194	496	391	573	412	0	71	16	13	26	37
chr1	4117003	4117563	DNA_195	162	117	156	126	0	26	7	4	10	10
chr1	4117003	4117563	DNA_196	162	117	156	126	0	26	7	4	10	10
chr1	4127960	4130486	DNA_197	666	577	721	563	0	137	34	37	50	46
chr1	4127960	4130486	DNA_198	666	577	721	563	0	137	34	37	50	46
chr1	4139947	4140474	DNA_199	156	124	126	122	0	18	6	4	11	5
chr1	4139947	4140474	DNA_200	156	124	126	122	0	18	6	4	11	5
chr1	4150142	4150819	DNA_201	268	189	122	99	0	8	0	4	3	2
chr1	4150142	4150819	DNA_202	268	189	122	99	0	8	0	4	3	2
chr1	4151759	4152028	DNA_203	107	72	44	47	0	3	0	2	2	2
chr1	4151759	4152028	DNA_204	107	72	44	47	0	3	0	2	2	2
chr1	4152416	4152642	DNA_205	61	53	68	45	0	3	1	2	0	3
chr1	4152416	4152642	DNA_206	61	53	68	45	0	3	1	2	0	3
chr1	4157980	4158240	DNA_207	88	58	61	54	0	13	1	3	7	6
chr1	4157980	4158240	DNA_208	88	58	61	54	0	13	1	3	7	6
chr1	4158597	4158683	DNA_209	32	17	22	16	0	7	0	0	3	4
chr1	4158597	4158683	DNA_210	32	17	22	16	0	7	0	0	3	4
chr1	4181092	4181166	DNA_211	17	25	18	15	0	6	2	2	2	1
chr1	4181092	4181166	DNA_212	17	25	18	15	0	6	2	2	2	1
chr1	4181216	4181665	DNA_213	136	89	127	98	0	24	3	1	11	9
chr1	4181216	4181665	DNA_214	136	89	127	98	0	24	3	1	11	9
chr1	4182181	4182411	DNA_215	71	36	77	47	0	2	0	0	1	1
chr1	4182181	4182411	DNA_216	71	36	77	47	0	2	0	0	1	1
chr1	4234001	4234154	DNA_217	39	28	55	32	0	2	0	1	1	0
chr1	4234001	4234154	DNA_218	39	28	55	32	0	2	0	1	1	0
chr1	4303902	4304115	DNA_219	45	51	64	54	0	13	4	2	2	6
chr1	4303902	4304115	DNA_220	45	51	64	54	0	13	4	2	2	6
chr1	4304277	4304359	DNA_221	14	18	27	24	0	4	1	1	1	1
chr1	4304277	4304359	DNA_222	14	18	27	24	0	4	1	1	1	1
chr1	4305379	4305678	DNA_223	81	69	87	63	0	8	0	2	6	5
chr1	4305379	4305678	DNA_224	81	69	87	63	0	8	0	2	6	5
chr1	4324185	4324267	DNA_225	30	16	26	11	0	3	1	1	1	1
chr1	4324185	4324267	DNA_226	30	16	26	11	0	3	1	1	1	1
chr1	4324352	4324453	DNA_227	30	10	27	35	0	4	1	0	1	1
chr1	4324352	4324453	DNA_228	30	10	27	35	0	4	1	0	1	1
chr1	4328162	4328808	DNA_229	221	126	183	117	0	3	1	0	1	2
chr1	4328162	4328808	DNA_230	221	126	183	117	0	3	1	0	1	2
chr1	4331413	4331464	DNA_231	8	12	22	10	0	1	0	0	0	1
chr1	4331413	4331464	DNA_232	8	12	22	10	0	1	0	0	0	1
chr1	4356847	4358072	DNA_233	342	253	373	258	0	39	5	10	14	13
chr1	4356847	4358072	DNA_234	342	253	373	258	0	39	5	10	14	13
chr1	4385313	4385726	DNA_235	101	72	144	97	0	17	5	1	6	12
chr1	4385313	4385726	DNA_236	101	72	144	97	0	17	5	1	6	12
chr1	4414491	4415859	DNA_237	366	292	413	298	0	55	12	14	27	29
chr1	4414491	4415859	DNA_238	366	292	413	298	0	55	12	14	27	29
chr1	4424124	4424209	DNA_239	24	17	25	20	0	0	0	0	0	0
chr1	4424124	4424209	DNA_240	24	17	25	20	0	0	0	0	0	0
chr1	4425665	4427058	DNA_241	449	250	411	284	0	30	7	4	17	13
chr1	4425665	4427058	DNA_242	449	250	411	284	0	30	7	4	17	13
chr1	4487446	4487916	DNA_243	104	125	140	102	0	20	4	5	8	7
chr1	4487446	4487916	DNA_244	104	125	140	102	0	20	4	5	8	7
chr1	4524373	4525136	DNA_245	211	158	220	175	0	31	9	8	11	17
chr1	4524373	4525136	DNA_246	211	158	220	175	0	31	9	8	11	17
chr1	4528624	4529345	DNA_247	241	125	247	109	0	14	1	2	8	7
chr1	4528624	4529345	DNA_248	241	125	247	109	0	14	1	2	8	7
chr1	4544605	4544706	DNA_249	29	20	24	29	0	3	2	1	1	0
chr1	4544605	4544706	DNA_250	29	20	24	29	0	3	2	1	1	0
chr1	4544875	4545078	DNA_251	53	50	58	43	0	5	1	2	2	1
chr1	4544875	4545078	DNA_252	53	50	58	43	0	5	1	2	2	1
chr1	4556248	4556427	DNA_253	54	46	44	36	0	6	3	0	3	4
chr1	4556248	4556427	DNA_254	54	46	44	36	0	6	3	0	3	4
chr1	4558825	4559075	DNA_255	75	56	72	48	0	5	0	2	3	4
chr1	4558825	4559075	DNA_256	75	56	72	48	0	5	0	2	3	4
chr1	4561152	4561306	DNA_257	42	25	50	38	0	8	0	1	5	6
chr1	4561152	4561306	DNA_258	42	25	50	38	0	8	0	1	5	6
chr1	4582715	4582778	DNA_259	18	13	19	14	0	0	0	0	0	0
chr1	4582715	4582778	DNA_260	18	13	19	14	0	0	0	0	0	0
chr1	4587539	4587789	DNA_261	75	55	73	48	0	5	0	2	3	4
chr1	4587539	4587789	DNA_262	75	55	73	48	0	5	0	2	3	4
chr1	4589212	4589366	DNA_263	42	25	51	37	0	7	0	1	4	5
chr1	4589212	4589366	DNA_264	42	25	51	37	0	7	0	1	4	5
chr1	4699538	4699635	DNA_265	25	22	34	17	0	3	0	1	1	2
chr1	4699538	4699635	DNA_266	25	22	34	17	0	3	0	1	1	2
chr1	4922612	4922707	DNA_267	33	15	24	24	0	4	1	0	2	2
chr1	4922612	4922707	DNA_268	33	15	24	24	0	4	1	0	2	2
chr1	5018473	5018734	DNA_269	95	34	83	50	0	4	1	0	4	3
chr1	5018473	5018734	DNA_270	95	34	83	50	0	4	1	0	4	3
chr1	5087287	5087328	DNA_271	14	11	11	6	0	2	1	0	1	1
chr1	5087287	5087328	DNA_272	14	11	11	6	0	2	1	0	1	1
chr1	5097530	5097709	DNA_273	50	40	54	36	0	9	0	3	5	6
chr1	5097530	5097709	DNA_274	50	40	54	36	0	9	0	3	5	6
chr1	5098688	5098993	DNA_275	94	51	100	61	0	5	2	0	2	4
chr1	5098688	5098993	DNA_276	94	51	100	61	0	5	2	0	2	4
chr1	5101004	5101254	DNA_277	80	56	65	50	0	10	1	4	6	6
chr1	5101004	5101254	DNA_278	80	56	65	50	0	10	1	4	6	6
chr1	5128588	5129472	DNA_279	277	163	258	187	0	13	3	1	4	8
chr1	5128588	5129472	DNA_280	277	163	258	187	0	13	3	1	4	8
chr1	5130580	5130646	DNA_281	24	15	15	13	0	0	0	0	0	0
chr1	5130580	5130646	DNA_282	24	15	15	13	0	0	0	0	0	0
chr1	5133641	5134354	DNA_283	216	129	202	167	0	25	7	0	10	13
chr1	5133641	5134354	DNA_284	216	129	202	167	0	25	7	0	10	13
chr1	5134420	5136289	DNA_285	592	347	581	350	0	70	8	16	40	32
chr1	5134420	5136289	DNA_286	592	347	581	350	0	70	8	16	40	32
chr1	5176870	5176954	DNA_287	27	16	22	20	0	5	2	1	2	2
chr1	5176870	5176954	DNA_288	27	16	22	20	0	5	2	1	2	2
chr1	5324053	5324354	DNA_289	78	51	103	70	0	10	0	2	6	10
chr1	5324053	5324354	DNA_290	78	51	103	70	0	10	0	2	6	10
chr1	5433339	5433555	DNA_291	61	44	64	48	0	12	1	2	5	5
chr1	5433339	5433555	DNA_292	61	44	64	48	0	12	1	2	5	5
chr1	5463778	5463868	DNA_293	30	16	25	20	0	0	0	0	0	0
chr1	5463778	5463868	DNA_294	30	16	25	20	0	0	0	0	0	0
chr1	5528763	5531449	DNA_295	823	527	788	549	0	112	24	17	60	52
chr1	5528763	5531449	DNA_296	823	527	788	549	0	112	24	17	60	52
chr1	5531516	5532539	DNA_297	261	200	344	219	0	40	5	11	15	24
chr1	5531516	5532539	DNA_298	261	200	344	219	0	40	5	11	15	24
chr1	5662454	5662544	DNA_299	25	20	30	16	0	0	0	0	0	0
chr1	5662454	5662544	DNA_300	25	20	30	16	0	0	0	0	0	0
chr1	5692850	5693066	DNA_301	64	48	61	44	0	12	2	1	5	5
chr1	5692850	5693066	DNA_302	64	48	61	44	0	12	2	1	5	5
chr1	5706550	5707888	DNA_303	439	234	418	248	0	19	3	4	7	10
chr1	5706550	5707888	DNA_304	439	234	418	248	0	19	3	4	7	10
chr1	5787875	5789889	DNA_305	691	286	635	403	0	7	2	3	2	1
chr1	5787875	5789889	DNA_306	691	286	635	403	0	7	2	3	2	1
chr1	5805248	5806036	DNA_307	284	138	205	162	0	13	3	4	10	10
chr1	5805248	5806036	DNA_308	284	138	205	162	0	13	3	4	10	10
chr1	5806080	5806128	DNA_309	14	9	19	7	0	1	0	0	1	1
chr1	5806080	5806128	DNA_310	14	9	19	7	0	1	0	0	1	1
chr1	5806678	5810319	DNA_311	1070	796	1049	727	0	149	27	26	90	74
chr1	5806678	5810319	DNA_312	1070	796	1049	727	0	149	27	26	90	74
chr1	5814944	5815230	DNA_313	79	57	82	69	0	15	2	2	5	3
chr1	5814944	5815230	DNA_314	79	57	82	69	0	15	2	2	5	3
chr1	5824276	5824933	DNA_315	167	127	226	138	0	25	4	5	13	12
chr1	5824276	5824933	DNA_316	167	127	226	138	0	25	4	5	13	12
chr1	5871482	5872562	DNA_317	303	245	330	203	0	49	9	10	18	15
chr1	5871482	5872562	DNA_318	303	245	330	203	0	49	9	10	18	15
chr1	5878948	5879116	DNA_319	42	29	53	45	0	3	2	1	1	1
chr1	5878948	5879116	DNA_320	42	29	53	45	0	3	2	1	1	1
chr1	5896370	5896800	DNA_321	137	90	117	87	0	4	0	0	2	2
chr1	5896370	5896800	DNA_322	137	90	117	87	0	4	0	0	2	2
chr1	5897091	5897666	DNA_323	166	118	172	120	0	18	1	8	8	5
chr1	5897091	5897666	DNA_324	166	118	172	120	0	18	1	8	8	5
chr1	5980442	5980784	DNA_325	106	65	105	67	0	16	1	3	8	12
chr1	5980442	5980784	DNA_326	106	65	105	67	0	16	1	3	8	12
chr1	6049777	6050116	DNA_327	106	68	105	61	0	17	3	1	12	8
chr1	6049777	6050116	DNA_328	106	68	105	61	0	17	3	1	12	8
chr1	6143728	6143896	DNA_329	53	45	42	29	0	3	1	2	1	1
chr1	6143728	6143896	DNA_330	53	45	42	29	0	3	1	2	1	1
chr1	6256345	6256637	DNA_331	95	45	84	69	0	10	0	1	6	5
chr1	6256345	6256637	DNA_332	95	45	84	69	0	10	0	1	6	5
chr1	6258575	6262580	DNA_333	1351	715	1218	722	0	102	14	13	48	52
chr1	6258575	6262580	DNA_334	1351	715	1218	722	0	102	14	13	48	52
chr1	6294033	6294555	DNA_335	175	77	185	86	0	10	2	1	2	4
chr1	6294033	6294555	DNA_336	175	77	185	86	0	10	2	1	2	4
chr1	6294848	6297616	DNA_337	817	557	852	543	0	111	24	24	60	59
chr1	6294848	6297616	DNA_338	817	557	852	543	0	111	24	24	60	59
chr1	6299321	6299739	DNA_339	127	91	113	88	0	7	4	2	6	3
chr1	6299321	6299739	DNA_340	127	91	113	88	0	7	4	2	6	3
chr1	6300101	6300493	DNA_341	114	88	109	82	0	12	4	2	5	1
chr1	6300101	6300493	DNA_342	114	88	109	82	0	12	4	2	5	1
chr1	6306906	6308507	DNA_343	489	374	428	311	0	56	12	14	29	26
chr1	6306906	6308507	DNA_344	489	374	428	311	0	56	12	14	29	26
chr1	6313174	6313582	DNA_345	106	80	119	104	0	13	3	4	5	4
chr1	6313174	6313582	DNA_346	106	80	119	104	0	13	3	4	5	4
chr1	6314367	6319763	DNA_347	1602	1214	1429	1152	0	228	40	46	115	94
chr1	6314367	6319763	DNA_348	1602	1214	1429	1152	0	228	40	46	115	94
chr1	6344606	6347555	DNA_349	821	594	969	566	0	114	24	19	58	57
chr1	6344606	6347555	DNA_350	821	594	969	566	0	114	24	19	58	57
chr1	6374837	6374937	DNA_351	35	16	38	12	0	2	0	0	2	0
chr1	6374837	6374937	DNA_352	35	16	38	12	0	2	0	0	2	0
chr1	6392589	6392756	DNA_353	53	37	42	36	0	5	1	1	3	1
chr1	6392589	6392756	DNA_354	53	37	42	36	0	5	1	1	3	1
chr1	6397782	6398027	DNA_355	77	65	58	46	0	17	2	2	10	7
chr1	6397782	6398027	DNA_356	77	65	58	46	0	17	2	2	10	7
chr1	6398779	6398827	DNA_357	16	8	14	11	0	0	0	0	0	0
chr1	6398779	6398827	DNA_358	16	8	14	11	0	0	0	0	0	0
chr1	6399065	6400000	DNA_359	283	227	242	184	0	17	3	5	7	4
chr1	6399065	6400000	DNA_360	283	227	242	184	0	17	3	5	7	4
chr1	6400002	6400339	DNA_361	107	75	82	74	0	2	0	0	1	0
chr1	6400002	6400339	DNA_362	107	75	82	74	0	2	0	0	1	0
chr1	6401295	6401386	DNA_363	21	21	29	21	0	6	1	2	2	1
chr1	6401295	6401386	DNA_364	21	21	29	21	0	6	1	2	2	1
chr1	6410101	6410794	DNA_365	266	187	132	109	0	9	1	2	6	2
