chr	feature	start	stop	strand	featureID	parentID
chr10	mRNA	3328236	3328947	+	Amillepora17049-RA	Amillepora17049
chr10	mRNA	3326957	3327456	+	Amillepora17048-RA	Amillepora17048
chr10	mRNA	3480889	3486827	+	Amillepora17058-RA	Amillepora17058
chr10	mRNA	3408341	3418210	+	Amillepora17054-RA	Amillepora17054
chr10	mRNA	3474797	3476345	+	Amillepora17057-RA	Amillepora17057
chr10	mRNA	3437961	3443622	+	Amillepora17055-RA	Amillepora17055
chr10	mRNA	3355447	3362361	+	Amillepora17050-RA	Amillepora17050
chr10	mRNA	3363922	3394961	-	Amillepora17051-RA	Amillepora17051
chr10	mRNA	3398559	3402886	-	Amillepora17053-RA	Amillepora17053
chr10	mRNA	3510833	3519576	-	Amillepora17060-RA	Amillepora17060
chr10	mRNA	3502267	3503292	-	Amillepora17059-RA	Amillepora17059
chr10	mRNA	3532784	3548963	-	Amillepora17064-RA	Amillepora17064
chr10	mRNA	3558754	3568079	-	Amillepora17066-RA	Amillepora17066
chr10	mRNA	3522429	3523542	-	Amillepora17061-RA	Amillepora17061
chr10	mRNA	3553294	3557612	-	Amillepora17065-RA	Amillepora17065
chr10	mRNA	3570863	3576199	-	Amillepora17067-RA	Amillepora17067
chr10	mRNA	3524096	3525753	-	Amillepora17062-RA	Amillepora17062
chr10	mRNA	3610969	3614813	-	Amillepora17068-RA	Amillepora17068
chr10	mRNA	3618263	3620826	-	Amillepora17069-RA	Amillepora17069
chr10	mRNA	3781162	3785072	+	Amillepora17072-RA	Amillepora17072
chr10	mRNA	3779694	3780701	+	Amillepora17071-RA	Amillepora17071
chr10	mRNA	3762648	3773178	-	Amillepora17070-RA	Amillepora17070
chr10	mRNA	3858871	3863022	+	Amillepora17080-RA	Amillepora17080
chr10	mRNA	3840225	3853214	+	Amillepora17077-RA	Amillepora17077
chr10	mRNA	3856180	3858807	-	Amillepora17079-RA	Amillepora17079
chr10	mRNA	3832964	3839995	-	Amillepora17076-RA	Amillepora17076
chr10	mRNA	3791470	3792688	-	Amillepora17074-RA	Amillepora17074
chr10	mRNA	3815049	3815876	-	Amillepora17075-RA	Amillepora17075
chr10	mRNA	3785466	3788249	-	Amillepora17073-RA	Amillepora17073
chr10	mRNA	3933694	3938416	+	Amillepora17084-RA	Amillepora17084
chr10	mRNA	3948249	3950757	+	Amillepora17088-RA	Amillepora17088
chr10	mRNA	3918869	3922921	+	Amillepora17082-RA	Amillepora17082
chr10	mRNA	3944752	3946731	+	Amillepora17087-RA	Amillepora17087
chr10	mRNA	3939568	3943334	+	Amillepora17086-RA	Amillepora17086
chr10	mRNA	3970072	3972814	+	Amillepora17091-RA	Amillepora17091
chr10	mRNA	3927126	3930575	-	Amillepora17083-RA	Amillepora17083
chr10	mRNA	3871208	3893628	-	Amillepora17081-RA	Amillepora17081
chr10	mRNA	3950919	3957773	-	Amillepora17089-RA	Amillepora17089
chr10	mRNA	3960316	3968584	-	Amillepora17090-RA	Amillepora17090
chr10	mRNA	3939107	3939403	-	Amillepora17085-RA	Amillepora17085
chr10	mRNA	4069777	4070890	+	Amillepora17099-RA	Amillepora17099
chr10	mRNA	4077027	4079291	+	Amillepora17100-RA	Amillepora17100
chr10	mRNA	4080956	4084735	+	Amillepora17101-RA	Amillepora17101
chr10	mRNA	4064752	4066676	+	Amillepora17098-RA	Amillepora17098
chr10	mRNA	3998189	3999674	+	Amillepora17092-RA	Amillepora17092
chr10	mRNA	4038390	4039769	-	Amillepora17096-RA	Amillepora17096
chr10	mRNA	4013132	4036127	-	Amillepora17095-RA	Amillepora17095
chr10	mRNA	4048200	4054112	-	Amillepora17097-RA	Amillepora17097
chr10	mRNA	4132379	4136057	+	Amillepora17106-RA	Amillepora17106
chr10	mRNA	4167654	4179598	+	Amillepora17110-RA	Amillepora17110
chr10	mRNA	4106423	4107431	+	Amillepora17103-RA	Amillepora17103
chr10	mRNA	4148079	4149070	+	Amillepora17108-RA	Amillepora17108
chr10	mRNA	4126341	4131207	-	Amillepora17105-RA	Amillepora17105
chr10	mRNA	4086528	4098966	-	Amillepora17102-RA	Amillepora17102
chr10	mRNA	4136109	4138811	-	Amillepora17107-RA	Amillepora17107
chr10	mRNA	4161107	4167509	-	Amillepora17109-RA	Amillepora17109
chr10	mRNA	4274397	4278600	+	Amillepora17117-RA	Amillepora17117
chr10	mRNA	4255100	4256664	+	Amillepora17115-RA	Amillepora17115
chr10	mRNA	4269268	4271795	+	Amillepora17116-RA	Amillepora17116
chr10	mRNA	4247133	4253139	+	Amillepora17114-RA	Amillepora17114
chr10	mRNA	4222011	4240950	+	Amillepora17113-RA	Amillepora17113
chr10	mRNA	4183400	4192579	-	Amillepora17111-RA	Amillepora17111
chr10	mRNA	4202235	4213505	-	Amillepora17112-RA	Amillepora17112
chr10	mRNA	4312747	4313391	+	Amillepora17120-RA	Amillepora17120
chr10	mRNA	4313431	4314255	-	Amillepora17121-RA	Amillepora17121
chr10	mRNA	4287382	4289128	-	Amillepora17118-RA	Amillepora17118
chr10	mRNA	4289171	4293113	-	Amillepora17119-RA	Amillepora17119
chr10	mRNA	4457857	4459543	+	Amillepora17133-RA	Amillepora17133
chr10	mRNA	4471968	4473005	+	Amillepora17134-RA	Amillepora17134
chr10	mRNA	4418546	4420636	+	Amillepora17130-RA	Amillepora17130
chr10	mRNA	4404755	4414677	+	Amillepora17129-RA	Amillepora17129
chr10	mRNA	4434375	4442684	+	Amillepora17131-RA	Amillepora17131
chr10	mRNA	4379806	4381805	+	Amillepora17127-RA	Amillepora17127
chr10	mRNA	4341968	4343955	+	Amillepora17124-RA	Amillepora17124
chr10	mRNA	4334983	4336024	+	Amillepora17123-RA	Amillepora17123
chr10	mRNA	4322365	4323251	+	Amillepora17122-RA	Amillepora17122
chr10	mRNA	4354798	4356841	+	Amillepora17125-RA	Amillepora17125
chr10	mRNA	4367305	4369236	+	Amillepora17126-RA	Amillepora17126
chr10	mRNA	4389008	4391723	+	Amillepora17128-RA	Amillepora17128
chr10	mRNA	4439551	4441113	-	Amillepora17132-RA	Amillepora17132
chr10	mRNA	4527503	4528350	+	Amillepora17139-RA	Amillepora17139
chr10	mRNA	4502687	4505073	+	Amillepora17135-RA	Amillepora17135
chr10	mRNA	4509917	4517677	+	Amillepora17136-RA	Amillepora17136
chr10	mRNA	4531552	4533205	-	Amillepora17140-RA	Amillepora17140
chr10	mRNA	4520972	4522629	+	Amillepora17137-RA	Amillepora17137
chr10	mRNA	4523247	4523606	+	Amillepora17138-RA	Amillepora17138
chr10	mRNA	4653344	4665625	+	Amillepora17146-RA	Amillepora17146
chr10	mRNA	4598484	4600471	+	Amillepora17144-RA	Amillepora17144
chr10	mRNA	4576742	4597367	+	Amillepora17143-RA	Amillepora17143
chr10	mRNA	4537135	4555083	+	Amillepora17141-RA	Amillepora17141
chr10	mRNA	4558028	4574754	+	Amillepora17142-RA	Amillepora17142
chr10	mRNA	4667899	4671155	-	Amillepora17147-RA	Amillepora17147
chr10	mRNA	4756962	4760758	+	Amillepora17156-RA	Amillepora17156
chr10	mRNA	4729001	4740061	+	Amillepora17153-RA	Amillepora17153
chr10	mRNA	4745973	4750451	+	Amillepora17154-RA	Amillepora17154
chr10	mRNA	4751064	4751876	+	Amillepora17155-RA	Amillepora17155
chr10	mRNA	4687165	4728809	-	Amillepora17150-RA	Amillepora17150
chr10	mRNA	4803105	4811906	-	Amillepora17161-RA	Amillepora17161
chr10	mRNA	4786528	4797149	-	Amillepora17159-RA	Amillepora17159
chr10	mRNA	4774341	4779773	-	Amillepora17158-RA	Amillepora17158
chr10	mRNA	4958030	4963002	-	Amillepora17186-RA	Amillepora17186
chr10	mRNA	4964813	4980841	-	Amillepora17187-RA	Amillepora17187
chr10	mRNA	4858747	4905640	+	Amillepora17162-RA	Amillepora17162
chr10	mRNA	4980845	4981752	-	Amillepora17188-RA	Amillepora17188
chr10	mRNA	4988726	4990096	+	Amillepora17189-RA	Amillepora17189
chr10	mRNA	5009360	5010745	+	Amillepora17193-RA	Amillepora17193
chr10	mRNA	5063870	5066962	+	Amillepora17197-RA	Amillepora17197
chr10	mRNA	4990614	4993157	-	Amillepora17190-RA	Amillepora17190
chr10	mRNA	5073581	5077630	-	Amillepora17198-RA	Amillepora17198
chr10	mRNA	5003156	5003680	-	Amillepora17192-RA	Amillepora17192
chr10	mRNA	5002578	5003096	-	Amillepora17191-RA	Amillepora17191
chr10	mRNA	5160365	5164399	+	Amillepora17200-RA	Amillepora17200
chr10	mRNA	5087446	5091231	+	Amillepora17199-RA	Amillepora17199
chr10	mRNA	5290833	5309242	+	Amillepora17201-RA	Amillepora17201
chr10	mRNA	5439736	5444783	+	Amillepora17207-RA	Amillepora17207
chr10	mRNA	5360473	5361150	-	Amillepora17203-RA	Amillepora17203
chr10	mRNA	5484511	5485032	-	Amillepora17209-RA	Amillepora17209
chr10	mRNA	5379605	5385969	-	Amillepora17204-RA	Amillepora17204
chr10	mRNA	5485192	5485887	-	Amillepora17210-RA	Amillepora17210
chr10	mRNA	5485916	5486570	-	Amillepora17211-RA	Amillepora17211
chr10	mRNA	5458401	5468225	+	Amillepora17208-RA	Amillepora17208
chr10	mRNA	5517195	5521807	-	Amillepora17212-RA	Amillepora17212
chr10	mRNA	5581201	5581761	+	Amillepora17213-RA	Amillepora17213
chr10	mRNA	5654904	5672177	-	Amillepora17218-RA	Amillepora17218
chr10	mRNA	5672247	5673710	-	Amillepora17219-RA	Amillepora17219
chr10	mRNA	5648537	5649535	-	Amillepora17217-RA	Amillepora17217
chr10	mRNA	5751619	5752686	-	Amillepora17227-RA	Amillepora17227
chr10	mRNA	5749243	5750019	-	Amillepora17225-RA	Amillepora17225
